Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 Cinangeles                         ,Anthony, Eric                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,D,L,0,0,0,0,0,0,4,0,4,36.9  ,3.15  ,36.55 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Nixon, Otis                   ,22,3,10,4,0,0,1,1,0,1,0,2,1,A,2,17,C,S,0,0,0,0,0,0,0,2,0,38.1  ,20.4  ,43.15 ,0.455,0.591,0.538,4,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Guerrero, Wilton              ,15,4,8,5,1,1,2,0,1,1,0,0,1,A,C,13,B,S,0,0,0,4,4,0,0,0,0,32.75 ,22.9  ,35.75 ,0.533,1.133,0.563,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Morris, Hal                   ,20,1,3,2,0,0,0,2,4,0,0,0,0,B,D,10,B,L,0,0,3,0,0,0,0,0,0,32.8  ,25.25 ,40.25 ,0.150,0.150,0.227,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Stynes, Chris                 ,14,3,3,1,0,0,1,1,3,1,0,1,0,C,A,14,B,R,0,0,0,4,0,4,4,0,4,45.3  ,25.9  ,55.25 ,0.214,0.429,0.353,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Greene, Willie                ,9,2,5,4,0,0,1,0,1,1,0,0,1,D,C,11,D,L,0,0,4,0,5,4,4,0,4,39.5  ,26.85 ,40.35 ,0.556,0.889,0.600,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Owens, Eric                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,16,D,R,0,0,0,4,0,0,3,4,3,30.8  ,30.2  ,33.25 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Karros, Eric                  ,5,1,2,0,0,0,0,0,2,0,0,1,0,D,B,10,C,R,0,0,3,0,0,0,0,0,0,34.2  ,32    ,38.4  ,0.400,0.400,0.500,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Nunnally, Jon                 ,20,5,7,3,0,0,2,3,8,0,0,0,1,C,B,14,D,L,0,0,0,0,0,0,3,4,3,52.5  ,34.8  ,51.25 ,0.350,0.650,0.435,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Lewis, Darren                 ,24,1,7,3,0,0,0,0,5,1,0,2,2,A,C,17,D,R,0,0,0,0,0,0,1,1,1,38.75 ,36    ,41.7  ,0.292,0.292,0.370,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Sanders, Deion                ,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2,17,C,L,0,0,0,0,0,0,3,0,3,33    ,36.5  ,32.35 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Butler, Brett                 ,18,4,4,1,0,0,0,5,1,1,0,3,0,A,B,13,B,L,0,0,0,0,0,0,3,3,3,41.25 ,37.5  ,42.25 ,0.222,0.222,0.481,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Kelly, Mike                   ,8,2,2,1,1,0,0,0,2,0,0,0,0,D,B,14,D,R,0,0,0,0,0,0,4,4,4,37    ,38.45 ,37.05 ,0.250,0.375,0.250,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Cedeno, Roger                 ,12,3,4,2,2,0,1,0,2,1,0,1,0,B,B,16,C,S,0,0,0,0,0,0,2,3,2,39.2  ,39.35 ,41.4  ,0.333,0.750,0.429,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Oliver, Joe                   ,24,4,6,5,0,0,2,0,2,0,0,0,0,D,E,8,C,R,0,3,4,0,0,0,0,0,0,29.9  ,39.4  ,30.8  ,0.250,0.500,0.250,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Cinangeles                         ,Cromer, Tripp                 ,9,4,4,3,1,0,2,0,3,0,0,0,0,C,E,11,D,R,0,0,0,3,3,3,0,0,0,32.75 ,39.5  ,30.4  ,0.444,1.222,0.444,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
