Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 Florago                            ,Hansen, Dave                  ,32,5,9,4,3,1,0,6,11,1,0,0,0,D,E,10,B,L,0,0,4,5,0,4,0,0,0,56    ,3.35  ,57.75 ,0.281,0.438,0.410,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Counsell, Craig               ,37,5,8,5,2,0,0,5,3,0,0,0,0,C,E,13,B,L,0,0,0,2,0,0,0,0,0,41.75 ,19.9  ,44.75 ,0.216,0.270,0.310,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Dunwoody, Todd                ,34,8,8,7,2,2,4,4,11,1,0,1,0,D,C,14,D,L,0,0,0,0,0,0,3,3,3,40.1  ,21    ,46.1  ,0.235,0.765,0.350,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Clark, Dave                   ,46,10,15,11,5,0,2,5,9,0,0,0,0,D,D,5,C,L,0,0,0,0,0,0,4,0,4,44.2  ,21.7  ,46.4  ,0.326,0.565,0.392,10,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Castillo, Luis                ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,B,17,C,R,0,0,0,2,0,0,0,0,0,31    ,22.9  ,30.9  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Alexander, Manny              ,9,1,2,0,0,0,0,0,3,0,0,1,0,C,A,15,C,R,0,0,0,3,3,4,0,0,0,29.3  ,27.6  ,35.75 ,0.222,0.222,0.300,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,White, Devon                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,A,16,D,S,0,0,0,0,0,0,0,2,0,33.2  ,28.65 ,35    ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Orie, Kevin                   ,44,9,15,11,3,1,4,3,7,0,0,0,1,C,D,11,C,R,0,0,0,0,4,2,0,0,0,37    ,31    ,43.75 ,0.341,0.727,0.383,9,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Glanville, Doug               ,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,14,C,R,0,0,0,0,0,0,1,2,1,35.5  ,31.75 ,39.5  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Florago                            ,Sosa, Sammy                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,A,16,D,R,0,0,0,0,0,0,0,0,0,26.2  ,31.85 ,27.6  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
