Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 Montrado                           ,Reed, Jeff                    ,22,11,11,12,0,0,8,7,2,1,0,0,0,A,D,9,C,L,0,4,0,0,0,0,0,0,0,45.9  ,13.95 ,50.15 ,0.500,1.591,0.633,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,McGuire, Paul                 ,4,1,1,1,0,0,0,0,1,0,0,0,0,C,D,11,B,L,0,0,0,2,0,0,3,4,3,32.5  ,21.55 ,35.3  ,0.250,0.250,0.250,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Manwaring, Kirt               ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,E,10,C,R,0,2,0,0,0,0,0,0,0,26.8  ,24    ,30    ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Grudzielanek, Mark            ,11,2,3,1,0,0,0,2,0,0,0,2,0,C,A,14,B,R,0,0,0,0,3,0,0,0,0,29.2  ,25.2  ,34.2  ,0.273,0.273,0.467,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Fullmer, Brad                 ,18,6,5,1,2,1,0,3,2,2,0,0,0,D,E,11,C,L,0,0,4,0,0,0,4,0,4,34.75 ,26.6  ,41.5  ,0.278,0.500,0.435,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Fletcher, Darrin              ,11,0,2,1,1,0,0,0,0,0,0,0,0,D,E,8,C,L,0,4,0,0,0,0,0,0,0,30    ,26.8  ,33.05 ,0.182,0.273,0.182,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Rodriguez, Henry              ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,9,D,L,0,0,4,0,0,0,5,0,5,27.8  ,27    ,27.65 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Strange, Doug                 ,9,5,4,4,0,0,2,0,1,0,0,0,0,B,E,11,D,S,0,0,4,4,0,3,5,0,5,31.25 ,27.4  ,33.35 ,0.444,1.111,0.444,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Vidro, Jose                   ,4,0,0,0,0,0,0,0,2,0,0,0,0,D,E,13,D,S,0,0,0,4,0,4,0,0,0,27.3  ,27.75 ,27.75 ,0.000,0.000,0.000,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,White, Rondell                ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,16,C,R,0,0,0,0,0,0,0,2,0,29.2  ,28.4  ,34.05 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Bates, Jason                  ,21,2,8,6,1,0,0,2,3,0,0,0,0,D,E,12,D,S,0,0,0,3,4,4,0,0,0,32.6  ,28.95 ,37.1  ,0.381,0.429,0.435,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,McCracken, Quinton            ,33,5,10,2,1,0,1,5,8,0,0,1,0,A,A,16,C,S,0,0,0,0,0,0,0,3,0,44.2  ,32.65 ,51.75 ,0.303,0.424,0.410,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Bichette, Dante               ,29,4,9,4,3,0,1,0,3,1,0,1,0,D,C,10,C,R,0,0,0,0,0,0,4,0,4,37.5  ,33.4  ,41.65 ,0.310,0.517,0.355,7,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Weiss, Walt                   ,19,1,5,4,0,1,0,3,2,0,0,0,0,B,C,13,B,S,0,0,0,0,2,0,0,0,0,44.3  ,36.4  ,46.2  ,0.263,0.368,0.364,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Pulliam, Harvey               ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,D,R,0,0,0,0,0,0,3,0,3,36    ,37.85 ,35.25 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Montrado                           ,Perez, Neifi                  ,7,2,3,3,0,0,1,1,1,0,0,0,0,A,C,14,C,S,0,0,0,2,2,3,0,0,0,34.5  ,38.15 ,33.2  ,0.429,0.857,0.500,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
