Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 NewDiego                           ,Sweeney, Mark                 ,17,0,3,1,1,0,0,2,5,0,0,0,0,B,D,11,C,L,0,0,3,0,0,0,4,0,4,40.25 ,11.6  ,41    ,0.176,0.235,0.263,4,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Bieser, Steve                 ,8,2,4,1,1,0,0,1,4,0,0,0,0,B,D,14,D,L,0,4,0,0,0,0,3,3,3,29.75 ,12    ,38.4  ,0.500,0.625,0.556,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Ochoa, Alex                   ,12,1,4,0,0,0,0,1,1,0,0,0,1,C,D,14,C,R,0,0,0,0,0,0,0,4,0,28    ,23.9  ,37.3  ,0.333,0.333,0.385,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Shipley, Craig                ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,4,4,4,4,0,0,0,29.8  ,26.05 ,34.3  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Cianfrocco, Archi             ,14,0,5,3,1,0,0,1,4,0,0,0,0,D,B,11,D,R,0,0,2,4,4,3,0,0,0,32.5  ,26.7  ,40    ,0.357,0.429,0.400,4,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Lopez, Luis                   ,10,1,2,1,0,0,0,1,2,0,0,0,1,D,D,12,D,S,0,0,0,3,3,4,0,0,0,30.2  ,30.3  ,34.4  ,0.200,0.200,0.273,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Veras, Quilvio                ,11,0,1,0,0,0,0,1,3,1,0,0,0,A,A,16,C,S,0,0,0,3,0,0,0,0,0,39.5  ,31.4  ,43.35 ,0.091,0.091,0.231,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Joyner, Wally                 ,23,6,9,3,1,1,1,3,2,1,0,0,0,D,D,11,B,L,0,0,0,2,0,0,0,0,0,47.75 ,31.4  ,49.5  ,0.391,0.652,0.481,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,Jones, Chris                  ,25,2,8,4,1,0,2,2,9,0,0,1,0,D,B,13,D,R,0,0,0,0,0,0,3,3,3,31.5  ,31.6  ,37.35 ,0.320,0.600,0.393,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 NewDiego                           ,McRae, Brian                  ,12,5,6,5,2,0,2,1,2,1,0,0,0,B,B,15,C,S,0,0,0,0,0,0,0,2,0,32.75 ,35.1  ,32.25 ,0.500,1.167,0.571,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
