Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 Philanta                           ,Butler, Rob                   ,31,5,9,2,5,0,0,2,5,2,0,0,0,C,D,14,C,L,0,0,0,0,0,0,3,4,3,34.75 ,14.95 ,35.1  ,0.290,0.452,0.371,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Robertson, Mike               ,0,0,0,0,0,0,0,0,0,0,0,0,0,B,D,10,C,L,0,0,3,0,0,0,4,0,4,16.6  ,16    ,31.45 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Jordan, Kevin                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,3,4,0,4,0,0,0,28    ,22.9  ,32.4  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Klesko, Ryan                  ,17,2,6,2,1,0,2,2,5,0,0,0,0,D,D,11,D,L,0,0,4,0,0,0,4,0,4,33.6  ,22.9  ,36.5  ,0.353,0.765,0.421,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Sefcik, Kevin                 ,14,2,5,2,0,0,0,0,3,1,0,2,0,A,D,12,D,R,0,0,0,4,4,4,0,0,0,28.5  ,25.35 ,34.25 ,0.357,0.357,0.471,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Lockhart, Keith               ,35,5,6,4,0,1,1,2,7,1,0,0,0,C,E,12,B,L,0,0,0,3,0,4,0,0,0,37.8  ,28.4  ,37.9  ,0.171,0.314,0.237,9,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Bautista, Danny               ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,12,D,R,0,0,0,0,0,0,2,3,2,23    ,28.55 ,19.4  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Cummings, Midre               ,5,0,2,1,1,0,0,0,0,0,0,0,0,D,D,14,C,L,0,0,0,0,0,0,4,4,4,34.9  ,31    ,35    ,0.400,0.600,0.400,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Jones, Chipper                ,35,6,13,5,1,0,2,1,5,0,0,4,1,D,A,15,C,S,0,0,0,0,0,2,4,0,4,43    ,32.2  ,46.6  ,0.371,0.571,0.450,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Lieberthal, Mike              ,24,3,4,6,0,0,2,1,7,1,0,0,0,D,D,10,C,R,0,3,0,0,0,0,0,0,0,31.4  ,33.95 ,33.7  ,0.167,0.417,0.231,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Tucker, Michael               ,30,5,9,3,3,0,0,4,7,0,0,3,0,B,B,16,C,L,0,0,0,0,0,0,3,0,3,37.2  ,35.5  ,42.6  ,0.300,0.400,0.432,7,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Philanta                           ,Lemke, Mark                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,B,E,11,C,S,0,0,0,2,0,0,0,0,0,29.4  ,36.5  ,26.6  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
