Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 SanLouis                           ,Sheaffer, Danny               ,14,1,3,0,0,0,0,1,0,0,0,0,0,B,E,11,C,R,0,4,0,5,0,3,4,0,4,26.7  ,23    ,34.9  ,0.214,0.214,0.267,4,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Gant, Ron                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,13,D,R,0,0,0,0,0,0,4,0,4,29.5  ,24.35 ,33.1  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Snow, J.T.                    ,29,6,9,5,3,0,1,3,5,0,0,0,0,D,C,11,C,S,0,0,1,0,0,0,0,0,0,45.5  ,26.65 ,49.75 ,0.310,0.517,0.375,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Clayton, Royce                ,26,2,6,1,2,0,0,0,2,0,0,1,0,C,A,15,C,R,0,0,0,0,2,0,0,0,0,28.5  ,26.75 ,31.75 ,0.231,0.308,0.259,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Mabry, John                   ,25,4,7,4,1,1,0,2,6,1,0,0,0,D,E,11,D,L,0,0,3,0,0,5,3,4,3,35.8  ,27    ,38.9  ,0.280,0.400,0.357,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Johnson, Brian                ,19,3,8,8,1,0,2,0,1,0,0,0,0,B,E,9,B,R,0,4,4,0,0,0,0,0,0,30.4  ,28.15 ,33.55 ,0.421,0.789,0.421,4,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Kent, Jeff                    ,10,1,3,1,1,0,0,3,3,0,0,0,0,D,B,13,C,R,0,0,3,3,0,0,0,0,0,28.25 ,30.9  ,34.35 ,0.300,0.400,0.462,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Hill, Glenallen               ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,13,C,R,0,0,0,0,0,0,0,0,0,27.4  ,31    ,29.2  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Young, Dmitri                 ,0,1,0,0,0,0,0,0,0,0,0,0,0,D,C,12,B,S,0,0,4,0,0,0,4,0,4,34.45 ,32.25 ,34.75 ,0.000,0.000,0.000,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Lampkin, Tom                  ,5,0,0,0,0,0,0,0,1,0,0,0,0,C,D,10,C,L,0,3,0,0,0,0,0,0,0,31.1  ,32.3  ,33.15 ,0.000,0.000,0.000,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Hamilton, Darryl              ,9,1,1,1,1,0,0,0,3,0,0,0,0,B,B,16,C,L,0,0,0,0,0,0,0,2,0,40.3  ,32.3  ,40.6  ,0.111,0.222,0.111,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,Benard, Marvin                ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,15,D,L,0,0,0,0,0,0,3,3,3,30.2  ,33.5  ,31.4  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 SanLouis                           ,McGee, Willie                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,14,C,S,0,0,0,0,0,0,3,3,3,37.5  ,34    ,38.25 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
