Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Cleveland Indians,Whitfield,Fred,468,0,137,0,23,1,26,15,42,0,0,0,0,D,D,10,D,L,0,0,4,0,0,0,0,0,0,36.00,0.00,0.00,0.293,0.513,0.315,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Gonzalez,Pedro,405,0,103,0,15,3,5,18,59,0,0,0,0,D,C,14,D,L,0,0,0,3,0,3,4,0,4,27.60,0.00,0.00,0.254,0.343,0.286,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Azcue,Joe,335,0,77,0,7,0,2,27,54,0,0,0,0,D,D,8,D,L,0,4,0,0,0,0,0,0,0,24.80,0.00,0.00,0.230,0.269,0.287,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Hinton,Chuck,431,0,110,0,17,6,18,53,65,0,0,0,0,D,A,16,D,L,0,0,3,4,0,0,3,3,3,38.40,0.00,0.00,0.255,0.448,0.337,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Alvis,Max,604,0,149,0,24,2,21,47,121,0,0,0,0,D,B,14,D,L,0,0,0,0,0,3,0,0,0,30.65,0.00,0.00,0.247,0.397,0.301,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Brown,Larry,438,0,111,0,22,2,8,39,62,0,0,0,0,D,D,13,D,L,0,0,0,4,4,0,0,0,0,34.20,0.00,0.00,0.253,0.368,0.314,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Colavito,Rocky,592,0,170,0,25,2,26,93,63,0,0,1,1,D,E,5,C,R,0,0,0,0,0,0,0,0,3,47.00,0.00,0.00,0.287,0.468,0.385,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Davalillo,Vic,505,0,152,0,19,1,5,35,50,0,0,0,0,D,A,17,D,L,0,0,0,0,0,0,0,2,0,39.00,0.00,0.00,0.301,0.372,0.346,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Roof,Phil,74,0,12,0,1,0,0,5,19,0,0,0,0,D,E,9,D,L,0,2,0,0,0,0,0,0,0,9.60,0.00,0.00,0.162,0.176,0.215,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Howser,Dick,307,0,72,0,8,2,1,57,25,0,0,0,0,D,A,16,D,L,0,0,0,0,4,0,0,0,0,43.20,0.00,0.00,0.235,0.283,0.354,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Salmon,Chico,120,0,29,0,8,0,3,5,19,0,0,0,0,D,B,15,D,L,0,0,3,4,0,4,3,0,3,25.20,0.00,0.00,0.242,0.383,0.272,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Wagner,Leon,517,0,152,0,18,1,28,60,52,0,0,0,0,D,B,14,D,L,0,0,0,0,0,0,4,0,4,43.60,0.00,0.00,0.294,0.495,0.367,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Stange,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,McDowell,Sam,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Tiant,Luis,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Siebert,Sonny,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Terry,Ralph,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Bell,Gary,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,Kralick,Jack,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland Indians,McMahon,Don,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,5,D,L,3,0,0,0,0,0,0,0,0,9.20,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
