Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Baltimore,Palmer,Jim,92.00,38,75,56,75,5,0,5,4,1,5,4,R,0.00,0.00,0.00,3.72,12.82,6,27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,0,2,48,D
Baltimore,Bunker,Wally,189.00,71,170,58,84,16,-1,10,8,2,7,3,R,0.00,0.00,0.00,3.38,10.86,27,34,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,4,8,B
Baltimore,Roberts,Robin,115.00,43,110,20,63,17,-2,5,7,0,7,4,R,0.00,0.00,0.00,3.37,10.17,0,20,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,4,26,B
Baltimore,Miller,John,93.00,33,75,58,71,4,8,6,4,0,6,0,R,0.00,0.00,0.00,3.19,12.87,16,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,0,3,31,D
Baltimore,Hall,Dick,94.00,32,84,11,79,8,2,11,8,12,0,4,R,0.00,0.00,0.00,3.06,9.10,0,48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,5,16,B
Baltimore,McNally,Dave,199.00,63,163,73,116,15,-3,11,6,0,7,3,L,0.00,0.00,0.00,2.85,10.67,29,35,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0,3,15,B
Baltimore,Barber,Steve,221.00,66,177,81,130,16,-4,15,10,0,7,3,L,0.00,0.00,0.00,2.69,10.51,32,37,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,0,2,40,A
Baltimore,Larsen,Don,54.00,16,53,20,40,4,4,1,2,1,0,3,R,0.00,0.00,0.00,2.67,12.17,1,27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,2,27,D
Baltimore,Pappas,Milt,221.00,64,192,52,127,22,0,13,9,0,7,0,R,0.00,0.00,0.00,2.61,9.94,34,34,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0,5,20,A
Baltimore,Miller,Stu,119.00,25,87,32,104,5,-2,14,7,24,0,3,R,0.00,0.00,0.00,1.89,9.00,0,67,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,2,0,A
