Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Cleveland,Justice,David,495,0,163,101,31,1,33,80,79,0,0,3,5,D,D,10,C,L,0,0,0,0,0,0,4,0,4,51.75,46.85,52.80,0.329,0.596,0.426,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Ramirez,Manny,561,0,184,88,40,0,26,79,115,0,0,2,3,D,E,10,D,R,0,0,0,0,0,0,0,0,0,50.75,55.10,53.40,0.328,0.538,0.413,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Alomar,Sandy,451,0,146,83,37,0,21,19,48,0,0,0,2,A,E,10,B,R,0,1,0,0,0,0,0,0,0,38.90,42.80,39.85,0.324,0.545,0.351,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Roberts,Bip,431,0,130,44,20,2,4,28,67,0,0,16,3,D,A,15,C,R,0,0,0,5,0,4,4,4,4,36.50,40.60,36.00,0.302,0.385,0.366,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Borders,Pat,159,0,47,15,7,1,4,9,27,0,0,0,2,D,E,9,C,R,0,3,0,0,0,0,0,0,0,34.75,38.55,37.95,0.296,0.428,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Thome,Jim,496,0,142,102,25,0,40,120,146,0,0,1,1,D,E,10,D,L,0,0,3,0,0,0,0,0,0,52.90,42.80,55.80,0.286,0.579,0.426,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Fernandez,Tony,409,0,117,44,21,1,11,22,47,0,0,6,6,A,C,13,C,R,0,0,0,2,3,0,0,0,0,32.75,53.80,23.35,0.286,0.423,0.332,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Vizquel,Omar,565,0,158,49,23,6,5,57,58,0,0,43,12,A,AA,17,B,R,0,0,0,0,1,0,0,0,0,37.30,30.00,39.60,0.280,0.368,0.388,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Giles,Brian S.,377,0,101,61,15,3,17,63,50,0,0,13,3,C,B,13,D,L,0,0,0,0,0,0,3,3,3,48.20,41.90,42.80,0.268,0.459,0.391,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
Cleveland,Seitzer,Kevin,198,0,53,24,14,0,2,18,25,0,0,0,0,C,E,8,B,R,0,0,5,0,0,5,0,0,0,34.20,39.20,31.05,0.268,0.369,0.329,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0
