Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Baltland,Orosco,Jesse,2.00,2,2,2,1,0,-2,0,0,0,0,1,L,26.50,19.00,40.10,9.00,18.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Wengert,Don,2.00,1,3,0,4,1,-4,0,0,0,5,3,R,35.60,36.30,34.50,4.50,13.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Johnson,Dane,6.00,3,5,1,6,0,5,1,0,0,0,2,R,30.00,39.20,33.00,4.50,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Oquist,Mike,6.60,13,15,3,3,4,-5,0,0,0,5,4,R,30.75,29.25,30.50,17.73,24.55,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Small,Aaron,1.60,1,1,2,1,0,2,0,0,0,0,2,R,33.50,36.40,30.40,5.62,16.88,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Benitez,Armando,2.00,1,0,3,2,0,9,0,1,0,0,1,R,20.25,26.25,22.35,4.50,13.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Myers,Randy,3.30,0,1,1,3,0,-6,1,0,0,0,1,L,21.30,28.40,18.90,0.00,5.45,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Rhodes,Arthur,3.60,0,0,0,2,0,2,0,0,1,0,3,L,16.75,14.95,18.25,0.00,0.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Taylor,Billy,3.00,1,3,0,5,0,5,0,0,1,0,1,R,26.50,35.60,17.55,3.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Karsay,Steve,23.30,11,19,7,15,1,3,1,1,0,6,0,R,33.80,32.60,33.80,4.25,10.04,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Erickson,Scott,25.30,11,26,10,17,4,1,1,1,0,7,0,R,25.30,23.20,28.20,3.91,12.81,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Rigby,Brad,20.30,8,27,4,7,3,-6,1,1,0,5,0,R,31.75,36.00,27.75,3.55,13.74,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Kamieniecki,Scott,32.00,10,27,8,23,3,2,3,1,0,6,0,R,27.80,28.50,27.25,2.81,9.84,4,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Baltland,Key,Jimmy,25.30,17,29,12,13,1,-5,2,2,0,6,0,L,27.00,32.60,26.70,6.05,14.58,4,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Mussina,Mike,30.30,19,35,10,28,5,-4,2,2,0,7,0,R,20.40,17.50,19.50,5.64,13.37,4,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
