Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Montrado,Reed,Jeff,45,13,14,16,1,0,9,10,6,3,0,0,0,A,D,9,C,L,0,4,0,0,0,0,0,0,0,45.90,13.95,50.15,0.311,0.933,0.466,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,McGuire,Paul,13,1,2,2,0,0,0,1,5,0,0,0,0,C,D,11,B,L,0,0,0,2,0,0,3,4,3,32.50,21.55,35.30,0.154,0.154,0.214,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Manwaring,Kirt,0,0,0,0,0,0,0,0,0,0,0,0,0,C,E,10,C,R,0,2,0,0,0,0,0,0,0,26.80,24.00,30.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Grudzielanek,Mark,20,4,6,2,1,0,0,2,0,0,0,2,0,C,A,14,B,R,0,0,0,0,3,0,0,0,0,29.20,25.20,34.20,0.300,0.350,0.417,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Fullmer,Brad,31,11,13,7,2,1,3,5,2,2,0,0,0,D,E,11,C,L,0,0,4,0,0,0,4,0,4,34.75,26.60,41.50,0.419,0.839,0.526,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Fletcher,Darrin,18,3,4,1,1,1,0,1,1,0,0,0,0,D,E,8,C,L,0,4,0,0,0,0,0,0,0,30.00,26.80,33.05,0.222,0.389,0.263,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Rodriguez,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,9,D,L,0,0,4,0,0,0,5,0,5,27.80,27.00,27.65,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Strange,Doug,16,6,6,5,1,0,2,1,4,0,0,0,0,B,E,11,D,R,0,0,4,4,0,3,5,0,5,31.25,27.40,33.35,0.375,0.813,0.412,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Vidro,Jose,4,0,0,0,0,0,0,0,2,0,0,0,0,D,E,13,D,R,0,0,0,4,0,4,0,0,0,27.30,27.75,27.75,0.000,0.000,0.000,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,White,Rondell,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,16,C,R,0,0,0,0,0,0,0,2,0,29.20,28.40,34.05,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Bates,Jason,49,5,16,8,4,0,0,5,14,0,0,0,0,D,E,12,D,R,0,0,0,3,4,4,0,0,0,32.60,28.95,37.10,0.327,0.408,0.389,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,McCracken,Quinton,50,13,20,3,2,0,1,9,10,0,0,6,1,A,A,16,C,R,0,0,0,0,0,0,0,3,0,44.20,32.65,51.75,0.400,0.500,0.538,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Bichette,Dante,60,12,22,14,4,0,4,2,9,1,0,1,0,D,C,10,C,R,0,0,0,0,0,0,4,0,4,37.50,33.40,41.65,0.367,0.633,0.406,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Weiss,Walt,38,5,13,11,0,3,1,4,3,0,0,1,0,B,C,13,B,R,0,0,0,0,2,0,0,0,0,44.30,36.40,46.20,0.342,0.579,0.419,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Pulliam,Harvey,11,2,3,3,0,0,1,1,0,1,0,0,0,D,E,12,D,R,0,0,0,0,0,0,3,0,3,36.00,37.85,35.25,0.273,0.545,0.385,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Perez,Neifi,19,3,5,4,1,0,1,1,5,0,0,0,0,A,C,14,C,R,0,0,0,2,2,3,0,0,0,34.50,38.15,33.20,0.263,0.474,0.300,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Widger,Chris,8,2,2,0,1,0,0,0,0,0,0,0,0,D,E,11,D,R,0,3,0,0,0,0,0,0,0,25.90,38.60,21.60,0.250,0.375,0.250,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Guerrero,Vladimir,14,2,5,1,3,0,0,2,1,0,0,0,0,D,D,12,C,R,0,0,0,0,0,0,0,0,0,36.50,39.60,40.95,0.357,0.571,0.438,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Burks,Ellis,58,10,15,15,3,0,5,2,15,0,0,0,0,B,C,14,C,R,0,0,0,0,0,0,2,3,2,41.70,39.75,45.90,0.259,0.569,0.283,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Santangelo,F.P.,48,12,16,13,3,0,5,10,11,1,0,1,0,A,C,11,C,R,0,0,0,4,5,4,2,3,2,37.20,42.65,46.40,0.333,0.708,0.467,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Lansing,Mike,24,1,5,1,1,0,1,1,3,0,0,0,0,B,C,14,C,R,0,0,0,2,0,0,0,0,0,35.20,43.00,36.75,0.208,0.375,0.240,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Segui,David,15,4,5,2,1,0,1,2,0,0,0,0,0,D,E,11,C,R,0,0,2,0,0,0,0,0,0,43.25,45.80,41.35,0.333,0.600,0.412,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Walker,Larry,25,7,9,4,2,0,0,8,3,1,0,2,0,C,A,16,B,L,0,0,4,0,0,0,0,3,0,57.00,48.65,61.00,0.360,0.440,0.556,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Castilla,Vinny,46,3,15,6,3,0,1,2,8,0,0,0,0,D,D,10,C,R,0,0,0,0,0,3,0,0,0,37.25,49.40,38.10,0.326,0.457,0.354,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Montrado,Galarraga,Andres,51,7,16,7,5,1,1,3,8,2,0,3,0,D,B,11,D,L,0,0,2,0,0,0,0,0,0,44.25,56.45,46.75,0.314,0.510,0.407,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
