Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Philanta,Butler,Rob,47,7,13,3,7,0,0,4,6,3,0,0,0,C,D,14,C,L,0,0,0,0,0,0,3,4,3,34.75,14.95,35.10,0.277,0.426,0.370,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Robertson,Mike,0,0,0,0,0,0,0,0,0,0,0,0,0,B,D,10,C,L,0,0,3,0,0,0,4,0,4,16.60,16.00,31.45,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Jordan,Kevin,4,2,3,2,0,0,1,0,0,0,0,0,0,D,E,12,C,R,0,0,3,4,0,4,0,0,0,28.00,22.90,32.40,0.750,1.500,0.750,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Klesko,Ryan,50,5,15,6,3,1,3,4,17,0,0,1,0,D,D,11,D,L,0,0,4,0,0,0,4,0,4,33.60,22.90,36.50,0.300,0.580,0.364,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Sefcik,Kevin,35,6,11,5,1,0,0,0,9,1,0,2,0,A,D,12,D,R,0,0,0,4,4,4,0,0,0,28.50,25.35,34.25,0.314,0.343,0.368,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Lockhart,Keith,60,6,8,5,1,1,1,5,12,3,0,0,0,C,E,12,B,L,0,0,0,3,0,4,0,0,0,37.80,28.40,37.90,0.133,0.233,0.235,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Bautista,Danny,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,12,D,R,0,0,0,0,0,0,2,3,2,23.00,28.55,19.40,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Cummings,Midre,5,0,2,1,1,0,0,0,0,0,0,0,0,D,D,14,C,L,0,0,0,0,0,0,4,4,4,34.90,31.00,35.00,0.400,0.600,0.400,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Jones,Chipper,57,11,21,7,4,0,3,3,7,1,0,4,1,D,A,15,C,R,0,0,0,0,0,2,4,0,4,43.00,32.20,46.60,0.368,0.596,0.446,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Lieberthal,Mike,45,4,7,8,1,0,3,4,14,1,0,0,0,D,D,10,C,R,0,3,0,0,0,0,0,0,0,31.40,33.95,33.70,0.156,0.378,0.240,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Tucker,Michael,58,9,21,4,4,0,0,5,11,0,0,9,0,B,B,16,C,L,0,0,0,0,0,0,3,0,3,37.20,35.50,42.60,0.362,0.431,0.486,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Lemke,Mark,0,0,0,0,0,0,0,0,0,0,0,0,0,B,E,11,C,R,0,0,0,2,0,0,0,0,0,29.40,36.50,26.60,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Amaro,Ruben,3,0,2,1,0,1,0,0,1,0,0,0,0,D,E,13,C,R,0,0,4,0,0,0,3,4,3,27.00,40.25,29.25,0.667,1.333,0.667,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Otero,Ricky,0,0,0,0,0,0,0,0,0,0,0,0,0,B,E,15,B,R,0,0,0,0,0,0,0,4,0,36.40,41.60,34.30,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,McGriff,Fred,63,8,20,10,4,1,2,7,9,1,0,1,0,D,D,10,C,L,0,0,4,0,0,0,0,0,0,39.70,41.90,39.00,0.317,0.508,0.403,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Jefferies,Gregg,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,13,B,R,0,0,0,0,0,0,5,0,5,33.40,42.10,29.75,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Graffanino,Tony,68,7,17,15,2,1,4,4,23,1,0,2,2,C,C,14,D,R,0,0,5,2,3,3,0,0,0,38.20,42.15,39.40,0.250,0.485,0.320,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Stocker,Kevin,10,1,0,0,0,0,0,1,2,0,0,0,0,B,B,13,C,R,0,0,0,0,3,0,0,0,0,34.00,43.75,30.75,0.000,0.000,0.091,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Philanta,Lofton,Kenny,61,5,17,10,1,1,0,11,11,2,0,2,2,A,B,15,C,L,0,0,0,0,0,0,0,2,0,51.05,44.10,52.50,0.279,0.328,0.421,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
