Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
SanLouis,Sheaffer,Danny,31,4,12,2,1,0,0,2,0,0,0,0,0,B,E,11,C,R,0,4,0,5,0,3,4,0,4,26.70,23.00,34.90,0.387,0.419,0.424,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Gant,Ron,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,13,D,R,0,0,0,0,0,0,4,0,4,29.50,24.35,33.10,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Snow,J.T.,42,6,12,6,3,0,1,4,8,0,0,0,0,D,C,11,C,R,0,0,1,0,0,0,0,0,0,45.50,26.65,49.75,0.286,0.429,0.348,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Clayton,Royce,37,3,9,2,4,1,0,1,4,0,0,1,0,C,A,15,C,R,0,0,0,0,2,0,0,0,0,28.50,26.75,31.75,0.243,0.405,0.282,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Mabry,John,42,5,12,7,1,1,0,3,10,1,0,0,0,D,E,11,D,L,0,0,3,0,0,5,3,4,3,35.80,27.00,38.90,0.286,0.357,0.348,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Johnson,Brian,31,6,13,9,2,0,3,0,3,0,0,0,0,B,E,9,B,R,0,4,4,0,0,0,0,0,0,30.40,28.15,33.55,0.419,0.774,0.419,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Kent,Jeff,22,2,6,4,1,0,1,4,6,0,0,0,0,D,B,13,C,R,0,0,3,3,0,0,0,0,0,28.25,30.90,34.35,0.273,0.455,0.385,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Hill,Glenallen,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,13,C,R,0,0,0,0,0,0,0,0,0,27.40,31.00,29.20,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Young,Dmitri,7,2,0,0,0,0,0,3,1,1,0,0,0,D,C,12,B,R,0,0,4,0,0,0,4,0,4,34.45,32.25,34.75,0.000,0.000,0.364,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Lampkin,Tom,14,0,0,0,0,0,0,0,4,0,0,0,0,C,D,10,C,L,0,3,0,0,0,0,0,0,0,31.10,32.30,33.15,0.000,0.000,0.000,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
