Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Bostago                            ,Jefferson, Reggie             ,9,2,2,1,0,0,0,1,3,1,0,0,0,2,6,5,3,0,0,0,5,0,0,0,0,0,0,38.05 ,16.4  ,45.8  ,0.222,0.222,0.364,2,0
1997 Bostago                            ,Durham, Ray                   ,8,2,1,1,0,0,0,4,3,0,0,1,0,0,2,12,2,2,0,0,0,3,0,0,0,0,0,35.45 ,26.75 ,40.25 ,0.125,0.125,0.462,3,0
1997 Bostago                            ,Valdez, Mario                 ,14,3,5,4,0,0,1,3,2,0,0,0,0,3,6,5,3,0,0,0,2,0,0,5,0,0,0,36.8  ,27.25 ,41.3  ,0.357,0.571,0.471,4,0
1997 Bostago                            ,Pena, Tony                    ,12,1,0,2,0,0,0,2,2,1,0,0,0,3,6,3,2,1,0,3,0,0,0,5,0,0,0,17.7  ,27.8  ,23    ,0.000,0.000,0.200,4,0
1997 Bostago                            ,Garciaparra, Nomar            ,41,12,17,9,5,1,3,2,4,0,0,0,0,3,2,10,2,1,0,0,0,0,2,0,0,0,0,31    ,29.7  ,41.65 ,0.415,0.805,0.442,10,0
1997 Bostago                            ,Abbott, Jeff                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,2,1,0,0,0,0,0,0,3,0,3,26.35 ,29.8  ,24.3  ,0.000,0.000,0.000,0,0
1997 Bostago                            ,Pemberton, Rudy               ,28,2,8,6,2,0,0,1,6,0,0,0,0,3,6,9,3,1,0,0,0,0,0,0,0,0,0,24.5  ,30.5  ,40.75 ,0.286,0.357,0.310,7,0
1997 Bostago                            ,Mouton, Lyle                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,1,0,0,0,0,0,0,4,0,4,29    ,30.85 ,32.6  ,0.000,0.000,0.000,0,0
1997 Bostago                            ,Haselman, Bill                ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,1,0,3,0,0,0,0,0,0,0,23.25 ,30.9  ,21.7  ,0.000,0.000,0.000,1,0
1997 Bostago                            ,Martinez, Dave                ,13,2,2,1,0,0,1,0,1,0,0,0,0,1,3,9,1,0,0,0,3,0,0,0,2,2,2,38.35 ,32    ,38.5  ,0.154,0.385,0.154,3,0
1997 Bostago                            ,Bragg, Darren                 ,9,1,3,3,1,0,1,0,0,0,0,0,0,2,4,9,1,0,0,0,0,0,0,5,0,4,0,34.3  ,33    ,34.6  ,0.333,0.778,0.333,2,0
1997 Bostago                            ,Ordonez, Magglio              ,4,0,1,1,0,0,0,0,2,0,0,0,0,3,5,7,3,1,0,0,0,0,0,0,0,0,0,38    ,33    ,40.3  ,0.250,0.250,0.250,2,0
1997 Bostago                            ,Cordero, Wil                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,1,0,0,0,5,0,0,3,0,3,30.25 ,33.3  ,31.55 ,0.000,0.000,0.000,0,0
1997 Bostago                            ,Hatteberg, Scott              ,29,3,8,2,2,0,0,6,4,0,0,0,0,3,6,5,3,0,0,4,0,0,0,0,0,0,0,38.2  ,33.55 ,39.2  ,0.276,0.345,0.400,8,0
1997 Bostago                            ,O'Leary, Troy                 ,17,2,5,1,2,0,0,1,4,0,0,0,0,3,6,8,2,0,0,0,0,0,0,0,4,0,4,38.75 ,36.15 ,39    ,0.294,0.412,0.333,4,0
1997 Bostago                            ,Valentin, John                ,24,1,3,0,1,0,0,1,7,0,0,0,0,2,4,9,2,1,0,0,0,3,0,3,0,0,0,41.75 ,38.3  ,46.2  ,0.125,0.167,0.160,5,0
1997 Bostago                            ,Cameron, Mike                 ,26,6,8,4,2,0,1,6,8,0,0,1,1,3,2,11,3,1,0,0,0,0,0,0,0,2,0,39.1  ,38.5  ,43.8  ,0.308,0.500,0.455,7,0
1997 Bostago                            ,Martin, Norberto              ,6,1,2,0,0,0,0,0,1,0,0,0,0,3,5,10,2,1,0,0,0,4,4,4,0,0,0,34    ,39.95 ,30    ,0.333,0.333,0.333,2,0
1997 Bostago                            ,Mack, Shane                   ,29,2,4,7,1,0,2,4,6,1,0,0,0,2,5,9,2,1,0,0,0,0,0,0,3,4,3,39.25 ,41.75 ,44.95 ,0.138,0.379,0.265,7,0
1997 Bostago                            ,Frye, Jeff                    ,41,8,17,10,7,0,0,3,3,2,0,2,0,2,2,9,1,1,0,0,5,2,4,5,4,4,4,39.25 ,43.75 ,40    ,0.415,0.585,0.500,11,0
1997 Bostago                            ,Belle, Albert                 ,13,2,2,0,0,0,0,1,4,1,0,0,0,3,5,7,2,1,0,0,0,0,0,0,4,0,4,33    ,46    ,32.95 ,0.154,0.154,0.267,3,0
1997 Bostago                            ,Naehring, Tim                 ,35,9,8,13,1,1,2,6,4,2,0,0,0,3,6,6,2,1,0,0,0,0,0,2,0,0,0,44.4  ,55.05 ,42.1  ,0.229,0.486,0.372,9,0
1997 Bostago                            ,Vaughn, Mo                    ,40,13,14,15,1,0,6,7,10,1,0,0,0,3,6,3,3,0,0,0,4,0,0,0,0,0,0,48.25 ,57.15 ,46.4  ,0.350,0.825,0.458,10,0
1997 Bostago                            ,Thomas, Frank                 ,33,13,12,5,5,0,4,4,4,2,0,0,0,3,6,5,2,1,0,0,5,0,0,0,0,0,0,60.25 ,58.6  ,63.15 ,0.364,0.879,0.462,8,0
1997 Bostago                            ,Ventura, Robin                ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,1,0,0,0,0,0,0,2,0,0,0,41.1  ,45.6  ,38.6  ,0.000,0.000,0.000,0,0
