Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Cinangeles                         ,Anthony, Eric                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,0,0,0,0,0,0,0,4,0,4,36.9  ,3.15  ,36.55 ,0.000,0.000,0.000,0,0
1997 Cinangeles                         ,Nixon, Otis                   ,22,3,10,4,0,0,1,1,0,1,0,2,1,0,1,12,2,2,0,0,0,0,0,0,0,2,0,38.1  ,20.4  ,43.15 ,0.455,0.591,0.538,4,0
1997 Cinangeles                         ,Guerrero, Wilton              ,15,4,8,5,1,1,2,0,1,1,0,0,1,0,4,8,1,2,0,0,0,4,4,0,0,0,0,32.75 ,22.9  ,35.75 ,0.533,1.133,0.563,3,0
1997 Cinangeles                         ,Morris, Hal                   ,20,1,3,2,0,0,0,2,4,0,0,0,0,1,5,5,1,0,0,0,3,0,0,0,0,0,0,32.8  ,25.25 ,40.25 ,0.150,0.150,0.227,5,0
1997 Cinangeles                         ,Stynes, Chris                 ,14,3,3,1,0,0,1,1,3,1,0,1,0,2,2,9,1,1,0,0,0,4,0,4,4,0,4,45.3  ,25.9  ,55.25 ,0.214,0.429,0.353,3,0
1997 Cinangeles                         ,Greene, Willie                ,9,2,5,4,0,0,1,0,1,1,0,0,1,3,4,6,3,0,0,0,4,0,5,4,4,0,4,39.5  ,26.85 ,40.35 ,0.556,0.889,0.600,2,0
1997 Cinangeles                         ,Owens, Eric                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,1,0,0,0,4,0,0,3,4,3,30.8  ,30.2  ,33.25 ,0.000,0.000,0.000,0,0
1997 Cinangeles                         ,Karros, Eric                  ,5,1,2,0,0,0,0,0,2,0,0,1,0,3,3,5,2,1,0,0,3,0,0,0,0,0,0,34.2  ,32    ,38.4  ,0.400,0.400,0.500,1,0
1997 Cinangeles                         ,Nunnally, Jon                 ,20,5,7,3,0,0,2,3,8,0,0,0,1,2,3,9,3,0,0,0,0,0,0,0,3,4,3,52.5  ,34.8  ,51.25 ,0.350,0.650,0.435,5,0
1997 Cinangeles                         ,Lewis, Darren                 ,24,1,7,3,0,0,0,0,5,1,0,2,2,0,4,12,3,1,0,0,0,0,0,0,1,1,1,38.75 ,36    ,41.7  ,0.292,0.292,0.370,5,0
1997 Cinangeles                         ,Sanders, Deion                ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,2,0,0,0,0,0,0,0,3,0,3,33    ,36.5  ,32.35 ,0.000,0.000,0.000,0,0
1997 Cinangeles                         ,Butler, Brett                 ,18,4,4,1,0,0,0,5,1,1,0,3,0,0,3,8,1,0,0,0,0,0,0,0,3,3,3,41.25 ,37.5  ,42.25 ,0.222,0.222,0.481,5,0
1997 Cinangeles                         ,Kelly, Mike                   ,8,2,2,1,1,0,0,0,2,0,0,0,0,3,3,9,3,1,0,0,0,0,0,0,4,4,4,37    ,38.45 ,37.05 ,0.250,0.375,0.250,2,0
1997 Cinangeles                         ,Cedeno, Roger                 ,12,3,4,2,2,0,1,0,2,1,0,1,0,1,3,11,2,2,0,0,0,0,0,0,2,3,2,39.2  ,39.35 ,41.4  ,0.333,0.750,0.429,3,0
1997 Cinangeles                         ,Oliver, Joe                   ,24,4,6,5,0,0,2,0,2,0,0,0,0,3,6,3,2,1,0,3,4,0,0,0,0,0,0,29.9  ,39.4  ,30.8  ,0.250,0.500,0.250,5,0
1997 Cinangeles                         ,Cromer, Tripp                 ,9,4,4,3,1,0,2,0,3,0,0,0,0,2,6,6,3,1,0,0,0,3,3,3,0,0,0,32.75 ,39.5  ,30.4  ,0.444,1.222,0.444,2,0
1997 Cinangeles                         ,Goodwin, Curtis               ,8,2,4,3,2,0,1,1,1,0,0,1,0,2,2,12,2,0,0,0,0,0,0,0,3,3,3,31.75 ,39.7  ,28.3  ,0.500,1.125,0.600,2,0
1997 Cinangeles                         ,Young, Eric                   ,27,4,8,2,2,0,0,0,2,1,0,2,0,0,1,12,1,1,0,0,0,3,0,0,0,0,0,40    ,39.8  ,44    ,0.296,0.370,0.367,6,0
1997 Cinangeles                         ,Perez, Eduardo                ,7,2,2,2,0,0,1,1,2,0,0,0,0,3,4,7,2,1,0,0,3,0,0,5,4,0,4,31.9  ,40    ,30.5  ,0.286,0.714,0.375,2,0
1997 Cinangeles                         ,Zeile, Todd                   ,25,6,12,10,2,0,4,3,3,1,0,0,0,3,4,5,1,1,0,0,0,0,0,4,0,0,0,39.7  ,40.65 ,43.2  ,0.480,1.040,0.552,6,0
1997 Cinangeles                         ,Mondesi, Raul                 ,5,1,4,0,0,0,0,1,1,0,0,0,0,2,2,12,3,1,0,0,0,0,0,0,0,0,0,38.75 ,41.15 ,41.05 ,0.800,0.800,0.833,2,0
1997 Cinangeles                         ,Pendleton, Terry              ,8,2,2,1,1,0,0,2,2,0,0,0,0,3,5,4,1,2,0,0,0,0,0,4,0,0,0,31.6  ,41.4  ,25.4  ,0.250,0.375,0.400,2,0
1997 Cinangeles                         ,Sanders, Reggie               ,12,3,2,1,1,0,1,2,4,0,0,0,0,3,3,11,3,1,0,0,0,0,0,0,0,0,0,36.4  ,50.1  ,35.95 ,0.167,0.500,0.286,3,0
1997 Cinangeles                         ,Piazza, Mike                  ,28,3,7,5,0,0,2,1,2,1,0,0,0,3,5,4,2,1,0,4,0,0,0,0,0,0,0,54.6  ,58.45 ,55.65 ,0.250,0.464,0.300,6,0
1997 Cinangeles                         ,Larkin, Barry                 ,26,4,8,5,2,0,1,5,2,0,0,1,2,2,2,9,1,1,0,0,0,0,3,0,0,0,0,55    ,61.75 ,57    ,0.308,0.500,0.438,7,0
