Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Cleonto                            ,Branson, Jeff                 ,22,2,7,3,0,0,0,0,3,0,0,0,0,3,6,6,3,0,0,0,0,3,3,2,0,0,0,34.2  ,18.6  ,36.7  ,0.318,0.318,0.318,5,0
1997 Cleonto                            ,Duncan, Mariano               ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,2,1,0,0,0,4,0,0,4,0,4,20.8  ,20.4  ,24.15 ,0.000,0.000,0.000,0,0
1997 Cleonto                            ,Mitchell, Kevin               ,4,1,1,0,0,0,0,1,0,0,0,0,0,3,5,3,2,1,0,0,0,0,0,0,5,0,5,24.1  ,22.7  ,28.7  ,0.250,0.250,0.400,1,0
1997 Cleonto                            ,Vizquel, Omar                 ,22,7,7,5,1,0,1,4,3,1,0,1,0,0,1,12,1,2,0,0,0,0,1,0,0,0,0,37.3  ,30    ,39.6  ,0.318,0.500,0.464,6,0
1997 Cleonto                            ,Merced, Orlando               ,22,7,11,5,2,0,1,3,4,0,0,0,0,3,4,7,1,0,0,0,3,0,0,0,0,0,0,38.25 ,30.65 ,41.9  ,0.500,0.727,0.560,5,0
1997 Cleonto                            ,Grissom, Marquis              ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,2,1,0,0,0,0,0,0,0,1,0,30.7  ,31.4  ,33.5  ,0.000,0.000,0.000,0,0
1997 Cleonto                            ,Williams, Matt                ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,1,0,0,0,0,0,0,0,0,0,27.2  ,31.8  ,30.6  ,0.000,0.000,0.000,0,0
1997 Cleonto                            ,Gonzalez, Alex                ,18,4,4,3,0,0,2,2,3,0,0,3,0,0,3,8,3,1,0,0,0,0,2,0,0,0,0,26    ,32.8  ,27.7  ,0.222,0.556,0.391,5,0
1997 Cleonto                            ,Cruz Jr.,Jose                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,2,2,0,0,0,0,0,0,4,5,4,30.8  ,33.7  ,28.65 ,0.000,0.000,0.000,0,0
1997 Cleonto                            ,Sprague, Ed                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,1,0,0,0,0,0,3,0,0,0,27.6  ,34.9  ,28.6  ,0.000,0.000,0.000,0,0
