Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Florago                            ,Hansen, Dave                  ,32,5,9,4,3,1,0,6,11,1,0,0,0,3,6,5,1,0,0,0,4,5,0,4,0,0,0,56    ,3.35  ,57.75 ,0.281,0.438,0.410,8,0
1997 Florago                            ,Counsell, Craig               ,37,5,8,5,2,0,0,5,3,0,0,0,0,2,6,8,1,0,0,0,0,2,0,0,0,0,0,41.75 ,19.9  ,44.75 ,0.216,0.270,0.310,8,0
1997 Florago                            ,Dunwoody, Todd                ,34,8,8,7,2,2,4,4,11,1,0,1,0,3,4,9,3,0,0,0,0,0,0,0,3,3,3,40.1  ,21    ,46.1  ,0.235,0.765,0.350,8,0
1997 Florago                            ,Clark, Dave                   ,46,10,15,11,5,0,2,5,9,0,0,0,0,3,5,0,2,0,0,0,0,0,0,0,4,0,4,44.2  ,21.7  ,46.4  ,0.326,0.565,0.392,10,0
1997 Florago                            ,Castillo, Luis                ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,2,1,0,0,0,2,0,0,0,0,0,31    ,22.9  ,30.9  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Alexander, Manny              ,9,1,2,0,0,0,0,0,3,0,0,1,0,2,2,10,2,1,0,0,0,3,3,4,0,0,0,29.3  ,27.6  ,35.75 ,0.222,0.222,0.300,3,0
1997 Florago                            ,White, Devon                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,3,2,0,0,0,0,0,0,0,2,0,33.2  ,28.65 ,35    ,0.000,0.000,0.000,0,0
1997 Florago                            ,Orie, Kevin                   ,44,9,15,11,3,1,4,3,7,0,0,0,1,2,5,6,2,1,0,0,0,0,4,2,0,0,0,37    ,31    ,43.75 ,0.341,0.727,0.383,9,0
1997 Florago                            ,Glanville, Doug               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,1,0,0,0,0,0,0,1,2,1,35.5  ,31.75 ,39.5  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Sosa, Sammy                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,3,1,0,0,0,0,0,0,0,0,0,26.2  ,31.85 ,27.6  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Hernandez, Jose               ,3,0,1,1,0,0,0,0,0,0,0,0,0,3,5,9,2,1,0,0,5,4,3,3,4,0,4,32.2  ,33.3  ,34.3  ,0.333,0.333,0.333,1,0
1997 Florago                            ,Connie, Jeff                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,1,0,0,2,0,0,0,4,0,4,34.95 ,33.7  ,36.9  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Eisenreich, Jim               ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,1,0,0,0,3,0,0,0,4,4,4,37.2  ,34.75 ,35.8  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Daulton, Darren               ,39,7,10,9,1,0,3,5,6,0,0,0,0,3,4,5,2,0,0,0,5,0,0,0,0,0,0,45    ,35.8  ,46.7  ,0.256,0.513,0.341,9,0
1997 Florago                            ,Johnson, Lance                ,14,5,5,2,0,0,0,3,1,1,0,2,0,3,2,12,1,0,0,0,0,0,0,0,0,3,0,43.25 ,37.85 ,42.75 ,0.357,0.357,0.550,4,0
