Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Montrado                           ,Reed, Jeff                    ,22,11,11,12,0,0,8,7,2,1,0,0,0,0,5,4,2,0,0,4,0,0,0,0,0,0,0,45.9  ,13.95 ,50.15 ,0.500,1.591,0.633
1997 Montrado                           ,McGuire, Paul                 ,4,1,1,1,0,0,0,0,1,0,0,0,0,2,5,6,1,0,0,0,0,2,0,0,3,4,3,32.5  ,21.55 ,35.3  ,0.250,0.250,0.250
1997 Montrado                           ,Manwaring, Kirt               ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,2,1,0,2,0,0,0,0,0,0,0,26.8  ,24    ,30    ,0.000,0.000,0.000
1997 Montrado                           ,Grudzielanek, Mark            ,11,2,3,1,0,0,0,2,0,0,0,2,0,2,2,9,1,1,0,0,0,0,3,0,0,0,0,29.2  ,25.2  ,34.2  ,0.273,0.273,0.467
1997 Montrado                           ,Fullmer, Brad                 ,18,6,5,1,2,1,0,3,2,2,0,0,0,3,6,6,2,0,0,0,4,0,0,0,4,0,4,34.75 ,26.6  ,41.5  ,0.278,0.500,0.435
1997 Montrado                           ,Fletcher, Darrin              ,11,0,2,1,1,0,0,0,0,0,0,0,0,3,6,3,2,0,0,4,0,0,0,0,0,0,0,30    ,26.8  ,33.05 ,0.182,0.273,0.182
1997 Montrado                           ,Rodriguez, Henry              ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,0,0,4,0,0,0,5,0,5,27.8  ,27    ,27.65 ,0.000,0.000,0.000
1997 Montrado                           ,Strange, Doug                 ,9,5,4,4,0,0,2,0,1,0,0,0,0,1,6,6,3,2,0,0,4,4,0,3,5,0,5,31.25 ,27.4  ,33.35 ,0.444,1.111,0.444
1997 Montrado                           ,Vidro, Jose                   ,4,0,0,0,0,0,0,0,2,0,0,0,0,3,6,8,3,2,0,0,0,4,0,4,0,0,0,27.3  ,27.75 ,27.75 ,0.000,0.000,0.000
1997 Montrado                           ,White, Rondell                ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,2,1,0,0,0,0,0,0,0,2,0,29.2  ,28.4  ,34.05 ,0.000,0.000,0.000
1997 Montrado                           ,Bates, Jason                  ,21,2,8,6,1,0,0,2,3,0,0,0,0,3,6,7,3,2,0,0,0,3,4,4,0,0,0,32.6  ,28.95 ,37.1  ,0.381,0.429,0.435
1997 Montrado                           ,McCracken, Quinton            ,33,5,10,2,1,0,1,5,8,0,0,1,0,0,2,11,2,2,0,0,0,0,0,0,0,3,0,44.2  ,32.65 ,51.75 ,0.303,0.424,0.410
1997 Montrado                           ,Bichette, Dante               ,29,4,9,4,3,0,1,0,3,1,0,1,0,3,4,5,2,1,0,0,0,0,0,0,4,0,4,37.5  ,33.4  ,41.65 ,0.310,0.517,0.355
1997 Montrado                           ,Weiss, Walt                   ,19,1,5,4,0,1,0,3,2,0,0,0,0,1,4,8,1,2,0,0,0,0,2,0,0,0,0,44.3  ,36.4  ,46.2  ,0.263,0.368,0.364
1997 Montrado                           ,Pulliam, Harvey               ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,3,1,0,0,0,0,0,0,3,0,3,36    ,37.85 ,35.25 ,0.000,0.000,0.000
1997 Montrado                           ,Perez, Neifi                  ,7,2,3,3,0,0,1,1,1,0,0,0,0,0,4,9,2,2,0,0,0,2,2,3,0,0,0,34.5  ,38.15 ,33.2  ,0.429,0.857,0.500
1997 Montrado                           ,Widger, Chris                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,1,0,3,0,0,0,0,0,0,0,25.9  ,38.6  ,21.6  ,0.000,0.000,0.000
1997 Montrado                           ,Guerrero, Vladimir            ,4,0,1,0,1,0,0,1,1,0,0,0,0,3,5,7,2,1,0,0,0,0,0,0,0,0,0,36.5  ,39.6  ,40.95 ,0.250,0.500,0.400
1997 Montrado                           ,Burks, Ellis                  ,26,4,8,5,1,0,2,1,6,0,0,0,0,1,4,9,2,1,0,0,0,0,0,0,2,3,2,41.7  ,39.75 ,45.9  ,0.308,0.577,0.333
1997 Montrado                           ,Santangelo, F.P.              ,27,4,6,5,0,0,2,6,6,0,0,1,0,0,4,6,2,2,0,0,0,4,5,4,2,3,2,37.2  ,42.65 ,46.4  ,0.222,0.444,0.382
1997 Montrado                           ,Lansing, Mike                 ,14,1,3,1,0,0,1,1,3,0,0,0,0,1,4,9,2,1,0,0,0,2,0,0,0,0,0,35.2  ,43    ,36.75 ,0.214,0.429,0.267
1997 Montrado                           ,Segui, David                  ,3,1,1,0,0,0,0,1,0,0,0,0,0,3,6,6,2,2,0,0,2,0,0,0,0,0,0,43.25 ,45.8  ,41.35 ,0.333,0.333,0.500
1997 Montrado                           ,Walker, Larry                 ,11,2,3,0,1,0,0,5,0,1,0,1,0,2,2,11,1,0,0,0,4,0,0,0,0,3,0,57    ,48.65 ,61    ,0.273,0.364,0.556
1997 Montrado                           ,Castilla, Vinny               ,15,2,8,2,3,0,0,1,2,0,0,0,0,3,5,5,2,1,0,0,0,0,0,3,0,0,0,37.25 ,49.4  ,38.1  ,0.533,0.733,0.563
1997 Montrado                           ,Galarraga, Andres             ,27,3,7,4,0,1,1,1,3,0,0,1,0,3,3,6,3,0,0,0,2,0,0,0,0,0,0,44.25 ,56.45 ,46.75 ,0.259,0.444,0.310
