Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Philanta                           ,Butler, Rob                   ,31,5,9,2,5,0,0,2,5,2,0,0,0,2,5,9,2,0,0,0,0,0,0,0,3,4,3,34.75 ,14.95 ,35.1  ,0.290,0.452,0.371,8,0
1997 Philanta                           ,Robertson, Mike               ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,3,0,0,0,4,0,4,16.6  ,16    ,31.45 ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Jordan, Kevin                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,2,1,0,0,3,4,0,4,0,0,0,28    ,22.9  ,32.4  ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Klesko, Ryan                  ,17,2,6,2,1,0,2,2,5,0,0,0,0,3,5,6,3,0,0,0,4,0,0,0,4,0,4,33.6  ,22.9  ,36.5  ,0.353,0.765,0.421,5,0
1997 Philanta                           ,Sefcik, Kevin                 ,14,2,5,2,0,0,0,0,3,1,0,2,0,0,5,7,3,1,0,0,0,4,4,4,0,0,0,28.5  ,25.35 ,34.25 ,0.357,0.357,0.471,3,0
1997 Philanta                           ,Lockhart, Keith               ,35,5,6,4,0,1,1,2,7,1,0,0,0,2,6,7,1,0,0,0,0,3,0,4,0,0,0,37.8  ,28.4  ,37.9  ,0.171,0.314,0.237,9,0
1997 Philanta                           ,Bautista, Danny               ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,3,1,0,0,0,0,0,0,2,3,2,23    ,28.55 ,19.4  ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Cummings, Midre               ,5,0,2,1,1,0,0,0,0,0,0,0,0,3,5,9,2,0,0,0,0,0,0,0,4,4,4,34.9  ,31    ,35    ,0.400,0.600,0.400,2,0
1997 Philanta                           ,Jones, Chipper                ,35,6,13,5,1,0,2,1,5,0,0,4,1,3,2,10,2,2,0,0,0,0,0,2,4,0,4,43    ,32.2  ,46.6  ,0.371,0.571,0.450,8,0
1997 Philanta                           ,Lieberthal, Mike              ,24,3,4,6,0,0,2,1,7,1,0,0,0,3,5,5,2,1,0,3,0,0,0,0,0,0,0,31.4  ,33.95 ,33.7  ,0.167,0.417,0.231,6,0
1997 Philanta                           ,Tucker, Michael               ,30,5,9,3,3,0,0,4,7,0,0,3,0,1,3,11,2,0,0,0,0,0,0,0,3,0,3,37.2  ,35.5  ,42.6  ,0.300,0.400,0.432,7,0
1997 Philanta                           ,Lemke, Mark                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2,2,0,0,0,2,0,0,0,0,0,29.4  ,36.5  ,26.6  ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Amaro, Ruben                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,2,2,0,0,4,0,0,0,3,4,3,27    ,40.25 ,29.25 ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Otero, Ricky                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,1,2,0,0,0,0,0,0,0,4,0,36.4  ,41.6  ,34.3  ,0.000,0.000,0.000,0,0
1997 Philanta                           ,McGriff, Fred                 ,37,5,7,3,1,1,1,3,4,1,0,1,0,3,5,5,2,0,0,0,4,0,0,0,0,0,0,39.7  ,41.9  ,39    ,0.189,0.351,0.286,9,0
1997 Philanta                           ,Jefferies, Gregg              ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,2,0,0,0,0,0,0,5,0,5,33.4  ,42.1  ,29.75 ,0.000,0.000,0.000,0,0
1997 Philanta                           ,Graffanino, Tony              ,44,2,9,6,0,1,0,2,16,0,0,2,2,2,4,9,3,1,0,0,5,2,3,3,0,0,0,38.2  ,42.15 ,39.4  ,0.205,0.250,0.271,10,0
1997 Philanta                           ,Stocker, Kevin                ,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,2,2,0,0,0,0,3,0,0,0,0,34    ,43.75 ,30.75 ,0.000,0.000,0.000,1,0
1997 Philanta                           ,Lofton, Kenny                 ,35,3,9,6,0,1,0,6,6,2,0,1,1,0,3,10,2,0,0,0,0,0,0,0,0,2,0,51.05 ,44.1  ,52.5  ,0.257,0.314,0.409,9,0
1997 Philanta                           ,Jones, Andruw                 ,3,2,3,3,0,0,1,1,0,0,0,0,0,1,2,11,3,1,0,0,0,0,0,0,1,1,1,32.9  ,47.55 ,29.6  ,1.000,2.000,1.000,1,0
1997 Philanta                           ,Rolen, Scott                  ,36,10,15,9,1,0,3,6,9,0,0,4,1,3,3,10,3,1,0,0,0,0,0,3,0,0,0,43.1  ,48.15 ,46.7  ,0.417,0.694,0.543,9,0
1997 Philanta                           ,Lopez, Javy                   ,22,4,4,4,0,0,2,2,5,1,0,0,0,3,6,5,2,1,0,4,0,0,0,0,0,0,0,37.25 ,49.6  ,38.2  ,0.182,0.455,0.280,6,0
1997 Philanta                           ,Barron, Tony                  ,4,1,3,2,1,1,0,1,0,0,0,0,0,3,6,6,3,1,0,0,0,0,0,0,0,0,0,35    ,50    ,30.8  ,0.750,1.500,0.800,1,0
1997 Philanta                           ,Morandini, Mickey             ,19,3,9,6,1,0,1,4,2,0,0,1,0,0,3,9,2,0,0,0,0,2,4,0,0,0,0,43.2  ,52.4  ,40.4  ,0.474,0.684,0.583,6,0
1997 Philanta                           ,Blauser, Jeff                 ,37,10,14,4,2,1,1,9,7,2,0,0,0,1,5,8,2,1,0,0,0,0,3,0,0,0,0,46.25 ,58.5  ,50.9  ,0.378,0.568,0.521,10,0
