Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Texaheim                           ,Howell, Jack                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,4,0,0,4,0,0,0,28.3  ,25.9  ,26.75 ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,Stevens, Lee                  ,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,0,0,0,3,0,0,0,4,0,4,34.75 ,26.25 ,34.9  ,0.000,0.000,0.000,1,0
1997 Texaheim                           ,Simms, Mike                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,1,0,0,4,0,0,0,4,0,4,26.3  ,26.8  ,28.1  ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,Tatis, Fernando               ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,1,0,0,0,0,0,3,0,0,0,27.2  ,26.8  ,29    ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,Alicea, Luis                  ,18,4,4,5,1,0,1,3,3,1,0,2,0,1,2,9,3,2,0,0,0,3,0,4,0,0,0,40.7  ,31.4  ,46.5  ,0.222,0.444,0.417,5,0
1997 Texaheim                           ,Goodwin, Tom                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,2,0,30.2  ,31.6  ,28.9  ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,Cedeno, Domingo               ,18,2,5,2,2,0,0,0,3,1,0,0,0,2,5,8,2,2,0,0,0,4,4,4,0,0,0,34.6  ,32.5  ,34.3  ,0.278,0.389,0.316,6,0
1997 Texaheim                           ,Anderson, Garret              ,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,2,0,0,0,0,0,0,0,3,4,3,34.5  ,33.25 ,35.25 ,0.000,0.000,0.000,2,0
1997 Texaheim                           ,Kreuter, Chad                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,2,0,3,4,0,0,0,0,0,0,29.7  ,34.1  ,27.27 ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,McLemore, Mark                ,4,3,3,1,1,0,0,1,1,0,0,0,0,1,4,10,2,2,0,0,0,2,0,0,4,0,4,35.7  ,35.6  ,34.55 ,0.750,1.000,0.800,1,0
1997 Texaheim                           ,Gonzalez, Juan                ,4,0,1,0,0,0,0,0,0,0,0,0,0,3,6,6,3,1,0,0,0,0,0,0,0,0,0,33.75 ,35.9  ,35.75 ,0.250,0.250,0.250,2,0
1997 Texaheim                           ,Palmerio, Orlando             ,5,3,2,2,0,0,0,2,1,0,0,0,0,2,5,10,1,0,0,0,0,0,0,0,2,2,2,27.6  ,36.3  ,25.4  ,0.400,0.400,0.571,2,0
1997 Texaheim                           ,Edmonds, Jim                  ,15,2,5,2,0,0,2,1,0,0,0,0,0,3,5,7,2,0,0,0,4,0,0,0,0,1,0,40.8  ,38    ,41.9  ,0.333,0.733,0.375,4,0
1997 Texaheim                           ,Mercedes, Henry               ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,1,0,3,0,0,0,0,0,0,0,21    ,39.4  ,24.75 ,0.000,0.000,0.000,0,0
1997 Texaheim                           ,Rodriguez, Ivan               ,11,1,2,1,0,1,0,0,0,0,0,0,0,2,4,7,2,1,0,1,0,0,0,0,0,0,0,37.5  ,40.65 ,41.65 ,0.182,0.364,0.182,3,0
1997 Texaheim                           ,Erstad, Darin                 ,25,3,6,1,0,0,0,1,2,0,0,0,1,1,2,10,2,0,0,0,4,0,0,0,0,3,0,39.5  ,40.85 ,38.75 ,0.240,0.240,0.269,7,0
1997 Texaheim                           ,Greene, Todd                  ,7,1,3,2,1,0,1,1,1,0,0,0,0,3,5,5,3,1,0,4,0,0,0,0,0,0,0,32.6  ,41.6  ,29.45 ,0.429,1.000,0.500,2,0
