Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Baltland                           ,Lennon, Patrick               ,116,0,34,14,6,1,1,15,35,0,0,0,1,3,6,8,3,1,0,0,0,0,0,0,3,4,3,44.2  ,55.5  ,18.4  ,0.293,0.388,0.374
1997 Baltland                           ,Hammonds, Jeffrey             ,397,0,105,55,19,3,21,32,73,0,0,15,1,3,3,11,2,1,0,0,0,0,0,0,3,3,3,31    ,36.05 ,32.7  ,0.264,0.486,0.342
1997 Baltland                           ,Bellhorn, Mark                ,224,0,51,19,9,1,6,32,70,0,0,7,1,1,3,8,3,2,0,0,0,4,4,3,0,0,0,33.2  ,29.95 ,32.9  ,0.228,0.357,0.342
1997 Baltland                           ,Surhoff, B.J.                 ,528,0,150,88,30,4,18,49,60,0,0,1,1,2,6,7,2,0,0,0,4,0,0,4,3,0,3,33.4  ,35.5  ,33.35 ,0.284,0.458,0.346
1997 Baltland                           ,Canseco, Jose                 ,388,0,91,74,19,0,23,51,122,0,0,8,2,3,4,5,3,1,0,0,0,0,0,0,5,0,5,32.2  ,33.85 ,35.8  ,0.235,0.461,0.336
1997 Baltland                           ,Reboulet, Jeff                ,228,0,54,27,9,0,4,23,44,0,0,3,0,0,4,7,2,1,0,0,0,3,4,3,0,0,0,29.4  ,24.5  ,36.2  ,0.237,0.329,0.315
1997 Baltland                           ,Mayne, Brent                  ,256,0,74,22,12,0,6,18,33,0,0,1,0,2,6,4,2,0,0,3,0,0,0,0,0,0,0,34.6  ,30.6  ,36.95 ,0.289,0.406,0.338
1997 Baltland                           ,McDonald, Jason               ,236,0,62,14,11,4,4,36,49,0,0,13,8,1,3,11,3,2,0,0,0,0,0,0,2,3,2,40.6  ,48.4  ,37.35 ,0.263,0.394,0.389
1997 Baltland                           ,Ripken, Cal                   ,615,0,166,84,30,0,17,56,73,0,0,1,0,3,6,5,1,1,0,0,0,0,3,3,0,0,0,33.8  ,33.4  ,37.4  ,0.270,0.402,0.332
1997 Baltland                           ,Davis, Eric                   ,158,0,48,25,11,0,8,14,47,0,0,6,0,3,3,9,3,1,0,0,0,0,0,0,0,0,0,40.5  ,50.1  ,37.8  ,0.304,0.525,0.382
1997 Baltland                           ,Giambi, Jason                 ,519,0,152,81,41,2,20,55,89,0,0,0,1,3,6,6,2,0,0,0,3,0,0,0,5,0,5,39.8  ,46    ,38.4  ,0.293,0.495,0.361
1997 Baltland                           ,Palmerio, Rafael              ,614,0,156,38,24,2,38,67,109,0,0,5,2,3,5,7,2,0,0,0,2,0,0,0,0,0,0,32.1  ,21.95 ,38.95 ,0.254,0.485,0.332
1997 Baltland                           ,Berroa, Geronimo              ,561,0,159,0,25,0,26,76,120,0,0,4,4,3,5,7,3,1,0,0,0,0,0,0,0,0,0,41.4  ,54.4  ,41    ,0.283,0.467,0.373
1997 Baltland                           ,Bournigal, Rafael             ,222,0,62,20,9,0,1,16,19,0,0,2,1,0,5,8,1,1,0,0,0,2,3,0,0,0,0,32.8  ,27.5  ,41.2  ,0.279,0.333,0.333
1997 Baltland                           ,Mashore, Damon                ,279,0,69,18,10,2,3,50,82,0,0,5,4,1,4,9,2,1,0,0,0,0,0,0,2,3,2,40.6  ,52.05 ,42.15 ,0.247,0.330,0.371
1997 Baltland                           ,Baines, Harold                ,452,0,136,67,23,0,16,55,62,0,0,0,1,3,6,3,2,0,0,0,0,0,0,0,0,0,0,41.2  ,28.7  ,42.55 ,0.301,0.458,0.377
1997 Baltland                           ,Walton, Jerome                ,68,0,20,9,1,0,3,4,10,0,0,0,0,2,6,7,2,1,0,0,4,0,0,0,3,3,3,34.8  ,29.85 ,43.25 ,0.294,0.441,0.333
1997 Baltland                           ,Grieve, Ben                   ,93,0,29,24,6,0,3,13,25,0,0,0,0,3,6,7,2,0,0,0,0,0,0,0,0,0,0,47    ,50.1  ,44.3  ,0.312,0.473,0.396
1997 Baltland                           ,Hoiles, Chris                 ,320,0,83,49,15,0,12,51,86,0,0,1,0,3,6,4,3,1,0,3,4,0,0,5,0,0,0,39.8  ,45.2  ,44.7  ,0.259,0.419,0.363
1997 Baltland                           ,Anderson, Brady               ,590,0,170,73,39,7,18,84,105,0,0,18,12,2,3,11,2,0,0,0,0,0,0,0,0,1,0,43    ,44.2  ,46.4  ,0.288,0.469,0.393
1997 Baltland                           ,Stairs, Matt                  ,352,0,105,73,19,0,27,50,60,0,0,3,2,2,5,5,2,0,0,0,4,0,0,0,4,0,4,45.75 ,40.35 ,48    ,0.298,0.582,0.390
1997 Baltland                           ,Williams, George              ,201,0,58,22,9,1,3,35,46,0,0,0,1,2,6,5,2,2,0,4,0,0,0,0,0,0,0,48.5  ,48.1  ,48.7  ,0.289,0.388,0.394
1997 Baltland                           ,Magadan, Dave                 ,271,0,82,30,10,1,4,50,40,0,0,1,0,2,6,3,1,0,0,0,4,0,0,4,0,0,0,51.7  ,34    ,54    ,0.303,0.391,0.413
1997 Baltland                           ,Alomar, Roberto               ,412,0,137,60,23,2,14,40,43,0,0,9,3,0,3,10,1,2,0,0,0,1,0,0,0,0,0,47    ,30.5  ,53.55 ,0.333,0.500,0.403
1997 Baltland                           ,Ledesma, Aaron                ,88,0,31,11,5,1,2,13,9,0,0,1,0,3,5,7,2,1,0,0,4,3,4,4,0,0,0,46.2  ,57.1  ,59.75 ,0.352,0.500,0.441
