Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Bostago                            ,Jefferson, Reggie             ,489,0,156,67,33,1,13,24,93,0,0,1,2,2,6,5,3,0,0,0,5,0,0,0,0,0,0,38.05 ,16.4  ,45.8  ,0.319,0.470,0.352
1997 Bostago                            ,Durham, Ray                   ,634,0,172,53,27,5,11,61,96,0,0,33,16,0,2,12,2,2,0,0,0,3,0,0,0,0,0,35.45 ,26.75 ,40.25 ,0.271,0.382,0.365
1997 Bostago                            ,Valdez, Mario                 ,115,0,28,13,7,0,1,17,39,0,0,1,0,3,6,5,3,0,0,0,2,0,0,5,0,0,0,36.8  ,27.25 ,41.3  ,0.243,0.330,0.346
1997 Bostago                            ,Pena, Tony                    ,67,0,11,8,1,0,0,8,13,0,0,0,0,3,6,3,2,1,0,3,0,0,0,5,0,0,0,17.7  ,27.8  ,23    ,0.164,0.179,0.253
1997 Bostago                            ,Garciaparra, Nomar            ,684,0,209,98,44,11,30,35,92,0,0,22,9,3,2,10,2,1,0,0,0,0,2,0,0,0,0,31    ,29.7  ,41.65 ,0.306,0.534,0.359
1997 Bostago                            ,Abbott, Jeff                  ,38,0,10,2,1,0,1,0,6,0,0,0,0,3,6,7,2,1,0,0,0,0,0,0,3,0,3,26.35 ,29.8  ,24.3  ,0.263,0.368,0.263
1997 Bostago                            ,Pemberton, Rudy               ,63,0,15,10,2,0,2,4,13,0,0,0,0,3,6,9,3,1,0,0,0,0,0,0,0,0,0,24.5  ,30.5  ,40.75 ,0.238,0.365,0.284
1997 Bostago                            ,Mouton, Lyle                  ,242,0,65,23,9,0,5,14,66,0,0,4,4,3,4,7,3,1,0,0,0,0,0,0,4,0,4,29    ,30.85 ,32.6  ,0.269,0.368,0.319
1997 Bostago                            ,Haselman, Bill                ,212,0,50,26,15,0,6,15,44,0,0,0,2,3,6,5,3,1,0,3,0,0,0,0,0,0,0,23.25 ,30.9  ,21.7  ,0.236,0.392,0.286
1997 Bostago                            ,Martinez, Dave                ,504,0,144,55,16,6,12,55,69,0,0,12,6,1,3,9,1,0,0,0,3,0,0,0,2,2,2,38.35 ,32    ,38.5  ,0.286,0.413,0.370
1997 Bostago                            ,Bragg, Darren                 ,513,0,132,57,35,2,9,61,102,0,0,10,6,2,4,9,1,0,0,0,0,0,0,5,0,4,0,34.3  ,33    ,34.6  ,0.257,0.386,0.348
1997 Bostago                            ,Ordonez, Magglio              ,69,0,22,11,6,0,4,2,8,0,0,1,2,3,5,7,3,1,0,0,0,0,0,0,0,0,0,38    ,33    ,40.3  ,0.319,0.580,0.347
1997 Bostago                            ,Cordero, Wil                  ,570,0,160,72,26,3,18,31,122,0,0,1,3,3,6,8,3,1,0,0,0,5,0,0,3,0,3,30.25 ,33.3  ,31.55 ,0.281,0.432,0.319
1997 Bostago                            ,Hatteberg, Scott              ,350,0,97,44,23,1,10,40,70,0,0,0,1,3,6,5,3,0,0,4,0,0,0,0,0,0,0,38.2  ,33.55 ,39.2  ,0.277,0.434,0.351
1997 Bostago                            ,O'Leary, Troy                 ,499,0,154,80,32,4,15,39,70,0,0,0,5,3,6,8,2,0,0,0,0,0,0,0,4,0,4,38.75 ,36.15 ,39    ,0.309,0.479,0.359
1997 Bostago                            ,Valentin, John                ,575,0,176,77,47,5,18,58,66,0,0,7,4,2,4,9,2,1,0,0,0,3,0,3,0,0,0,41.75 ,38.3  ,46.2  ,0.306,0.499,0.377
1997 Bostago                            ,Cameron, Mike                 ,379,0,98,55,18,3,14,55,105,0,0,23,2,3,2,11,3,1,0,0,0,0,0,0,0,2,0,39.1  ,38.5  ,43.8  ,0.259,0.433,0.385
1997 Bostago                            ,Martin, Norberto              ,213,0,64,27,7,1,2,6,31,0,0,1,4,3,5,10,2,1,0,0,0,4,4,4,0,0,0,34    ,39.95 ,30    ,0.300,0.371,0.323
1997 Bostago                            ,Mack, Shane                   ,130,0,41,17,7,0,3,9,24,0,0,2,1,2,5,9,2,1,0,0,0,0,0,0,3,4,3,39.25 ,41.75 ,44.95 ,0.315,0.438,0.369
1997 Bostago                            ,Frye, Jeff                    ,404,0,126,51,36,2,3,27,44,0,0,19,8,2,2,9,1,1,0,0,5,2,4,5,4,4,4,39.25 ,43.75 ,40    ,0.312,0.433,0.382
1997 Bostago                            ,Belle, Albert                 ,634,0,174,116,45,1,30,53,105,0,0,4,4,3,5,7,2,1,0,0,0,0,0,0,4,0,4,33    ,46    ,32.95 ,0.274,0.491,0.334
1997 Bostago                            ,Naehring, Tim                 ,259,0,74,40,18,1,9,38,40,0,0,1,1,3,6,6,2,1,0,0,0,0,0,2,0,0,0,44.4  ,55.05 ,42.1  ,0.286,0.467,0.379
1997 Bostago                            ,Vaughn, Mo                    ,527,0,166,96,24,0,35,86,154,0,0,2,2,3,6,3,3,0,0,0,4,0,0,0,0,0,0,48.25 ,57.15 ,46.4  ,0.315,0.560,0.413
1997 Bostago                            ,Thomas, Frank                 ,530,0,183,125,35,0,35,109,69,0,0,1,1,3,6,5,2,1,0,0,5,0,0,0,0,0,0,60.25 ,58.6  ,63.15 ,0.345,0.609,0.458
1997 Bostago                            ,Ventura, Robin                ,183,0,48,26,10,1,6,34,21,0,0,0,0,3,6,6,1,0,0,0,0,0,0,2,0,0,0,41.1  ,45.6  ,38.6  ,0.262,0.426,0.378
