Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Cinangeles                         ,Anthony, Eric                 ,74,0,18,5,3,2,2,12,18,0,0,2,0,3,4,7,3,0,0,0,0,0,0,0,4,0,4,36.9  ,3.15  ,36.55 ,0.243,0.419,0.364
1997 Cinangeles                         ,Nixon, Otis                   ,401,0,105,26,12,1,1,52,54,0,0,47,10,0,1,12,2,2,0,0,0,0,0,0,0,2,0,38.1  ,20.4  ,43.15 ,0.262,0.304,0.408
1997 Cinangeles                         ,Guerrero, Wilton              ,357,0,104,32,10,9,4,8,52,0,0,6,5,0,4,8,1,2,0,0,0,4,4,0,0,0,0,32.75 ,22.9  ,35.75 ,0.291,0.403,0.318
1997 Cinangeles                         ,Morris, Hal                   ,333,0,92,33,20,1,1,23,43,0,0,3,1,1,5,5,1,0,0,0,3,0,0,0,0,0,0,32.8  ,25.25 ,40.25 ,0.276,0.351,0.329
1997 Cinangeles                         ,Stynes, Chris                 ,198,0,69,28,7,1,6,11,13,0,0,11,2,2,2,9,1,1,0,0,0,4,0,4,4,0,4,45.3  ,25.9  ,55.25 ,0.348,0.485,0.414
1997 Cinangeles                         ,Greene, Willie                ,495,0,125,91,22,1,26,78,111,0,0,6,0,3,4,6,3,0,0,0,4,0,5,4,4,0,4,39.5  ,26.85 ,40.35 ,0.253,0.459,0.361
1997 Cinangeles                         ,Owens, Eric                   ,57,0,15,3,0,0,0,4,11,0,0,3,2,3,3,11,3,1,0,0,0,4,0,0,3,4,3,30.8  ,30.2  ,33.25 ,0.263,0.263,0.344
1997 Cinangeles                         ,Karros, Eric                  ,628,0,167,104,28,0,31,61,116,0,0,15,7,3,3,5,2,1,0,0,3,0,0,0,0,0,0,34.2  ,32    ,38.4  ,0.266,0.459,0.345
1997 Cinangeles                         ,Nunnally, Jon                 ,201,0,64,35,12,3,13,26,51,0,0,7,3,2,3,9,3,0,0,0,0,0,0,0,3,4,3,52.5  ,34.8  ,51.25 ,0.318,0.602,0.415
1997 Cinangeles                         ,Lewis, Darren                 ,77,0,23,10,3,1,1,6,17,0,0,3,2,0,4,12,3,1,0,0,0,0,0,0,1,1,1,38.75 ,36    ,41.7  ,0.299,0.403,0.372
1997 Cinangeles                         ,Sanders, Deion                ,465,0,127,23,13,7,5,34,67,0,0,56,13,1,1,12,2,0,0,0,0,0,0,0,3,0,3,33    ,36.5  ,32.35 ,0.273,0.363,0.391
1997 Cinangeles                         ,Butler, Brett                 ,343,0,97,18,8,3,0,42,40,0,0,15,10,0,3,8,1,0,0,0,0,0,0,0,3,3,3,41.25 ,37.5  ,42.25 ,0.283,0.324,0.385
1997 Cinangeles                         ,Kelly, Mike                   ,140,0,41,19,13,2,6,10,30,0,0,6,1,3,3,9,3,1,0,0,0,0,0,0,4,4,4,37    ,38.45 ,37.05 ,0.293,0.543,0.365
1997 Cinangeles                         ,Cedeno, Roger                 ,194,0,53,17,10,2,3,25,44,0,0,2,1,1,3,11,2,2,0,0,0,0,0,0,2,3,2,39.2  ,39.35 ,41.4  ,0.273,0.392,0.362
1997 Cinangeles                         ,Oliver, Joe                   ,349,0,90,43,13,0,14,25,58,0,0,1,3,3,6,3,2,1,0,3,4,0,0,0,0,0,0,29.9  ,39.4  ,30.8  ,0.258,0.415,0.309
1997 Cinangeles                         ,Cromer, Tripp                 ,86,0,25,20,3,0,4,6,16,0,0,0,1,2,6,6,3,1,0,0,0,3,3,3,0,0,0,32.75 ,39.5  ,30.4  ,0.291,0.465,0.337
