Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Cleonto                            ,Branson, Jeff                 ,72,0,19,7,4,0,2,7,17,0,0,0,2,3,6,6,3,0,0,0,0,3,3,2,0,0,0,34.2  ,18.6  ,36.7  ,0.264,0.403,0.329
1997 Cleonto                            ,Duncan, Mariano               ,339,0,80,25,14,0,1,12,78,0,0,6,3,3,4,8,2,1,0,0,0,4,0,0,4,0,4,20.8  ,20.4  ,24.15 ,0.236,0.286,0.275
1997 Cleonto                            ,Mitchell, Kevin               ,59,0,9,11,1,0,4,9,11,0,0,1,0,3,5,3,2,1,0,0,0,0,0,0,5,0,5,24.1  ,22.7  ,28.7  ,0.153,0.373,0.275
1997 Cleonto                            ,Vizquel, Omar                 ,565,0,158,49,23,6,5,57,58,0,0,43,12,0,1,12,1,2,0,0,0,0,1,0,0,0,0,37.3  ,30    ,39.6  ,0.280,0.368,0.388
1997 Cleonto                            ,Merced, Orlando               ,368,0,98,40,23,2,9,47,62,0,0,7,3,3,4,7,1,0,0,0,3,0,0,0,0,0,0,38.25 ,30.65 ,41.9  ,0.266,0.413,0.360
1997 Cleonto                            ,Grissom, Marquis              ,558,0,146,66,27,6,12,43,89,0,0,22,13,1,3,12,2,1,0,0,0,0,0,0,0,1,0,30.7  ,31.4  ,33.5  ,0.262,0.396,0.339
1997 Cleonto                            ,Williams, Matt                ,596,0,157,105,32,3,32,34,108,0,0,12,4,3,3,6,3,1,0,0,0,0,0,0,0,0,0,27.2  ,31.8  ,30.6  ,0.263,0.488,0.316
1997 Cleonto                            ,Gonzalez, Alex                ,426,0,102,35,23,2,12,34,94,0,0,15,6,0,3,8,3,1,0,0,0,0,2,0,0,0,0,26    ,32.8  ,27.7  ,0.239,0.387,0.318
1997 Cleonto                            ,Cruz Jr.,Jose                 ,395,0,98,68,19,1,26,41,117,0,0,7,2,2,4,8,2,2,0,0,0,0,0,0,4,5,4,30.8  ,33.7  ,28.65 ,0.248,0.499,0.330
1997 Cleonto                            ,Sprague, Ed                   ,504,0,115,48,29,4,14,51,102,0,0,0,1,3,6,5,3,1,0,0,0,0,0,3,0,0,0,27.6  ,34.9  ,28.6  ,0.228,0.385,0.299
1997 Cleonto                            ,Delgado, Carlos               ,519,0,136,91,42,3,30,64,133,0,0,0,3,3,6,5,3,0,0,0,4,0,0,0,0,0,0,34.5  ,35.1  ,36.3  ,0.262,0.528,0.343
1997 Cleonto                            ,Green, Ahawn                  ,429,0,123,53,22,4,16,36,99,0,0,14,3,3,3,8,3,0,0,0,0,0,0,0,4,0,4,35.6  ,36.2  ,28.3  ,0.287,0.469,0.361
1997 Cleonto                            ,Borders, Pat                  ,159,0,47,15,7,1,4,9,27,0,0,0,2,3,6,4,2,1,0,3,0,0,0,0,0,0,0,34.75 ,38.55 ,37.95 ,0.296,0.428,0.333
1997 Cleonto                            ,Seitzer, Kevin                ,198,0,53,24,14,0,2,18,25,0,0,0,0,2,6,3,1,1,0,0,5,0,0,5,0,0,0,34.2  ,39.2  ,31.05 ,0.268,0.369,0.329
1997 Cleonto                            ,Samuel, Juan                  ,95,0,27,15,5,4,3,10,28,0,0,5,3,3,3,9,3,1,0,0,4,4,0,4,0,0,0,38.7  ,39.7  ,47.9  ,0.284,0.516,0.382
1997 Cleonto                            ,Roberts, Bip                  ,431,0,130,44,20,2,4,28,67,0,0,18,3,3,2,10,2,2,0,0,0,5,0,4,4,4,4,36.5  ,40.6  ,36    ,0.302,0.385,0.369
1997 Cleonto                            ,O'Brien, Charlie              ,225,0,49,27,15,1,4,22,45,0,0,0,2,2,6,3,3,1,0,2,0,0,0,0,0,0,0,24.1  ,40.95 ,28.85 ,0.218,0.347,0.287
1997 Cleonto                            ,Giles, Brian S.               ,377,0,101,61,15,3,17,63,50,0,0,13,3,2,3,8,3,0,0,0,0,0,0,0,3,3,3,48.2  ,41.9  ,42.8  ,0.268,0.459,0.391
1997 Cleonto                            ,Alomar, Sandy                 ,451,0,146,83,37,0,21,19,48,0,0,0,2,0,6,5,1,1,0,1,0,0,0,0,0,0,0,38.9  ,42.8  ,39.85 ,0.324,0.545,0.351
1997 Cleonto                            ,Thome, Jim                    ,496,0,142,102,25,0,40,120,146,0,0,1,1,3,6,5,3,0,0,0,3,0,0,0,0,0,0,52.9  ,42.8  ,55.8  ,0.286,0.579,0.426
1997 Cleonto                            ,Justice, David                ,495,0,163,101,31,1,33,80,79,0,0,3,5,3,5,5,2,0,0,0,0,0,0,0,4,0,4,51.75 ,46.85 ,52.8  ,0.329,0.596,0.426
1997 Cleonto                            ,Fernandez, Tony               ,409,0,117,44,21,1,11,22,47,0,0,6,6,0,4,8,2,2,0,0,0,2,3,0,0,0,0,32.75 ,53.8  ,23.35 ,0.286,0.423,0.332
1997 Cleonto                            ,Evans, Tom                    ,38,0,11,2,2,0,1,2,10,0,0,0,1,3,6,6,3,1,0,0,0,0,0,3,0,0,0,33.25 ,54.75 ,37.05 ,0.289,0.421,0.325
1997 Cleonto                            ,Ramirez, Manny                ,561,0,184,88,40,0,26,79,115,0,0,2,3,3,6,5,3,1,0,0,0,0,0,0,0,0,0,50.75 ,55.1  ,53.4  ,0.328,0.538,0.413
1997 Cleonto                            ,Stewart, Shannon              ,168,0,40,22,13,7,0,19,24,0,0,10,3,3,2,12,2,1,0,0,0,0,0,0,2,2,2,39.7  ,55.75 ,40.5  ,0.238,0.399,0.350
