Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Florago                            ,Hansen, Dave                  ,151,0,47,21,8,2,3,31,32,0,0,1,2,3,6,5,1,0,0,0,4,5,0,4,0,0,0,56    ,3.35  ,57.75 ,0.311,0.450,0.432
1997 Florago                            ,Counsell, Craig               ,164,0,49,16,9,2,1,18,17,0,0,1,1,2,6,8,1,0,0,0,0,2,0,0,0,0,0,41.75 ,19.9  ,44.75 ,0.299,0.396,0.372
1997 Florago                            ,Dunwoody, Todd                ,50,0,13,7,2,2,2,7,21,0,0,2,0,3,4,9,3,0,0,0,0,0,0,0,3,3,3,40.1  ,21    ,46.1  ,0.260,0.500,0.373
1997 Florago                            ,Clark, Dave                   ,143,0,43,32,8,0,5,19,34,0,0,1,0,3,5,0,2,0,0,0,0,0,0,0,4,0,4,44.2  ,21.7  ,46.4  ,0.301,0.462,0.387
1997 Florago                            ,Castillo, Luis                ,263,0,63,8,8,0,0,27,53,0,0,16,10,2,3,12,2,1,0,0,0,2,0,0,0,0,0,31    ,22.9  ,30.9  ,0.240,0.270,0.346
1997 Florago                            ,Alexander, Manny              ,248,0,66,22,12,4,3,17,54,0,0,13,1,2,2,10,2,1,0,0,0,3,3,4,0,0,0,29.3  ,27.6  ,35.75 ,0.266,0.383,0.345
1997 Florago                            ,White, Devon                  ,265,0,65,34,13,1,6,32,65,0,0,13,5,3,2,11,3,2,0,0,0,0,0,0,0,2,0,33.2  ,28.65 ,35    ,0.245,0.370,0.355
1997 Florago                            ,Orie, Kevin                   ,364,0,100,44,23,5,8,39,57,0,0,2,2,2,5,6,2,1,0,0,0,0,4,2,0,0,0,37    ,31    ,43.75 ,0.275,0.431,0.348
1997 Florago                            ,Glanville, Doug               ,474,0,142,35,22,5,4,24,46,0,0,19,11,0,3,9,2,1,0,0,0,0,0,0,1,2,1,35.5  ,31.75 ,39.5  ,0.300,0.392,0.358
1997 Florago                            ,Sosa, Sammy                   ,642,0,161,119,31,4,36,45,174,0,0,22,12,3,2,11,3,1,0,0,0,0,0,0,0,0,0,26.2  ,31.85 ,27.6  ,0.251,0.480,0.322
1997 Florago                            ,Hernandez, Jose               ,183,0,50,26,8,5,7,14,42,0,0,2,5,3,5,9,2,1,0,0,5,4,3,3,4,0,4,32.2  ,33.3  ,34.3  ,0.273,0.486,0.332
1997 Florago                            ,Connie, Jeff                  ,405,0,98,61,13,1,17,57,89,0,0,2,0,3,6,6,3,1,0,0,2,0,0,0,4,0,4,34.95 ,33.7  ,36.9  ,0.242,0.405,0.338
1997 Florago                            ,Eisenreich, Jim               ,293,0,82,34,19,1,2,30,28,0,0,0,0,2,6,7,1,0,0,0,3,0,0,0,4,4,4,37.2  ,34.75 ,35.8  ,0.280,0.372,0.347
1997 Florago                            ,Daulton, Darren               ,395,0,104,63,21,8,14,76,74,0,0,6,1,3,4,5,2,0,0,0,5,0,0,0,0,0,0,45    ,35.8  ,46.7  ,0.263,0.463,0.390
1997 Florago                            ,Johnson, Lance                ,410,0,126,39,16,8,5,42,31,0,0,20,12,3,2,12,1,0,0,0,0,0,0,0,0,3,0,43.25 ,37.85 ,42.75 ,0.307,0.422,0.398
1997 Florago                            ,Renteria, Edgar               ,617,0,171,52,21,3,4,45,108,0,0,32,15,0,2,10,2,1,0,0,0,0,1,0,0,0,0,33.6  ,35.4  ,39.6  ,0.277,0.340,0.357
1997 Florago                            ,Sandberg, Ryne                ,447,0,118,64,26,0,12,28,94,0,0,7,4,3,4,7,3,1,0,0,0,2,0,0,0,0,0,29    ,38.8  ,28.5  ,0.264,0.403,0.317
1997 Florago                            ,Floyd, Cliff                  ,137,0,32,19,9,1,6,24,33,0,0,6,2,3,3,9,3,0,0,0,3,0,0,0,3,4,3,39.05 ,42    ,39.2  ,0.234,0.445,0.371
1997 Florago                            ,Johnson, Charles              ,416,0,104,63,26,1,19,60,109,0,0,0,2,2,6,3,3,1,0,1,0,0,0,0,0,0,0,36.5  ,42.7  ,38.55 ,0.250,0.454,0.345
1997 Florago                            ,Arias, Alex                   ,93,0,23,11,2,0,1,12,12,0,0,0,1,1,6,8,2,1,0,0,0,0,3,2,0,0,0,36.2  ,46.6  ,39.4  ,0.247,0.301,0.333
1997 Florago                            ,Bonilla, Bobby                ,562,0,167,96,39,3,17,73,94,0,0,6,6,3,4,7,1,2,0,0,4,0,0,4,0,0,0,43.6  ,50.2  ,43    ,0.297,0.468,0.384
1997 Florago                            ,Grace, Mark                   ,555,0,177,78,32,5,13,88,45,0,0,2,4,2,5,6,1,0,0,0,1,0,0,0,0,0,0,52.75 ,52.65 ,51.75 ,0.319,0.465,0.414
1997 Florago                            ,Zaun, Gregg                   ,143,0,43,20,10,2,2,26,18,0,0,1,0,3,6,6,2,2,0,3,5,0,0,0,0,0,0,49.2  ,53.3  ,49.4  ,0.301,0.441,0.412
1997 Florago                            ,Alou, Moises                  ,538,0,157,115,29,5,23,70,85,0,0,9,5,3,4,8,2,1,0,0,0,0,0,0,2,3,2,42.4  ,56.6  ,42.25 ,0.292,0.493,0.382
1997 Florago                            ,Sheffield, Gary               ,444,0,111,71,22,1,21,121,79,0,0,11,7,3,3,8,2,1,0,0,0,0,0,0,0,0,0,50.4  ,72.4  ,52.75 ,0.250,0.446,0.422
