Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Montrado                           ,Reed, Jeff                    ,256,0,76,47,10,0,17,35,55,0,0,2,1,0,5,4,2,0,0,4,0,0,0,0,0,0,0,45.9  ,13.95 ,50.15 ,0.297,0.535,0.386
1997 Montrado                           ,McGuire, Paul                 ,199,0,51,17,15,2,3,19,34,0,0,1,4,2,5,6,1,0,0,0,0,2,0,0,3,4,3,32.5  ,21.55 ,35.3  ,0.256,0.397,0.324
1997 Montrado                           ,Manwaring, Kirt               ,337,0,76,27,6,4,1,30,78,0,0,1,5,2,6,5,2,1,0,2,0,0,0,0,0,0,0,26.8  ,24    ,30    ,0.226,0.276,0.291
1997 Montrado                           ,Grudzielanek, Mark            ,649,0,177,51,54,3,4,23,76,0,0,25,9,2,2,9,1,1,0,0,0,0,3,0,0,0,0,29.2  ,25.2  ,34.2  ,0.273,0.384,0.323
1997 Montrado                           ,Fullmer, Brad                 ,40,0,12,8,2,0,3,2,7,0,0,0,0,3,6,6,2,0,0,0,4,0,0,0,4,0,4,34.75 ,26.6  ,41.5  ,0.300,0.575,0.333
1997 Montrado                           ,Fletcher, Darrin              ,310,0,86,55,20,1,17,17,35,0,0,1,1,3,6,3,2,0,0,4,0,0,0,0,0,0,0,30    ,26.8  ,33.05 ,0.277,0.513,0.317
1997 Montrado                           ,Rodriguez, Henry              ,476,0,116,83,28,3,26,42,149,0,0,3,3,3,5,4,3,0,0,0,4,0,0,0,5,0,5,27.8  ,27    ,27.65 ,0.244,0.479,0.309
1997 Montrado                           ,Strange, Doug                 ,327,0,84,47,16,2,12,36,76,0,0,0,2,1,6,6,3,2,0,0,4,4,0,3,5,0,5,31.25 ,27.4  ,33.35 ,0.257,0.428,0.331
1997 Montrado                           ,Vidro, Jose                   ,169,0,42,17,12,1,2,11,20,0,0,1,0,3,6,8,3,2,0,0,0,4,0,4,0,0,0,27.3  ,27.75 ,27.75 ,0.249,0.367,0.298
1997 Montrado                           ,White, Rondell                ,592,0,160,82,29,5,28,31,111,0,0,16,8,3,3,11,2,1,0,0,0,0,0,0,0,2,0,29.2  ,28.4  ,34.05 ,0.270,0.478,0.324
1997 Montrado                           ,Bates, Jason                  ,121,0,29,11,10,0,3,15,27,0,0,0,1,3,6,7,3,2,0,0,0,3,4,4,0,0,0,32.6  ,28.95 ,37.1  ,0.240,0.397,0.324
1997 Montrado                           ,McCracken, Quinton            ,325,0,95,36,11,1,3,42,62,0,0,28,11,0,2,11,2,2,0,0,0,0,0,0,0,3,0,44.2  ,32.65 ,51.75 ,0.292,0.360,0.418
1997 Montrado                           ,Bichette, Dante               ,561,0,173,118,31,2,26,30,90,0,0,6,5,3,4,5,2,1,0,0,0,0,0,0,4,0,4,37.5  ,33.4  ,41.65 ,0.308,0.510,0.350
1997 Montrado                           ,Weiss, Walt                   ,393,0,106,38,23,5,4,66,56,0,0,5,2,1,4,8,1,2,0,0,0,0,2,0,0,0,0,44.3  ,36.4  ,46.2  ,0.270,0.384,0.381
1997 Montrado                           ,Pulliam, Harvey               ,67,0,19,9,3,0,3,5,15,0,0,0,1,3,6,7,3,1,0,0,0,0,0,0,3,0,3,36    ,37.85 ,35.25 ,0.284,0.463,0.333
1997 Montrado                           ,Perez, Neifi                  ,313,0,91,31,13,10,5,21,43,0,0,4,3,0,4,9,2,2,0,0,0,2,2,3,0,0,0,34.5  ,38.15 ,33.2  ,0.291,0.444,0.343
1997 Montrado                           ,Widger, Chris                 ,278,0,65,37,20,3,7,22,59,0,0,2,0,3,6,6,3,1,0,3,0,0,0,0,0,0,0,25.9  ,38.6  ,21.6  ,0.234,0.403,0.295
1997 Montrado                           ,Guerrero, Vladimir            ,325,0,98,40,22,2,11,19,39,0,0,3,4,3,5,7,2,1,0,0,0,0,0,0,0,0,0,36.5  ,39.6  ,40.95 ,0.302,0.483,0.346
1997 Montrado                           ,Burks, Ellis                  ,424,0,123,82,19,2,32,47,75,0,0,7,2,1,4,9,2,1,0,0,0,0,0,0,2,3,2,41.7  ,39.75 ,45.9  ,0.290,0.571,0.370
1997 Montrado                           ,Santangelo, F.P.              ,350,0,87,31,19,5,5,50,73,0,0,8,5,0,4,6,2,2,0,0,0,4,5,4,2,3,2,37.2  ,42.65 ,46.4  ,0.249,0.374,0.355
1997 Montrado                           ,Lansing, Mike                 ,572,0,161,70,45,2,20,45,92,0,0,11,5,1,4,9,2,1,0,0,0,2,0,0,0,0,0,35.2  ,43    ,36.75 ,0.281,0.472,0.346
1997 Montrado                           ,Segui, David                  ,459,0,141,68,22,3,21,57,66,0,0,1,0,3,6,6,2,2,0,0,2,0,0,0,0,0,0,43.25 ,45.8  ,41.35 ,0.307,0.505,0.385
1997 Montrado                           ,Walker, Larry                 ,568,0,208,130,46,4,49,78,90,0,0,33,8,2,2,11,1,0,0,0,4,0,0,0,0,3,0,57    ,48.65 ,61    ,0.366,0.720,0.470
1997 Montrado                           ,Castilla, Vinny               ,612,0,186,113,25,2,40,44,108,0,0,2,4,3,5,5,2,1,0,0,0,0,0,3,0,0,0,37.25 ,49.4  ,38.1  ,0.304,0.547,0.353
1997 Montrado                           ,Galarraga, Andres             ,600,0,191,140,31,3,41,54,141,0,0,15,8,3,3,6,3,0,0,0,2,0,0,0,0,0,0,44.25 ,56.45 ,46.75 ,0.318,0.585,0.389
