Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 NewDiego                           ,Sweeney, Mark                 ,164,0,46,23,7,0,2,20,32,0,0,2,3,1,5,6,2,0,0,0,3,0,0,0,4,0,4,40.25 ,11.6  ,41    ,0.280,0.360,0.366
1997 NewDiego                           ,Bieser, Steve                 ,69,0,17,4,3,0,0,7,20,0,0,2,3,1,5,9,3,0,0,4,0,0,0,0,3,3,3,29.75 ,12    ,38.4  ,0.246,0.290,0.333
1997 NewDiego                           ,Ochoa, Alex                   ,238,0,58,22,14,1,3,18,32,0,0,3,4,2,5,9,2,1,0,0,0,0,0,0,0,4,0,28    ,23.9  ,37.3  ,0.244,0.349,0.305
1997 NewDiego                           ,Shipley, Craig                ,139,0,38,19,9,0,5,7,20,0,0,1,1,3,6,7,2,1,0,0,4,4,4,4,0,0,0,29.8  ,26.05 ,34.3  ,0.273,0.446,0.313
1997 NewDiego                           ,Cianfrocco, Archi             ,220,0,54,26,12,0,4,25,80,0,0,7,1,3,3,6,3,1,0,0,2,4,4,3,0,0,0,32.5  ,26.7  ,40    ,0.245,0.355,0.341
1997 NewDiego                           ,Lopez, Luis                   ,178,0,48,19,12,1,1,12,42,0,0,2,4,3,5,7,3,2,0,0,0,3,3,4,0,0,0,30.2  ,30.3  ,34.4  ,0.270,0.365,0.323
1997 NewDiego                           ,Veras, Quilvio                ,539,0,143,45,23,1,3,72,84,0,0,33,12,0,2,11,2,2,0,0,0,3,0,0,0,0,0,39.5  ,31.4  ,43.35 ,0.265,0.328,0.385
1997 NewDiego                           ,Joyner, Wally                 ,455,0,149,83,29,2,13,51,51,0,0,3,5,3,5,6,1,0,0,0,0,2,0,0,0,0,0,47.75 ,31.4  ,49.5  ,0.327,0.486,0.399
1997 NewDiego                           ,Jones, Chris                  ,152,0,37,25,9,0,7,16,45,0,0,7,2,3,3,8,3,1,0,0,0,0,0,0,3,3,3,31.5  ,31.6  ,37.35 ,0.243,0.441,0.343
1997 NewDiego                           ,McRae, Brian                  ,562,0,136,43,32,7,11,65,84,0,0,17,10,1,3,10,2,2,0,0,0,0,0,0,0,2,0,32.75 ,35.1  ,32.25 ,0.242,0.383,0.339
1997 NewDiego                           ,Castillo, Alberto             ,59,0,12,7,1,0,0,9,16,0,0,0,1,1,6,6,3,1,0,3,0,0,0,0,0,0,0,30.25 ,38    ,25.5  ,0.203,0.220,0.309
1997 NewDiego                           ,Flaherty, John                ,439,0,120,46,21,1,9,33,62,0,0,4,4,3,5,4,3,1,0,3,0,0,0,0,0,0,0,31.5  ,40.2  ,32.05 ,0.273,0.387,0.330
1997 NewDiego                           ,Hernandez, Carlos             ,134,0,42,14,7,1,1,3,27,0,0,0,2,3,6,4,3,1,0,3,4,0,0,0,0,0,0,37.6  ,40.5  ,37.05 ,0.313,0.403,0.328
1997 NewDiego                           ,Huskey, Butch                 ,471,0,135,81,26,2,24,25,84,0,0,8,5,3,4,6,2,1,0,0,4,0,0,4,4,0,4,32.25 ,41.65 ,29.25 ,0.287,0.503,0.333
1997 NewDiego                           ,Caminiti, Ken                 ,486,0,141,90,28,0,26,80,118,0,0,11,2,3,3,6,3,2,0,0,0,0,0,1,0,0,0,45.75 ,46.5  ,45.15 ,0.290,0.508,0.402
1997 NewDiego                           ,Gwynn, Tony                   ,592,0,220,119,49,2,17,43,28,0,0,12,5,2,3,7,1,0,0,0,0,0,0,0,0,0,0,50.8  ,46.6  ,51    ,0.372,0.547,0.425
1997 NewDiego                           ,Hardtke, Jason                ,56,0,15,8,2,0,2,4,6,0,0,1,1,3,5,8,2,2,0,0,0,3,0,4,0,0,0,29.9  ,47.4  ,28.3  ,0.268,0.411,0.328
1997 NewDiego                           ,Vaughn, Greg                  ,362,0,78,57,10,0,18,56,110,0,0,7,4,3,4,6,3,1,0,0,0,0,0,0,4,0,4,32.4  ,48.15 ,31.6  ,0.215,0.392,0.332
1997 NewDiego                           ,Gilkey, Bernard               ,518,0,129,78,31,1,18,70,111,0,0,7,11,3,5,9,2,1,0,0,0,0,0,0,2,0,2,36.5  ,49.05 ,35.55 ,0.249,0.417,0.346
1997 NewDiego                           ,Gomez, Chris                  ,522,0,132,54,19,2,5,53,114,0,0,5,8,2,5,7,2,1,0,0,0,0,0,3,0,0,0,32.6  ,50    ,32.1  ,0.253,0.326,0.328
1997 NewDiego                           ,Hundley, Todd                 ,417,0,114,86,21,2,30,83,116,0,0,2,3,3,5,7,3,2,0,2,0,0,0,0,0,0,0,44.8  ,50.25 ,42.85 ,0.273,0.549,0.396
