Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Philanta                           ,Butler, Rob                   ,89,0,26,13,9,1,0,5,8,0,0,1,0,2,5,9,2,0,0,0,0,0,0,0,3,4,3,34.75 ,14.95 ,35.1  ,0.292,0.416,0.337
1997 Philanta                           ,Robertson, Mike               ,38,0,8,4,2,1,0,0,6,0,0,1,0,1,5,5,2,0,0,0,3,0,0,0,4,0,4,16.6  ,16    ,31.45 ,0.211,0.316,0.231
1997 Philanta                           ,Jordan, Kevin                 ,177,0,47,30,8,0,6,3,26,0,0,0,1,3,6,7,2,1,0,0,3,4,0,4,0,0,0,28    ,22.9  ,32.4  ,0.266,0.412,0.278
1997 Philanta                           ,Klesko, Ryan                  ,467,0,122,84,23,6,24,48,130,0,0,4,4,3,5,6,3,0,0,0,4,0,0,0,4,0,4,33.6  ,22.9  ,36.5  ,0.261,0.490,0.335
1997 Philanta                           ,Sefcik, Kevin                 ,119,0,32,6,3,0,2,4,9,0,0,1,2,0,5,7,3,1,0,0,0,4,4,4,0,0,0,28.5  ,25.35 ,34.25 ,0.269,0.345,0.298
1997 Philanta                           ,Lockhart, Keith               ,147,0,41,32,5,3,6,14,17,0,0,0,0,2,6,7,1,0,0,0,0,3,0,4,0,0,0,37.8  ,28.4  ,37.9  ,0.279,0.476,0.342
1997 Philanta                           ,Bautista, Danny               ,103,0,25,9,3,2,3,5,24,0,0,2,0,2,5,7,3,1,0,0,0,0,0,0,2,3,2,23    ,28.55 ,19.4  ,0.243,0.398,0.291
1997 Philanta                           ,Cummings, Midre               ,314,0,83,31,22,6,4,31,56,0,0,2,3,3,5,9,2,0,0,0,0,0,0,0,4,4,4,34.9  ,31    ,35    ,0.264,0.411,0.334
1997 Philanta                           ,Jones, Chipper                ,597,0,176,111,41,3,21,76,88,0,0,20,5,3,2,10,2,2,0,0,0,0,0,2,4,0,4,43    ,32.2  ,46.6  ,0.295,0.479,0.392
1997 Philanta                           ,Lieberthal, Mike              ,455,0,112,77,27,1,20,44,76,0,0,3,4,3,5,5,2,1,0,3,0,0,0,0,0,0,0,31.4  ,33.95 ,33.7  ,0.246,0.442,0.317
1997 Philanta                           ,Tucker, Michael               ,499,0,141,56,25,7,14,44,116,0,0,12,7,1,3,11,2,0,0,0,0,0,0,0,3,0,3,37.2  ,35.5  ,42.6  ,0.283,0.445,0.355
1997 Philanta                           ,Lemke, Mark                   ,351,0,86,26,17,1,2,33,51,0,0,2,0,1,6,6,2,2,0,0,0,2,0,0,0,0,0,29.4  ,36.5  ,26.6  ,0.245,0.316,0.313
1997 Philanta                           ,Amaro, Ruben                  ,175,0,41,21,6,1,2,21,24,0,0,1,1,3,6,8,2,2,0,0,4,0,0,0,3,4,3,27    ,40.25 ,29.25 ,0.234,0.314,0.320
1997 Philanta                           ,Otero, Ricky                  ,151,0,38,3,6,2,0,19,15,0,0,0,3,1,6,10,1,2,0,0,0,0,0,0,0,4,0,36.4  ,41.6  ,34.3  ,0.252,0.318,0.335
1997 Philanta                           ,McGriff, Fred                 ,564,0,156,97,25,1,22,68,112,0,0,5,0,3,5,5,2,0,0,0,4,0,0,0,0,0,0,39.7  ,41.9  ,39    ,0.277,0.441,0.359
1997 Philanta                           ,Jefferies, Gregg              ,476,0,122,48,25,3,11,53,27,0,0,12,6,3,3,8,1,2,0,0,0,0,0,0,5,0,5,33.4  ,42.1  ,29.75 ,0.256,0.391,0.346
1997 Philanta                           ,Graffanino, Tony              ,188,0,48,20,9,1,8,26,46,0,0,6,4,2,4,9,3,1,0,0,5,2,3,3,0,0,0,38.2  ,42.15 ,39.4  ,0.255,0.441,0.364
1997 Philanta                           ,Stocker, Kevin                ,504,0,134,40,23,5,4,51,91,0,0,11,6,1,3,8,2,2,0,0,0,0,3,0,0,0,0,34    ,43.75 ,30.75 ,0.266,0.355,0.346
1997 Philanta                           ,Lofton, Kenny                 ,493,0,164,48,20,6,5,64,83,0,0,27,20,0,3,10,2,0,0,0,0,0,0,0,0,2,0,51.05 ,44.1  ,52.5  ,0.333,0.428,0.437
1997 Philanta                           ,Jones, Andruw                 ,399,0,92,70,18,1,18,56,107,0,0,20,11,1,2,11,3,1,0,0,0,0,0,0,1,1,1,32.9  ,47.55 ,29.6  ,0.231,0.416,0.354
1997 Philanta                           ,Rolen, Scott                  ,561,0,159,92,35,3,21,76,138,0,0,16,6,3,3,10,3,1,0,0,0,0,0,3,0,0,0,43.1  ,48.15 ,46.7  ,0.283,0.469,0.384
1997 Philanta                           ,Lopez, Javy                   ,414,0,122,68,28,1,23,40,82,0,0,1,1,3,6,5,2,1,0,4,0,0,0,0,0,0,0,37.25 ,49.6  ,38.2  ,0.295,0.534,0.358
1997 Philanta                           ,Barron, Tony                  ,189,0,54,24,12,1,4,12,38,0,0,0,1,3,6,6,3,1,0,0,0,0,0,0,0,0,0,35    ,50    ,30.8  ,0.286,0.423,0.328
1997 Philanta                           ,Morandini, Mickey             ,553,0,163,39,40,2,1,62,91,0,0,16,13,0,3,9,2,0,0,0,0,2,4,0,0,0,0,43.2  ,52.4  ,40.4  ,0.295,0.380,0.382
1997 Philanta                           ,Blauser, Jeff                 ,519,0,160,70,31,4,17,70,101,0,0,5,1,1,5,8,2,1,0,0,0,0,3,0,0,0,0,46.25 ,58.5  ,50.9  ,0.308,0.482,0.396
