Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 SanLouis                           ,Sheaffer, Danny               ,132,0,33,11,5,0,0,8,17,0,0,1,0,1,6,6,2,1,0,4,0,5,0,3,4,0,4,26.7  ,23    ,34.9  ,0.250,0.288,0.298
1997 SanLouis                           ,Gant, Ron                     ,502,0,115,62,21,4,17,58,162,0,0,14,6,3,3,8,3,1,0,0,0,0,0,0,4,0,4,29.5  ,24.35 ,33.1  ,0.229,0.388,0.326
1997 SanLouis                           ,Snow, J.T.                    ,531,0,149,104,36,1,28,96,124,0,0,6,4,3,4,6,2,2,0,0,1,0,0,0,0,0,0,45.5  ,26.65 ,49.75 ,0.281,0.510,0.397
1997 SanLouis                           ,Clayton, Royce                ,576,0,153,61,39,5,9,33,109,0,0,30,10,2,2,10,2,1,0,0,0,0,2,0,0,0,0,28.5  ,26.75 ,31.75 ,0.266,0.398,0.338
1997 SanLouis                           ,Mabry, John                   ,388,0,110,36,19,0,5,39,77,0,0,0,1,3,6,6,3,0,0,0,3,0,0,5,3,4,3,35.8  ,27    ,38.9  ,0.284,0.371,0.349
1997 SanLouis                           ,Johnson, Brian                ,179,0,50,27,7,2,11,14,26,0,0,0,1,1,6,4,1,1,0,4,4,0,0,0,0,0,0,30.4  ,28.15 ,33.55 ,0.279,0.525,0.332
1997 SanLouis                           ,Kent, Jeff                    ,580,0,145,121,38,2,29,48,133,0,0,11,3,3,3,8,2,1,0,0,3,3,0,0,0,0,0,28.25 ,30.9  ,34.35 ,0.250,0.472,0.319
1997 SanLouis                           ,Hill, Glenallen               ,398,0,104,64,28,4,11,19,87,0,0,7,4,3,4,8,2,1,0,0,0,0,0,0,0,0,0,27.4  ,31    ,29.2  ,0.261,0.435,0.307
1997 SanLouis                           ,Young, Dmitri                 ,333,0,86,34,14,3,5,38,63,0,0,6,5,3,4,7,1,2,0,0,4,0,0,0,4,0,4,34.45 ,32.25 ,34.75 ,0.258,0.363,0.345
1997 SanLouis                           ,Lampkin, Tom                  ,229,0,56,22,8,1,7,28,30,0,0,2,1,2,5,5,2,0,0,3,0,0,0,0,0,0,0,31.1  ,32.3  ,33.15 ,0.245,0.380,0.332
1997 SanLouis                           ,Hamilton, Darryl              ,460,0,124,43,23,3,5,61,61,0,0,15,10,1,3,11,2,0,0,0,0,0,0,0,0,2,0,40.3  ,32.3  ,40.6  ,0.270,0.365,0.373
1997 SanLouis                           ,Benard, Marvin                ,114,0,26,13,4,0,1,13,29,0,0,3,1,2,4,10,3,0,0,0,0,0,0,0,3,3,3,30.2  ,33.5  ,31.4  ,0.228,0.289,0.323
