Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Seaota                             ,Brede, Brent                  ,190,0,52,21,11,1,3,21,38,0,0,7,2,3,3,8,2,0,0,0,4,0,0,0,4,0,4,37.5  ,17.5  ,39    ,0.274,0.389,0.367
1997 Seaota                             ,Becker, Rich                  ,443,0,117,45,22,3,10,62,130,0,0,17,5,2,3,10,2,0,0,0,0,0,0,0,3,3,3,39.4  ,19.35 ,41.35 ,0.264,0.395,0.375
1997 Seaota                             ,Meares, Pat                   ,439,0,121,60,23,3,10,18,86,0,0,7,7,2,4,8,2,1,0,0,0,0,3,0,0,0,0,29    ,23    ,37.95 ,0.276,0.410,0.315
1997 Seaota                             ,Ortiz, David                  ,49,0,16,6,3,0,1,2,19,0,0,0,0,3,6,5,3,0,0,0,5,0,0,0,0,0,0,39.7  ,25.5  ,42.05 ,0.327,0.449,0.353
1997 Seaota                             ,Stahoviak, Scott              ,275,0,63,33,17,0,10,24,73,0,0,5,2,3,4,7,2,0,0,0,2,0,0,0,0,0,0,24.8  ,30.85 ,27.2  ,0.229,0.400,0.303
1997 Seaota                             ,Myers, Greg                   ,165,0,44,28,11,1,5,16,29,0,0,0,0,3,6,3,2,0,0,4,0,0,0,0,0,0,0,33.2  ,33.2  ,31.45 ,0.267,0.436,0.331
1997 Seaota                             ,Amaral, Rich                  ,190,0,54,21,5,0,1,10,34,0,0,12,8,1,3,11,2,1,0,0,3,4,4,4,3,3,3,32    ,32.25 ,39.4  ,0.284,0.326,0.358
1997 Seaota                             ,Davis, Russ                   ,420,0,114,63,29,1,20,27,100,0,0,6,2,2,4,6,3,1,0,0,0,0,0,4,0,0,0,30    ,32.8  ,31.1  ,0.271,0.488,0.325
1997 Seaota                             ,Griffey Jr., Ken              ,608,0,185,147,34,3,56,76,121,0,0,15,4,3,3,10,3,0,0,0,0,0,0,0,0,1,0,40.5  ,32.9  ,45.4  ,0.304,0.646,0.395
1997 Seaota                             ,Rodriguez, Alex               ,587,0,176,84,40,3,23,41,99,0,0,29,6,0,2,10,2,1,0,0,0,0,3,0,0,0,0,37.5  ,37.05 ,40.3  ,0.300,0.496,0.374
1997 Seaota                             ,Hocking, Denny                ,253,0,65,25,12,4,2,18,51,0,0,3,5,1,5,8,3,2,0,0,4,3,4,3,3,4,3,29    ,37.25 ,24.65 ,0.257,0.360,0.314
1997 Seaota                             ,Colbrunn, Greg                ,271,0,76,35,17,0,7,10,49,0,0,1,2,3,6,7,2,1,0,0,3,0,0,0,0,0,0,30.6  ,39.3  ,27.9  ,0.280,0.421,0.309
1997 Seaota                             ,Steinbach, Terry              ,447,0,111,54,27,1,12,35,106,0,0,6,1,3,4,3,2,1,0,2,4,0,0,0,0,0,0,28    ,40.55 ,24.7  ,0.248,0.394,0.311
1997 Seaota                             ,Kelly, Roberto                ,368,0,107,59,26,2,12,22,67,0,0,9,5,2,3,9,2,1,0,0,0,0,0,0,2,4,2,34.2  ,41.5  ,34.15 ,0.291,0.470,0.346
1997 Seaota                             ,Wilson, Dan                   ,508,0,137,74,31,1,15,39,72,0,0,7,2,1,4,4,2,1,0,2,0,0,0,0,0,0,0,32.2  ,43    ,30.95 ,0.270,0.423,0.330
1997 Seaota                             ,Knoblauch, Chuck              ,611,0,178,58,26,10,9,84,84,0,0,62,10,3,1,12,1,1,0,0,0,1,4,0,0,0,0,43    ,44    ,47.75 ,0.291,0.411,0.428
1997 Seaota                             ,Lawton, Matt                  ,460,0,114,60,29,3,14,76,81,0,0,7,4,3,4,10,1,0,0,0,0,0,0,0,4,5,4,38.7  ,44.8  ,40.6  ,0.248,0.415,0.363
1997 Seaota                             ,Marzano, John                 ,87,0,25,10,3,0,1,7,15,0,0,0,0,1,6,3,2,1,0,3,0,0,0,0,0,0,0,36.4  ,48.4  ,33    ,0.287,0.356,0.340
1997 Seaota                             ,Molitor, Paul                 ,538,0,164,89,32,4,10,45,73,0,0,11,4,1,3,11,2,1,0,0,4,0,0,0,0,0,0,38.5  ,48.6  ,36.95 ,0.305,0.435,0.370
1997 Seaota                             ,Cora, Joey                    ,574,0,172,54,40,4,11,53,49,0,0,6,7,0,5,10,1,2,0,0,0,3,0,0,0,0,0,40.2  ,49.15 ,38.4  ,0.300,0.441,0.365
1997 Seaota                             ,Coomer, Ron                   ,523,0,156,85,30,2,13,22,91,0,0,4,3,3,5,5,3,1,0,0,3,0,0,3,0,0,0,33.75 ,52.2  ,28.65 ,0.298,0.438,0.332
1997 Seaota                             ,Blowers, Mike                 ,150,0,44,20,5,0,5,21,33,0,0,0,0,1,6,5,3,1,0,0,3,0,0,4,4,0,4,44.05 ,53.2  ,19.75 ,0.293,0.427,0.380
1997 Seaota                             ,Sheets, Andy                  ,89,0,22,9,3,0,4,7,34,0,0,2,0,0,4,9,3,1,0,0,0,3,3,5,0,0,0,28.25 ,53.4  ,22.5  ,0.247,0.416,0.316
1997 Seaota                             ,Martinez, Edgar               ,542,0,179,108,35,1,28,119,86,0,0,2,4,3,5,5,2,1,0,0,5,0,0,5,0,0,0,58.4  ,55.25 ,63.65 ,0.330,0.554,0.452
1997 Seaota                             ,Buhner, Jay                   ,540,0,131,109,18,2,40,119,175,0,0,0,0,3,6,6,3,1,0,0,0,0,0,0,0,0,0,44.4  ,55.65 ,43.8  ,0.243,0.506,0.379
