Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Texaheim                           ,Howell, Jack                  ,174,0,45,34,7,0,14,13,36,0,0,1,0,3,6,3,3,0,0,0,4,0,0,4,0,0,0,28.3  ,25.9  ,26.75 ,0.259,0.540,0.314
1997 Texaheim                           ,Stevens, Lee                  ,426,0,128,74,24,2,21,23,83,0,0,1,3,3,6,5,3,0,0,0,3,0,0,0,4,0,4,34.75 ,26.25 ,34.9  ,0.300,0.514,0.338
1997 Texaheim                           ,Simms, Mike                   ,111,0,28,22,8,0,5,8,27,0,0,0,1,3,6,5,3,1,0,0,4,0,0,0,4,0,4,26.3  ,26.8  ,28.1  ,0.252,0.459,0.303
1997 Texaheim                           ,Tatis, Fernando               ,223,0,57,29,9,0,8,14,42,0,0,3,0,3,4,7,3,1,0,0,0,0,0,3,0,0,0,27.2  ,26.8  ,29    ,0.256,0.404,0.308
1997 Texaheim                           ,Alicea, Luis                  ,388,0,98,37,16,7,5,69,65,0,0,22,8,1,2,9,3,2,0,0,0,3,0,4,0,0,0,40.7  ,31.4  ,46.5  ,0.253,0.369,0.395
1997 Texaheim                           ,Goodwin, Tom                  ,574,0,149,39,26,6,2,44,88,0,0,50,16,0,1,12,2,0,0,0,0,0,0,0,0,2,0,30.2  ,31.6  ,28.9  ,0.260,0.336,0.364
1997 Texaheim                           ,Cedeno, Domingo               ,365,0,103,36,19,6,4,27,77,0,0,3,3,2,5,8,2,2,0,0,0,4,4,4,0,0,0,34.6  ,32.5  ,34.3  ,0.282,0.400,0.337
1997 Texaheim                           ,Anderson, Garret              ,624,0,189,92,36,3,8,30,70,0,0,10,4,3,4,7,2,0,0,0,0,0,0,0,3,4,3,34.5  ,33.25 ,35.25 ,0.303,0.409,0.345
1997 Texaheim                           ,Kreuter, Chad                 ,255,0,59,21,9,2,5,29,66,0,0,0,3,3,6,4,3,2,0,3,4,0,0,0,0,0,0,29.7  ,34.1  ,27.27 ,0.231,0.341,0.310
1997 Texaheim                           ,McLemore, Mark                ,349,0,91,25,17,2,1,40,54,0,0,7,5,1,4,10,2,2,0,0,0,2,0,0,4,0,4,35.7  ,35.6  ,34.55 ,0.261,0.330,0.348
1997 Texaheim                           ,Gonzalez, Juan                ,533,0,158,131,24,3,42,33,107,0,0,0,0,3,6,6,3,1,0,0,0,0,0,0,0,0,0,33.75 ,35.9  ,35.75 ,0.296,0.589,0.337
1997 Texaheim                           ,Palmerio, Orlando             ,134,0,29,8,2,2,0,17,11,0,0,2,2,2,5,10,1,0,0,0,0,0,0,0,2,2,2,27.6  ,36.3  ,25.4  ,0.216,0.261,0.314
1997 Texaheim                           ,Edmonds, Jim                  ,502,0,146,80,27,0,26,60,80,0,0,5,7,3,5,7,2,0,0,0,4,0,0,0,0,1,0,40.8  ,38    ,41.9  ,0.291,0.500,0.372
1997 Texaheim                           ,Mercedes, Henry               ,47,0,10,4,4,0,0,6,25,0,0,0,0,1,6,4,2,1,0,3,0,0,0,0,0,0,0,21    ,39.4  ,24.75 ,0.213,0.298,0.302
1997 Texaheim                           ,Rodriguez, Ivan               ,597,0,187,77,34,4,20,38,89,0,0,7,3,2,4,7,2,1,0,1,0,0,0,0,0,0,0,37.5  ,40.65 ,41.65 ,0.313,0.484,0.361
1997 Texaheim                           ,Erstad, Darin                 ,539,0,161,77,34,4,16,51,86,0,0,23,8,1,2,10,2,0,0,0,4,0,0,0,0,3,0,39.5  ,40.85 ,38.75 ,0.299,0.466,0.383
1997 Texaheim                           ,Greene, Todd                  ,124,0,36,24,6,0,9,7,25,0,0,2,0,3,5,5,3,1,0,4,0,0,0,0,0,0,0,32.6  ,41.6  ,29.45 ,0.290,0.556,0.338
1997 Texaheim                           ,Clark, Will                   ,393,0,128,51,29,1,12,49,62,0,0,0,0,3,6,6,2,0,0,0,2,0,0,0,0,0,0,46.25 ,42.35 ,47.95 ,0.326,0.496,0.400
1997 Texaheim                           ,Grebeck, Craig                ,126,0,34,6,9,0,1,18,11,0,0,0,1,0,6,7,1,1,0,0,0,3,4,3,4,0,4,40.3  ,42.9  ,37.4  ,0.270,0.365,0.361
1997 Texaheim                           ,Hollins, Dave                 ,572,0,165,85,29,2,16,62,124,0,0,16,6,0,3,10,3,2,0,0,4,0,0,4,0,0,0,39.4  ,47.85 ,37.6  ,0.288,0.430,0.374
1997 Texaheim                           ,Phillips, Tony                ,534,0,147,57,34,2,8,102,118,0,0,13,10,1,4,8,2,2,0,0,0,4,0,4,4,5,4,46.4  ,49.2  ,44.4  ,0.275,0.391,0.404
1997 Texaheim                           ,Greer, Rusty                  ,601,0,193,87,42,3,26,83,87,0,0,9,5,3,4,9,2,0,0,0,0,0,0,0,3,4,3,49.5  ,50.9  ,48    ,0.321,0.531,0.411
1997 Texaheim                           ,Salmon, Tim                   ,582,0,172,129,28,1,33,95,142,0,0,9,12,3,5,8,2,1,0,0,0,0,0,0,0,0,0,47.3  ,52.75 ,48.35 ,0.296,0.517,0.402
1997 Texaheim                           ,Leyritz, Jim                  ,379,0,105,64,11,0,11,60,78,0,0,2,1,2,6,3,2,1,0,3,4,0,0,0,0,0,0,43.25 ,53.7  ,42.65 ,0.277,0.393,0.379
1997 Texaheim                           ,Henderson, Rickey             ,288,0,79,27,11,0,6,71,62,0,0,29,4,3,2,12,3,1,0,0,0,0,0,0,3,4,3,53.75 ,64.15 ,56.8  ,0.274,0.375,0.461
