Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP
1997 Yorkcity                           ,Hayes, Charlie                ,353,0,91,53,16,0,11,40,66,0,0,3,2,3,5,5,3,1,0,0,0,4,0,3,0,0,0,34.25 ,47.5  ,28.7  ,0.258,0.397,0.338
1997 Yorkcity                           ,Offerman, Jose                ,424,0,126,39,23,6,2,41,64,0,0,9,10,1,5,10,2,2,0,0,0,3,0,0,0,0,0,39.2  ,49.65 ,33.3  ,0.297,0.394,0.371
1997 Yorkcity                           ,King, Jeff                    ,543,0,129,112,30,1,28,89,96,0,0,16,5,2,3,9,2,1,0,0,2,0,0,0,0,0,0,36.6  ,46.8  ,34.65 ,0.238,0.451,0.361
1997 Yorkcity                           ,Damon, Johnny                 ,472,0,130,48,12,8,8,42,70,0,0,16,10,1,3,11,2,0,0,0,0,0,0,0,2,2,2,34.65 ,28.75 ,36    ,0.275,0.386,0.355
1997 Yorkcity                           ,Vitiello, Joe                 ,130,0,31,18,6,0,5,14,37,0,0,0,0,3,6,4,3,1,0,0,4,0,0,0,5,0,5,28.9  ,29    ,36.45 ,0.238,0.400,0.313
1997 Yorkcity                           ,Sanchez, Ray                  ,138,0,43,15,12,0,1,5,21,0,0,0,4,0,6,8,1,1,0,0,0,2,2,0,0,0,0,36.5  ,43.9  ,37.1  ,0.312,0.420,0.336
1997 Yorkcity                           ,Sutton, Larry                 ,69,0,20,8,2,0,2,5,12,0,0,0,0,3,6,5,2,0,0,0,2,0,0,0,4,0,4,35.55 ,15    ,37.65 ,0.290,0.406,0.338
1997 Yorkcity                           ,Whiten, Mark                  ,215,0,57,24,11,0,5,30,47,0,0,4,2,3,4,8,3,2,0,0,0,0,0,0,5,0,5,36.5  ,36.4  ,38    ,0.265,0.386,0.365
1997 Yorkcity                           ,Kelly, Pat                    ,120,0,29,10,6,1,2,14,37,0,0,8,1,0,3,9,3,1,0,0,0,2,0,0,0,0,0,31.25 ,19    ,39.95 ,0.242,0.358,0.359
1997 Yorkcity                           ,Davis, Chili                  ,477,0,133,90,20,0,30,85,96,0,0,6,3,3,4,3,2,2,0,0,0,0,0,0,0,0,0,42.9  ,48.25 ,39.75 ,0.279,0.509,0.394
