Team Name,Pitcher Name,,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,TRG,Starts
1997 Montrado                           ,Kline, Steve                  ,26.00,18,31,10,20,4,3,1,3,0,0,2,0,34.1  ,27.4  ,39.7  ,6.23,14.19,0
1997 Montrado                           ,DeJean, Mike                  ,68.00,30,74,24,38,4,11,5,0,2,0,2,1,32.2  ,34.6  ,29.6  ,3.97,12.97,0
1997 Montrado                           ,Reed, Steve                   ,62.00,28,49,27,43,10,8,4,6,6,0,1,1,25    ,20    ,27.55 ,4.06,11.03,0
1997 Montrado                           ,Leskanic, Curt                ,58.00,36,59,24,53,8,13,4,0,2,0,2,1,34.4  ,44.4  ,25.8  ,5.59,12.88,0
1997 Montrado                           ,Telford, Anthony              ,89.00,32,77,33,61,11,11,4,6,1,0,2,1,23.2  ,21.6  ,25.6  ,3.24,11.12,0
1997 Montrado                           ,Veres, Dave                   ,62.00,24,68,27,47,5,12,2,3,1,0,2,1,32.8  ,42.6  ,25    ,3.48,13.79,0
1997 Montrado                           ,Munoz, Mike                   ,46.00,23,52,13,26,4,11,3,3,2,0,1,0,34.7  ,44.65 ,23.8  ,4.50,12.72,0
1997 Montrado                           ,Valdes, Marc                  ,95.00,33,84,39,54,2,12,4,4,2,5,3,1,25.3  ,30.25 ,23    ,3.13,11.65,7
1997 Montrado                           ,Urbina, Ugueth                ,64.00,27,52,29,84,9,9,5,8,27,0,2,1,21.7  ,34.1  ,13.75 ,3.80,11.39,0
1997 Montrado                           ,Perez, Carlos                 ,207.00,89,206,48,110,21,14,12,13,0,7,0,0,24.25 ,13.6  ,26.65 ,3.87,11.04,32
1997 Montrado                           ,Hermanson, Dustin             ,158.00,65,134,66,136,15,12,8,8,0,6,3,1,25.65 ,26.7  ,26.35 ,3.70,11.39,28
1997 Montrado                           ,Daal, Omar                    ,27.00,12,34,6,28,3,13,1,1,0,5,3,0,22.8  ,26.2  ,26.3  ,4.00,13.33,3
1997 Montrado                           ,Astacio, Pedro                ,202.00,93,200,61,166,24,10,12,10,0,7,3,1,28.2  ,31.3  ,19.5  ,4.14,11.63,31
1997 Montrado                           ,Johnson, Mike                 ,50.00,33,54,21,28,8,6,2,5,0,5,0,1,36.5  ,48.4  ,19.25 ,5.94,13.50,11
1997 Montrado                           ,Martinez, Pedro               ,241.00,51,158,67,305,16,11,17,8,0,7,0,1,10.35 ,10.25 ,10.7  ,1.90,8.40,31
