Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1965 Baltimore                          ,Robinson, Brooks              ,559,0,166,89,25,2,18,47,47,0,0,3,0,B,D,10,B,R,0,0,0,0,0,1,0,0,0,0     ,0     ,0     ,0.297,0.445,0.355,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,18,0,0,0,0,0,0,N,N,0,0
1965 Baltimore                          ,Lau, Charlie                  ,132,0,39,18,5,2,2,17,18,0,0,0,0,D,E,8,C,L,0,4,0,0,0,0,0,0,0,0     ,0     ,0     ,0.295,0.409,0.376,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,4,0,0,0,0,0,0,0,15,0,W,N,0,1
1965 Baltimore                          ,Snyder, Russ                  ,345,0,93,29,11,2,3,27,38,0,0,3,4,B,D,14,C,L,0,0,0,0,0,0,2,3,2,0     ,0     ,0     ,0.270,0.339,0.328,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,W,W,1,0
1965 Baltimore                          ,Blefary, Curt                 ,462,0,120,70,23,4,22,88,73,0,0,4,2,A,D,11,C,L,0,0,0,0,0,0,4,0,4,0     ,0     ,0     ,0.260,0.470,0.383,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,7,0,7,0,0,N,N,-2,0
1965 Baltimore                          ,Adair, Jerry                  ,582,0,151,66,26,3,7,35,65,0,0,6,4,C,C,14,C,R,0,0,0,2,0,0,0,0,0,0     ,0     ,0     ,0.259,0.351,0.308,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,13,0,0,0,0,0,0,0,N,W,0,0
1965 Baltimore                          ,Siebern, Norm                 ,297,0,76,32,13,4,8,50,49,0,0,1,2,D,E,11,C,L,0,0,3,0,0,0,0,0,0,0     ,0     ,0     ,0.256,0.407,0.365,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,15,0,0,0,0,0,0,0,0,N,N,0,0
1965 Baltimore                          ,Powell, Boog                  ,472,0,117,72,20,2,17,71,93,0,0,1,1,B,E,9,D,L,0,0,4,0,0,0,4,0,0,0     ,0     ,0     ,0.248,0.407,0.347,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,13,0,0,0,6,0,0,0,0,N,N,0,0
1965 Baltimore                          ,Brandt, Jackie                ,243,0,59,24,17,0,8,21,40,0,0,1,2,C,E,14,C,R,0,0,0,0,0,0,2,3,2,0     ,0     ,0     ,0.243,0.412,0.306,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,15,15,15,0,0,N,N,-3,0
1965 Baltimore                          ,Johnson, Bob                  ,273,0,66,27,13,2,5,15,34,0,0,1,0,C,E,13,C,R,0,0,4,4,4,4,0,0,0,0     ,0     ,0     ,0.242,0.359,0.284,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,7,37,31,48,0,0,0,0,0,N,W,0,0
1965 Baltimore                          ,Blair, Paul                   ,364,0,85,25,19,2,5,32,52,0,0,8,5,B,B,15,C,R,0,0,0,0,0,0,0,2,0,0     ,0     ,0     ,0.234,0.338,0.309,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,3,0,0,0,W,N,-1,0
1965 Baltimore                          ,Orsino, John                  ,232,0,54,28,10,2,9,23,51,0,0,1,0,D,E,9,D,R,0,4,4,0,0,0,0,0,0,0     ,0     ,0     ,0.233,0.409,0.305,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,5,30,0,0,0,0,0,0,11,3,N,N,0,1
1965 Baltimore                          ,Brown, Dick                   ,255,0,59,30,9,1,5,17,53,0,0,2,2,C,D,10,D,R,0,2,0,0,0,0,0,0,0,0     ,0     ,0     ,0.231,0.333,0.285,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,8,0,0,0,0,0,0,0,14,3,N,N,0,0
1965 Baltimore                          ,Aparicio, Luis                ,564,0,127,40,20,10,8,46,56,0,0,26,7,A,A,16,B,R,0,0,0,0,2,0,0,0,0,0     ,0     ,0     ,0.225,0.339,0.313,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,23,0,0,0,0,0,N,N,0,0
1965 Baltimore                          ,Bowens, Sam                   ,203,0,33,20,4,1,7,10,41,0,0,7,1,B,B,14,D,R,0,0,0,0,0,0,2,0,2,0     ,0     ,0     ,0.163,0.296,0.227,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,6,0,6,0,0,N,W,-1,0
