Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Baltimore Orioles,Etchebarren,Andy,6,0,1,0,1,0,0,1,1,0,0,0,0,D,E,9,D,L,0,3,0,0,0,0,0,0,0,33.05,0.00,0.00,0.167,0.333,0.286,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,May,Dave,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,14,D,L,0,0,0,0,0,0,0,0,0,29.25,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Rettenmund,Mervin,7,0,0,0,0,0,0,1,1,0,0,0,0,D,B,15,D,L,0,0,0,0,0,0,2,3,2,38.70,0.00,0.00,0.000,0.000,0.125,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Salmon,Chico,33,7,15,10,4,0,3,2,8,0,0,0,0,D,E,15,D,L,0,0,3,4,4,4,4,0,4,43.20,0.00,0.00,0.455,0.848,0.486,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Powell,Boog,39,7,12,5,2,0,2,4,8,2,0,0,0,D,E,10,D,L,0,0,3,0,0,0,0,0,0,46.50,0.00,0.00,0.308,0.513,0.400,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Buford,Don,38,9,13,4,3,0,1,6,4,1,0,0,0,D,C,16,D,L,0,0,0,4,0,4,2,4,2,48.80,0.00,0.00,0.342,0.500,0.444,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Belanger,Mark,40,5,9,4,3,0,1,1,5,0,0,0,0,D,B,15,D,L,0,0,0,0,2,0,0,0,0,39.75,0.00,0.00,0.225,0.375,0.244,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Robinson,Frank,45,9,16,4,2,0,2,2,7,0,0,0,0,D,C,14,D,L,0,0,3,0,0,0,0,0,0,49.75,0.00,0.00,0.356,0.533,0.383,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Blair,Paul,30,3,7,4,1,1,0,4,8,1,0,0,0,D,A,16,D,L,0,0,0,0,0,0,0,1,0,36.00,0.00,0.00,0.233,0.333,0.343,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Johnson,Dave,38,6,11,12,2,0,1,4,4,2,0,0,0,D,D,13,D,L,0,0,0,2,0,0,0,0,0,40.40,0.00,0.00,0.289,0.421,0.386,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Hendricks,Ellie,28,2,7,4,2,0,0,4,4,0,0,0,0,D,E,10,D,L,0,4,4,0,0,0,0,0,0,34.80,0.00,0.00,0.250,0.321,0.344,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Robinson,Brooks,9,1,3,2,0,0,0,0,1,0,0,0,0,D,E,10,D,L,0,0,0,0,0,1,0,0,0,27.50,0.00,0.00,0.333,0.333,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Cuellar,Mike,6,1,2,1,0,0,0,1,2,1,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.333,0.333,0.500,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Phoebus,Tom,4,0,0,0,0,0,0,0,1,0,1,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,15.60,0.00,0.00,0.000,0.000,0.200,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Palmer,Jim,6,0,0,0,0,0,0,1,5,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,15.60,0.00,0.00,0.000,0.000,0.143,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Hardin,Jim,3,1,1,0,1,0,0,0,0,1,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,9.20,0.00,0.00,0.333,0.667,0.500,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Leonhard,Dave,7,2,4,3,1,0,1,1,1,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.571,1.143,0.625,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Watt,Eddie,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,Richert,Pete,4,0,0,0,0,0,0,0,2,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltimore Orioles,McNally,Dave,5,0,0,0,0,0,0,0,2,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
