Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Baltland,Lennon,Patrick,18,0,4,0,2,0,0,1,10,0,0,0,0,D,E,13,D,R,0,0,0,0,0,0,3,4,3,44.20,55.50,18.40,0.222,0.333,0.263,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Hammonds,Jeffrey,4,0,1,1,0,0,0,0,1,0,0,0,0,D,B,16,C,R,0,0,0,0,0,0,3,3,3,31.00,36.05,32.70,0.250,0.250,0.250,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Bellhorn,Mark,6,0,1,0,0,0,0,1,2,0,0,0,0,B,B,13,D,R,0,0,0,4,4,3,0,0,0,33.20,29.95,32.90,0.167,0.167,0.286,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Surhoff,B.J.,8,1,3,1,2,0,0,1,1,0,0,0,0,C,E,12,C,L,0,0,4,0,0,4,3,0,3,33.40,35.50,33.35,0.375,0.625,0.444,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Canseco,Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,10,D,R,0,0,0,0,0,0,5,0,5,32.20,33.85,35.80,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Reboulet,Jeff,0,0,0,0,0,0,0,0,0,0,0,0,0,A,C,12,C,R,0,0,0,3,4,3,0,0,0,29.40,24.50,36.20,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Mayne,Brent,10,1,1,2,0,0,1,0,2,1,0,0,0,C,E,9,C,L,0,3,0,0,0,0,0,0,0,34.60,30.60,36.95,0.100,0.400,0.182,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,McDonald,Jason,22,1,5,5,1,0,0,5,5,0,0,2,1,B,B,16,D,R,0,0,0,0,0,0,2,3,2,40.60,48.40,37.35,0.227,0.273,0.414,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Ripken,Cal,20,4,6,2,1,0,2,3,3,0,0,0,0,D,E,10,B,R,0,0,0,0,3,3,0,0,0,33.80,33.40,37.40,0.300,0.650,0.391,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Baltland,Davis,Eric,5,0,1,2,1,0,0,1,3,0,0,1,0,D,B,14,D,R,0,0,0,0,0,0,0,0,0,40.50,50.10,37.80,0.200,0.400,0.429,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
