Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Bostago,Jefferson,Reggie,22,2,4,1,0,0,0,2,5,1,0,0,0,C,E,10,D,L,0,0,5,0,0,0,0,0,0,38.05,16.40,45.80,0.182,0.182,0.280,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Durham,Ray,18,6,5,3,0,0,1,4,5,1,0,1,0,A,A,17,C,R,0,0,0,3,0,0,0,0,0,35.45,26.75,40.25,0.278,0.444,0.458,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Valdez,Mario,28,3,7,4,0,1,1,4,11,0,0,0,0,D,E,10,D,L,0,0,2,0,0,5,0,0,0,36.80,27.25,41.30,0.250,0.429,0.344,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Pena,Tony,21,2,2,3,1,0,0,2,5,2,0,0,0,D,E,8,C,R,0,3,0,0,0,5,0,0,0,17.70,27.80,23.00,0.095,0.143,0.240,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Garciaparra,Nomar,54,12,22,11,7,1,3,3,4,0,0,0,0,D,A,15,C,R,0,0,0,0,2,0,0,0,0,31.00,29.70,41.65,0.407,0.741,0.439,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Abbott,Jeff,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,0,0,0,0,3,0,3,26.35,29.80,24.30,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Pemberton,Rudy,44,5,13,7,3,0,1,2,8,0,0,0,0,D,E,14,D,R,0,0,0,0,0,0,0,0,0,24.50,30.50,40.75,0.295,0.432,0.326,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Mouton,Lyle,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,D,R,0,0,0,0,0,0,4,0,4,29.00,30.85,32.60,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Haselman,Bill,10,2,2,0,2,0,0,0,5,0,0,0,0,D,E,10,D,R,0,3,0,0,0,0,0,0,0,23.25,30.90,21.70,0.200,0.400,0.200,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Martinez,Dave,26,4,6,2,0,0,1,0,6,0,0,0,0,B,B,14,B,L,0,0,3,0,0,0,2,2,2,38.35,32.00,38.50,0.231,0.346,0.231,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Bragg,Darren,9,1,3,3,1,0,1,0,0,0,0,0,0,C,C,14,B,L,0,0,0,0,0,5,0,4,0,34.30,33.00,34.60,0.333,0.778,0.333,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Ordonez,Magglio,10,2,4,2,0,0,1,1,3,0,0,0,0,D,D,12,D,R,0,0,0,0,0,0,0,0,0,38.00,33.00,40.30,0.400,0.700,0.455,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Cordero,Wil,3,0,1,0,0,0,0,0,0,0,0,0,0,D,E,13,D,R,0,0,0,5,0,0,3,0,3,30.25,33.30,31.55,0.333,0.333,0.333,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
