Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Chicago White Sox,Weis,Al,27,1,6,1,0,1,0,3,7,0,0,0,0,D,C,15,D,L,0,0,0,2,3,3,0,4,0,41.20,0.00,0.00,0.222,0.296,0.300,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,McCraw,Tom,6,2,2,0,1,0,0,2,0,0,0,0,0,D,A,15,D,L,0,0,3,0,0,0,3,4,3,29.55,0.00,0.00,0.333,0.500,0.500,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Romano,John,22,3,7,2,1,0,0,2,4,1,0,0,0,D,E,9,D,L,0,3,4,0,0,0,4,0,4,41.20,0.00,0.00,0.318,0.364,0.400,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Burgess,Smokey,24,5,10,4,4,0,0,1,1,1,0,0,0,D,E,8,D,L,0,4,0,0,0,0,0,0,0,40.75,0.00,0.00,0.417,0.583,0.462,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Buford,Don,42,4,16,4,1,1,1,2,4,0,0,0,0,D,B,16,D,L,0,0,0,3,0,3,0,0,0,42.20,0.00,0.00,0.381,0.524,0.409,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Martin,J.C.,13,0,2,0,0,0,0,0,2,0,0,0,0,D,D,11,D,L,0,2,0,0,0,4,0,0,0,32.20,0.00,0.00,0.154,0.154,0.154,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Ward,Pete,31,0,2,2,0,0,0,3,6,0,0,0,0,D,D,12,D,L,0,0,0,4,0,4,0,0,0,33.05,0.00,0.00,0.065,0.065,0.147,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Hansen,Ron,14,1,1,0,0,0,0,1,1,0,0,0,0,D,E,11,D,L,0,0,0,0,2,0,0,0,0,30.60,0.00,0.00,0.071,0.071,0.133,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Berry,Ken,14,1,1,0,1,0,0,0,5,0,0,0,0,D,D,14,D,L,0,0,0,0,0,0,0,2,0,20.75,0.00,0.00,0.071,0.143,0.071,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Chicago White Sox,Robinson,Floyd,40,3,10,3,1,1,0,2,7,3,0,0,0,D,D,14,D,L,0,0,0,0,0,0,2,0,2,40.80,0.00,0.00,0.250,0.325,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
