Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Cincinnati Reds,Coleman,Gary,21,1,6,0,0,0,0,0,2,0,0,0,0,D,E,8,D,L,0,0,4,0,0,0,0,0,0,40.50,0.00,0.00,0.286,0.286,0.286,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Shamsky,Art,4,1,1,1,0,0,0,1,0,1,0,0,0,D,D,12,D,L,0,0,4,0,0,0,3,0,3,38.00,0.00,0.00,0.250,0.250,0.500,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Ruiz,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,15,D,L,0,0,0,3,4,3,0,0,0,7.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Pavletich,Don,19,1,3,2,1,0,0,0,2,1,0,0,0,D,E,9,D,L,0,4,4,0,0,0,0,0,0,47.75,0.00,0.00,0.158,0.211,0.200,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Harper,Tommy,37,7,15,7,6,1,1,1,7,1,0,0,0,D,AA,17,D,L,0,0,0,0,0,4,3,4,3,39.50,0.00,0.00,0.405,0.703,0.436,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Johnson,Deron,42,3,13,3,4,0,1,0,7,1,0,0,0,D,E,12,D,L,0,0,0,0,0,3,0,0,0,38.75,0.00,0.00,0.310,0.476,0.326,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Perez,Tony,20,3,5,0,1,1,0,2,5,0,0,0,0,D,E,11,D,L,0,0,4,0,0,0,0,0,0,31.20,0.00,0.00,0.250,0.400,0.318,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Rose,Pete,39,7,14,4,1,2,0,6,7,3,0,0,0,D,C,15,D,L,0,0,0,2,0,0,0,0,0,47.00,0.00,0.00,0.359,0.487,0.479,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Edwards,John,23,4,7,2,0,0,1,3,5,0,0,0,0,D,E,11,D,L,0,2,0,0,0,0,0,0,0,37.80,0.00,0.00,0.304,0.435,0.385,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cincinnati Reds,Robinson,Frank,39,8,14,9,3,0,3,6,8,0,0,0,0,D,B,16,D,L,0,0,0,0,0,0,2,0,2,42.50,0.00,0.00,0.359,0.667,0.444,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
