Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Cleveland Indians,Whitfield,Fred,39,5,11,5,1,1,1,2,6,0,0,0,0,D,D,9,D,L,0,0,4,0,0,0,0,0,0,36.00,0.00,0.00,0.282,0.436,0.317,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Gonzalez,Pedro,28,3,9,3,0,0,0,0,7,0,0,0,0,D,C,14,D,L,0,0,0,3,0,3,4,0,4,27.60,0.00,0.00,0.321,0.321,0.321,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Azcue,Joe,39,2,9,3,0,0,1,1,5,0,0,0,0,D,D,8,D,L,0,4,0,0,0,0,0,0,0,24.80,0.00,0.00,0.231,0.308,0.250,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Hinton,Chuck,31,4,11,3,3,0,1,0,2,1,0,0,0,D,A,16,D,L,0,0,3,4,0,0,3,3,3,38.40,0.00,0.00,0.355,0.548,0.375,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Alvis,Max,35,0,5,3,0,0,0,2,6,0,0,0,0,D,B,14,D,L,0,0,0,0,0,3,0,0,0,30.65,0.00,0.00,0.143,0.143,0.189,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Brown,Larry,21,1,4,0,1,0,0,2,2,0,0,0,0,D,D,13,D,L,0,0,0,4,4,0,0,0,0,34.20,0.00,0.00,0.190,0.238,0.261,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Colavito,Rocky,39,7,8,2,2,0,0,7,5,2,0,0,0,D,E,10,C,R,0,0,0,0,0,0,0,0,3,47.00,0.00,0.00,0.205,0.256,0.354,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-4,0
Cleveland Indians,Davalillo,Vic,37,3,6,2,1,0,0,2,3,0,0,0,0,D,A,17,D,L,0,0,0,0,0,0,0,2,0,39.00,0.00,0.00,0.162,0.189,0.205,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Roof,Phil,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,9,D,L,0,2,0,0,0,0,0,0,0,9.60,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cleveland Indians,Howser,Dick,17,2,5,2,1,0,0,5,3,1,0,0,0,D,A,16,D,L,0,0,0,0,4,0,0,0,0,43.20,0.00,0.00,0.294,0.353,0.478,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
