Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Florago,Hansen,Dave,32,5,9,4,3,1,0,6,11,1,0,0,0,D,E,10,B,L,0,0,4,5,0,4,0,0,0,56.00,3.35,57.75,0.281,0.438,0.410,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Counsell,Craig,37,5,8,5,2,0,0,5,3,0,0,0,0,C,E,13,B,L,0,0,0,2,0,0,0,0,0,41.75,19.90,44.75,0.216,0.270,0.310,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Dunwoody,Todd,34,8,8,7,2,2,4,4,11,1,0,1,0,D,C,14,D,L,0,0,0,0,0,0,3,3,3,40.10,21.00,46.10,0.235,0.765,0.350,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Clark,Dave,46,10,15,11,5,0,2,5,9,0,0,0,0,D,D,5,C,L,0,0,0,0,0,0,4,0,4,44.20,21.70,46.40,0.326,0.565,0.392,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Castillo,Luis,0,0,0,0,0,0,0,0,0,0,0,0,0,C,B,17,C,R,0,0,0,2,0,0,0,0,0,31.00,22.90,30.90,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Alexander,Manny,9,1,2,0,0,0,0,0,3,0,0,1,0,C,A,15,C,R,0,0,0,3,3,4,0,0,0,29.30,27.60,35.75,0.222,0.222,0.300,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,White,Devon,0,0,0,0,0,0,0,0,0,0,0,0,0,D,A,16,D,R,0,0,0,0,0,0,0,2,0,33.20,28.65,35.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Orie,Kevin,44,9,15,11,3,1,4,3,7,0,0,0,1,C,D,11,C,R,0,0,0,0,4,2,0,0,0,37.00,31.00,43.75,0.341,0.727,0.383,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Glanville,Doug,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,14,C,R,0,0,0,0,0,0,1,2,1,35.50,31.75,39.50,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Sosa,Sammy,0,0,0,0,0,0,0,0,0,0,0,0,0,D,A,16,D,R,0,0,0,0,0,0,0,0,0,26.20,31.85,27.60,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Hernandez,Jose,3,0,1,1,0,0,0,0,0,0,0,0,0,D,D,14,C,R,0,0,5,4,3,3,4,0,4,32.20,33.30,34.30,0.333,0.333,0.333,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Connie,Jeff,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,11,D,R,0,0,2,0,0,0,4,0,4,34.95,33.70,36.90,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Eisenreich,Jim,0,0,0,0,0,0,0,0,0,0,0,0,0,C,E,12,B,L,0,0,3,0,0,0,4,4,4,37.20,34.75,35.80,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Florago,Daulton,Darren,39,7,10,9,1,0,3,5,6,0,0,0,0,D,C,10,C,L,0,0,5,0,0,0,0,0,0,45.00,35.80,46.70,0.256,0.513,0.341,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
