Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Los Angeles Dodgers,Johnson,Lou,43,8,14,2,0,0,1,0,8,0,0,0,0,D,A,17,D,L,0,0,0,0,0,0,3,3,3,28.00,0.00,0.00,0.326,0.395,0.326,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Moon,Wally,11,0,1,1,0,0,0,2,4,0,0,0,0,D,D,12,D,L,0,0,0,0,0,0,4,0,4,27.60,0.00,0.00,0.091,0.091,0.231,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Tracewski,Dick,11,1,1,0,1,0,0,0,2,0,0,0,0,D,D,14,D,L,0,0,0,3,3,3,0,0,0,30.20,0.00,0.00,0.091,0.182,0.091,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Torborg,Jeff,12,0,6,0,0,0,0,0,1,0,0,0,0,D,E,10,D,L,0,3,0,0,0,0,0,0,0,24.60,0.00,0.00,0.500,0.500,0.500,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Parker,Wes,30,2,7,1,2,0,0,5,10,0,0,0,0,D,B,17,D,L,0,0,1,0,0,0,0,0,0,37.50,0.00,0.00,0.233,0.300,0.343,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Fairly,Ron,42,0,10,2,4,0,0,2,4,2,0,0,0,D,E,12,D,L,0,0,2,0,0,0,0,3,0,42.00,0.00,0.00,0.238,0.333,0.304,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Gilliam,Jim,37,5,10,1,1,1,0,3,3,1,0,0,0,D,B,14,D,L,0,0,0,4,0,3,4,0,4,44.45,0.00,0.00,0.270,0.351,0.341,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Wills,Maury,43,3,11,2,1,0,0,0,8,0,0,0,0,D,AAA,17,D,L,0,0,0,0,2,0,0,0,0,36.70,0.00,0.00,0.256,0.279,0.256,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Lefebvre,Jim,41,3,10,7,0,0,2,2,5,1,0,0,0,D,D,12,D,L,0,0,0,3,0,0,0,0,0,37.50,0.00,0.00,0.244,0.390,0.295,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Davis,Willie,17,0,2,1,0,0,1,1,2,0,0,0,0,D,A,17,D,L,0,0,0,0,0,0,0,2,0,23.45,0.00,0.00,0.118,0.294,0.167,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Roseboro,John,24,1,8,3,1,1,1,0,2,1,0,0,0,D,D,13,D,L,0,2,0,0,0,0,0,0,0,26.40,0.00,0.00,0.333,0.583,0.360,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Kennedy,John,9,0,1,0,0,0,0,1,2,0,0,0,0,D,E,14,D,L,0,0,0,0,3,1,0,0,0,14.60,0.00,0.00,0.111,0.111,0.200,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Reed,Howie,10,0,0,0,0,0,0,0,3,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Podres,John,5,0,0,0,0,0,0,1,1,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,9.20,0.00,0.00,0.000,0.000,0.167,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Osteen,Claude,7,0,4,0,0,0,0,0,0,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.571,0.571,0.571,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Drysdale,Don,7,0,3,0,0,0,0,0,1,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,24.00,0.00,0.00,0.429,0.429,0.429,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Koufax,Sandy,5,0,0,0,0,0,0,0,4,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,9.20,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Los Angeles Dodgers,Brewer,Jim,2,0,0,0,0,0,0,0,2,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
