Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Minnesota Twins,Kindall,Gerry,16,1,3,3,0,1,0,0,4,0,0,0,0,D,D,13,D,L,0,0,0,2,3,2,0,0,0,23.80,0.00,0.00,0.188,0.313,0.188,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Valdespino,Sandy,4,1,0,0,0,0,0,1,0,0,0,0,0,D,B,14,D,L,0,0,0,0,0,0,3,0,3,32.80,0.00,0.00,0.000,0.000,0.200,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Battey,Earl,45,4,16,2,3,0,0,2,5,2,0,0,0,D,E,8,D,L,0,2,0,0,0,0,0,0,0,44.75,0.00,0.00,0.356,0.422,0.408,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Allison,Bob,38,5,11,2,2,1,0,3,11,1,0,0,0,D,B,15,D,L,0,0,4,0,0,0,3,0,3,39.50,0.00,0.00,0.289,0.395,0.357,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Versalles,Zoilo,41,4,11,7,3,0,1,0,10,0,0,0,0,D,A,17,D,L,0,0,0,0,2,0,0,0,0,34.00,0.00,0.00,0.268,0.415,0.268,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Rollins,Rich,39,2,14,2,1,0,0,1,4,0,0,0,0,D,D,12,D,L,0,0,0,4,0,4,0,0,0,29.55,0.00,0.00,0.359,0.385,0.375,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Mincher,Don,39,6,8,4,5,0,0,2,5,1,0,0,0,D,E,10,D,L,0,0,3,0,0,0,0,0,0,34.60,0.00,0.00,0.205,0.333,0.262,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Hall,Jimmie,41,6,11,0,3,0,0,4,4,0,0,0,0,D,B,15,D,L,0,0,0,0,0,0,0,2,0,39.80,0.00,0.00,0.268,0.341,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Oliva,Tony,39,1,5,3,3,0,0,1,5,1,0,0,0,D,B,16,D,L,0,0,0,0,0,0,0,3,0,45.75,0.00,0.00,0.128,0.205,0.171,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Zimmerman,Gerry,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,9,D,L,0,2,0,0,0,0,0,0,0,21.60,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Killebrew,Harmon,25,1,5,1,0,0,0,3,6,1,0,0,0,D,E,9,D,L,0,0,4,0,0,4,4,0,4,44.60,0.00,0.00,0.200,0.200,0.310,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Quilici,Frank,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,13,D,L,0,0,0,2,3,0,0,0,0,26.90,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Kaat,Jim,7,1,3,1,0,0,0,0,1,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,24.00,0.00,0.00,0.429,0.429,0.429,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Minnesota Twins,Pascual,Camilo,3,0,2,1,1,0,0,1,1,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,15.60,0.00,0.00,0.667,1.000,0.750,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
