Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
NewDiego,Sweeney,Mark,36,1,8,2,2,0,0,7,11,0,0,0,0,B,D,11,C,L,0,0,3,0,0,0,4,0,4,40.25,11.60,41.00,0.222,0.278,0.349,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Bieser,Steve,29,4,8,1,1,0,0,2,11,2,0,0,0,B,D,14,D,L,0,4,0,0,0,0,3,3,3,29.75,12.00,38.40,0.276,0.310,0.364,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Ochoa,Alex,12,1,4,0,0,0,0,2,1,0,0,0,1,C,D,14,C,R,0,0,0,0,0,0,0,4,0,28.00,23.90,37.30,0.333,0.333,0.429,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Shipley,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,4,4,4,4,0,0,0,29.80,26.05,34.30,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Cianfrocco,Archi,38,2,9,5,2,0,0,3,16,1,0,0,0,D,B,11,D,R,0,0,2,4,4,3,0,0,0,32.50,26.70,40.00,0.237,0.289,0.310,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Lopez,Luis,21,3,5,5,0,0,0,2,2,0,0,0,1,D,D,12,D,R,0,0,0,3,3,4,0,0,0,30.20,30.30,34.40,0.238,0.238,0.304,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Veras,Quilvio,46,6,11,6,2,0,1,7,6,2,0,5,2,A,A,16,C,R,0,0,0,3,0,0,0,0,0,39.50,31.40,43.35,0.239,0.348,0.417,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Joyner,Wally,38,7,12,5,1,1,1,4,4,1,0,1,0,D,D,11,B,L,0,0,0,2,0,0,0,0,0,47.75,31.40,49.50,0.316,0.474,0.409,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,Jones,Chris,33,5,11,6,2,0,3,3,11,0,0,1,0,D,B,13,D,R,0,0,0,0,0,0,3,3,3,31.50,31.60,37.35,0.333,0.667,0.405,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
NewDiego,McRae,Brian,23,8,10,5,3,0,2,2,3,2,0,1,0,B,B,15,C,R,0,0,0,0,0,0,0,2,0,32.75,35.10,32.25,0.435,0.826,0.536,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
