Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
San Diego Padres,Pena,Roberto,32,1,9,3,3,0,0,0,1,1,0,0,0,D,E,12,D,L,0,0,4,4,4,4,0,0,0,26.60,0.00,0.00,0.281,0.375,0.303,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Hriniak,Walt,34,2,6,2,1,0,0,2,5,2,0,0,0,D,E,10,D,L,0,3,0,0,0,0,0,0,0,31.60,0.00,0.00,0.176,0.206,0.263,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Murrell,Ivan,31,3,10,2,2,3,0,1,10,1,0,0,0,D,D,14,D,L,0,0,4,0,0,0,3,4,3,27.05,0.00,0.00,0.323,0.581,0.364,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Sipin,John,30,3,7,1,2,1,0,1,6,0,0,0,0,D,D,11,D,L,0,0,0,3,0,0,0,0,0,20.00,0.00,0.00,0.233,0.367,0.258,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Ferrara,Al,46,9,16,9,5,0,5,2,6,2,0,0,0,D,E,8,D,L,0,0,0,0,0,0,4,0,4,37.80,0.00,0.00,0.348,0.783,0.400,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Colbert,Nate,44,5,11,4,1,1,2,1,10,2,0,0,0,D,C,14,D,L,0,0,2,0,0,0,0,0,0,32.40,0.00,0.00,0.250,0.455,0.298,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Spiezio,Ed,40,2,6,2,2,0,0,4,3,0,0,0,0,D,E,12,D,L,0,0,4,0,0,0,4,0,4,31.25,0.00,0.00,0.150,0.200,0.227,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Brown,Ollie,43,2,11,5,0,0,0,3,9,2,0,0,0,D,C,14,D,L,0,0,0,0,0,0,0,0,0,33.30,0.00,0.00,0.256,0.256,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Gaston,Clarence,10,0,0,0,0,0,0,0,2,0,0,0,0,D,C,15,D,L,0,0,0,0,0,0,0,3,0,24.75,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Diego Padres,Cannizzaro,Chris,11,0,1,1,0,0,0,1,6,0,0,0,0,D,E,8,D,L,0,2,0,0,0,0,0,0,0,26.00,0.00,0.00,0.091,0.091,0.167,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
