Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
San Francisco Giants,Alou,Matty,10,0,1,0,1,0,0,0,0,1,0,0,0,D,B,15,D,L,0,0,0,0,0,0,2,2,2,23.40,0.00,0.00,0.100,0.200,0.182,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Lanier,Hal,11,0,0,0,0,0,0,0,2,0,0,0,0,D,E,12,D,L,0,0,0,2,4,0,0,0,0,20.75,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Bertell,Dick,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,9,D,L,0,3,0,0,0,0,0,0,0,26.60,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Peterson,Cap,1,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,D,L,0,0,0,0,0,0,4,0,4,31.75,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Hart,Jim,42,5,15,8,4,0,2,5,5,1,0,0,0,D,C,13,D,L,0,0,0,0,0,4,4,0,4,41.25,0.00,0.00,0.357,0.595,0.438,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Alou,Jay,44,5,10,3,3,1,0,2,6,0,0,0,0,D,C,15,D,L,0,0,0,0,0,0,0,0,0,36.50,0.00,0.00,0.227,0.341,0.261,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Davenport,Jim,27,1,6,2,2,0,0,5,3,0,0,0,0,D,E,11,D,L,0,0,0,4,3,0,0,0,0,31.60,0.00,0.00,0.222,0.296,0.344,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Gabrielson,Len,35,4,14,4,0,3,1,1,8,1,0,0,0,D,C,14,D,L,0,0,4,0,0,0,3,4,3,41.60,0.00,0.00,0.400,0.657,0.432,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,Mays,Willie,40,8,9,2,2,0,0,6,5,1,0,0,0,D,C,17,D,L,0,0,0,0,0,0,0,1,0,49.40,0.00,0.00,0.225,0.275,0.340,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
San Francisco Giants,McCovey,Willie,39,8,11,10,2,2,3,6,8,1,0,0,0,D,E,9,D,L,0,0,3,0,0,0,0,0,0,46.60,0.00,0.00,0.282,0.667,0.391,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
