Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
SanLouis,Sheaffer,Danny,14,1,3,0,0,0,0,1,0,0,0,0,0,B,E,11,C,R,0,4,0,5,0,3,4,0,4,26.70,23.00,34.90,0.214,0.214,0.267,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Gant,Ron,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,13,D,R,0,0,0,0,0,0,4,0,4,29.50,24.35,33.10,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Snow,J.T.,29,6,9,5,3,0,1,3,5,0,0,0,0,D,C,11,C,R,0,0,1,0,0,0,0,0,0,45.50,26.65,49.75,0.310,0.517,0.375,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Clayton,Royce,26,2,6,1,2,0,0,0,2,0,0,1,0,C,A,15,C,R,0,0,0,0,2,0,0,0,0,28.50,26.75,31.75,0.231,0.308,0.259,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Mabry,John,25,4,7,4,1,1,0,2,6,1,0,0,0,D,E,11,D,L,0,0,3,0,0,5,3,4,3,35.80,27.00,38.90,0.280,0.400,0.357,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Johnson,Brian,19,3,8,8,1,0,2,0,1,0,0,0,0,B,E,9,B,R,0,4,4,0,0,0,0,0,0,30.40,28.15,33.55,0.421,0.789,0.421,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Kent,Jeff,10,1,3,1,1,0,0,3,3,0,0,0,0,D,B,13,C,R,0,0,3,3,0,0,0,0,0,28.25,30.90,34.35,0.300,0.400,0.462,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Hill,Glenallen,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,13,C,R,0,0,0,0,0,0,0,0,0,27.40,31.00,29.20,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Young,Dmitri,0,1,0,0,0,0,0,0,0,0,0,0,0,D,C,12,B,R,0,0,4,0,0,0,4,0,4,34.45,32.25,34.75,0.000,0.000,0.000,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
SanLouis,Lampkin,Tom,5,0,0,0,0,0,0,0,1,0,0,0,0,C,D,10,C,L,0,3,0,0,0,0,0,0,0,31.10,32.30,33.15,0.000,0.000,0.000,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
