Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Seaota,Brede,Brent,27,0,6,3,2,0,0,1,4,1,0,1,0,D,B,13,C,L,0,0,4,0,0,0,4,0,4,37.50,17.50,39.00,0.222,0.296,0.300,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Becker,Rich,19,4,6,3,1,0,0,4,4,1,0,5,0,C,B,15,C,L,0,0,0,0,0,0,3,3,3,39.40,19.35,41.35,0.316,0.368,0.552,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Meares,Pat,14,5,6,2,4,0,0,1,1,1,0,0,0,C,C,13,C,R,0,0,0,0,3,0,0,0,0,29.00,23.00,37.95,0.429,0.714,0.500,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Ortiz,David,21,2,6,2,2,0,1,0,10,0,0,0,0,D,E,10,D,L,0,0,5,0,0,0,0,0,0,39.70,25.50,42.05,0.286,0.524,0.286,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Stahoviak,Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,C,L,0,0,2,0,0,0,0,0,0,24.80,30.85,27.20,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Myers,Greg,11,0,3,0,0,0,0,0,1,0,0,0,0,D,E,8,C,L,0,4,0,0,0,0,0,0,0,33.20,33.20,31.45,0.273,0.273,0.273,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Amaral,Rich,34,1,4,2,0,1,0,2,7,0,0,2,0,B,B,16,C,R,0,0,3,4,4,4,3,3,3,32.00,32.25,39.40,0.118,0.176,0.211,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Davis,Russ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,11,D,R,0,0,0,0,0,4,0,0,0,30.00,32.80,31.10,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Griffey Jr.,Ken,36,10,15,14,0,0,6,1,7,1,0,2,1,D,B,15,D,L,0,0,0,0,0,0,0,1,0,40.50,32.90,45.40,0.417,0.917,0.475,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seaota,Rodriguez,Alex,19,2,4,0,1,0,0,2,2,0,0,4,0,A,A,15,C,R,0,0,0,0,3,0,0,0,0,37.50,37.05,40.30,0.211,0.263,0.400,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
