Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Seattle Pilots,Hegan,Mike,33,2,12,2,2,1,0,13,6,1,0,0,0,D,C,14,D,L,0,0,2,0,0,0,0,0,0,56.40,0.00,0.00,0.364,0.485,0.553,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Hovley,Steve,39,3,8,1,1,0,0,4,6,1,0,0,0,D,B,14,D,L,0,0,0,0,0,0,3,4,3,37.20,0.00,0.00,0.205,0.231,0.295,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Comer,Wayne,38,2,11,5,1,0,1,9,8,0,0,0,0,D,B,14,D,L,0,4,0,0,0,4,2,4,2,41.50,0.00,0.00,0.289,0.395,0.426,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Mincher,Don,40,5,9,4,1,0,2,4,9,1,0,0,0,D,C,12,D,L,0,0,4,0,0,0,0,0,0,39.90,0.00,0.00,0.225,0.400,0.311,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,McNertney,Gerry,4,0,1,0,0,0,0,0,2,0,0,0,0,D,E,10,D,L,0,2,0,0,0,0,0,0,0,26.75,0.00,0.00,0.250,0.250,0.250,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Harper,Tommy,37,2,11,3,0,0,0,7,8,0,0,0,0,D,AA,17,D,L,0,0,0,4,0,4,2,4,2,40.35,0.00,0.00,0.297,0.297,0.409,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Donaldson,John,31,4,12,7,4,0,0,8,5,0,0,0,0,D,C,13,D,L,0,0,0,4,4,4,0,0,0,28.80,0.00,0.00,0.387,0.516,0.513,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Oyler,Ray,3,0,1,0,0,0,0,0,0,0,0,0,0,D,E,12,D,L,0,0,0,0,2,0,0,0,0,21.10,0.00,0.00,0.333,0.333,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Gil,Gus,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,12,D,L,0,0,0,4,4,4,0,0,0,24.40,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Seattle Pilots,Kennedy,John,35,3,8,2,1,0,0,2,8,2,0,0,0,D,C,12,D,L,0,0,0,0,4,2,0,0,0,30.70,0.00,0.00,0.229,0.257,0.308,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
