Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Washington Senators,Stroud,Ed,3,0,0,0,0,0,0,2,0,0,0,0,0,D,B,15,D,L,0,0,0,0,0,0,3,4,3,39.60,0.00,0.00,0.000,0.000,0.400,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Maye,Lee,27,3,10,7,2,0,1,2,0,0,0,0,0,D,D,14,D,L,0,0,0,0,0,0,4,0,4,36.40,0.00,0.00,0.370,0.556,0.414,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Cullen,Tim,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,D,L,0,0,0,3,3,3,0,0,0,18.25,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,French,Jim,31,5,8,4,5,0,0,5,4,1,0,0,0,D,E,9,D,L,0,3,0,0,0,0,0,0,0,37.80,0.00,0.00,0.258,0.419,0.378,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Howard,Frank,46,9,14,7,1,0,4,2,5,1,0,0,0,D,E,8,D,L,0,0,4,0,0,0,4,0,4,47.80,0.00,0.00,0.304,0.587,0.347,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,McMullen,Ken,43,7,9,3,2,0,1,6,4,2,0,0,0,D,D,11,D,L,0,0,0,0,0,3,0,0,0,39.60,0.00,0.00,0.209,0.326,0.333,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Brinkman,Ed,44,2,9,3,0,0,1,0,3,3,0,0,0,D,E,12,D,L,0,0,0,0,2,0,0,0,0,34.90,0.00,0.00,0.205,0.273,0.255,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Allen,Bernie,44,3,9,5,1,1,1,3,3,2,0,0,0,D,C,12,D,L,0,0,0,3,0,3,0,0,0,37.00,0.00,0.00,0.205,0.341,0.286,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Casanova,Paul,12,1,3,0,0,1,0,0,1,1,0,0,0,D,E,10,D,L,0,2,0,0,0,0,0,0,0,19.00,0.00,0.00,0.250,0.417,0.308,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Unser,Del,45,3,12,2,2,0,0,6,5,0,0,0,0,D,D,15,D,L,0,0,0,0,0,0,0,2,0,40.25,0.00,0.00,0.267,0.311,0.353,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Epstein,Mike,43,5,13,5,2,0,2,8,8,4,0,0,0,D,D,10,D,L,0,0,4,0,0,0,0,0,0,49.20,0.00,0.00,0.302,0.488,0.455,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Allen,Hank,12,0,2,1,0,0,0,0,0,1,0,0,0,D,B,14,D,L,0,0,0,4,0,4,3,4,3,32.25,0.00,0.00,0.167,0.167,0.231,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Bosman,Dick,8,1,1,0,0,0,0,2,3,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.125,0.125,0.300,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Coleman,Joe,12,1,2,1,0,0,0,1,2,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.167,0.167,0.231,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Cox,Casey,3,0,0,0,0,0,0,1,2,0,1,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.400,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Hannan,Jim,5,0,1,0,0,0,0,0,2,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.200,0.200,0.200,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Moore,Barry,4,1,3,0,0,0,0,0,0,1,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,15.60,0.00,0.00,0.750,0.750,0.800,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Shellenback,Jim,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,9.20,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Denny,Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Washington Senators,Knowles,Darold,4,0,1,0,0,0,0,2,1,1,0,0,0,D,E,10,D,L,3,0,0,0,0,0,0,0,0,3.00,0.00,0.00,0.250,0.250,0.571,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
