Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Yorkcity,Hayes,Charlie,24,4,10,8,1,0,2,2,2,1,0,0,0,D,D,10,D,R,0,0,0,4,0,3,0,0,0,34.25,47.50,28.70,0.417,0.708,0.481,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Offerman,Jose,20,4,6,3,0,2,0,4,6,0,0,0,0,B,D,15,C,R,0,0,0,3,0,0,0,0,0,39.20,49.65,33.30,0.300,0.500,0.417,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,King,Jeff,13,4,8,9,2,0,3,1,1,0,0,0,0,C,B,14,C,R,0,0,2,0,0,0,0,0,0,36.60,46.80,34.65,0.615,1.462,0.643,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Damon,Johnny,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,16,C,L,0,0,0,0,0,0,2,2,2,34.65,28.75,36.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Vitiello,Joe,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,9,D,R,0,0,4,0,0,0,5,0,5,28.90,29.00,36.45,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Sanchez,Ray,11,2,2,0,2,0,0,2,1,0,0,0,0,A,E,13,B,R,0,0,0,2,2,0,0,0,0,36.50,43.90,37.10,0.182,0.364,0.308,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Sutton,Larry,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,C,L,0,0,2,0,0,0,4,0,4,35.55,15.00,37.65,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Whiten,Mark,13,2,3,1,0,0,0,0,1,2,0,1,0,D,C,13,D,R,0,0,0,0,0,0,5,0,5,36.50,36.40,38.00,0.231,0.231,0.375,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Kelly,Pat,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,14,D,R,0,0,0,2,0,0,0,0,0,31.25,19.00,39.95,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Davis,Chili,9,2,1,1,0,0,1,1,1,0,0,0,0,D,C,8,C,R,0,0,0,0,0,0,0,0,0,42.90,48.25,39.75,0.111,0.444,0.200,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Curtis,Chad,34,7,10,10,3,0,5,3,2,0,0,1,0,D,B,15,C,R,0,0,0,0,0,0,2,3,2,40.80,49.70,40.55,0.294,0.824,0.368,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Halter,Shane,39,2,11,1,3,0,0,1,9,0,0,0,1,A,C,13,D,R,0,0,0,3,4,3,0,4,0,34.20,34.20,40.50,0.282,0.359,0.300,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Fielder,Cecil,32,7,8,7,1,0,1,4,5,1,0,0,0,D,E,8,D,R,0,0,4,0,0,0,0,0,0,37.75,44.00,40.90,0.250,0.375,0.351,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Boggs,Wade,19,6,6,2,2,0,0,1,5,0,0,0,0,C,E,10,B,L,0,0,0,0,0,3,0,0,0,43.20,45.75,41.00,0.316,0.421,0.350,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Posada,Jorge,28,5,4,3,1,0,1,4,11,1,0,0,1,D,E,10,D,R,0,3,0,0,0,0,0,0,0,38.25,33.50,41.80,0.143,0.286,0.273,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Myers,Rod,56,5,10,6,5,0,1,5,13,0,0,2,0,C,C,14,C,L,0,0,0,0,0,0,2,3,2,41.60,34.20,43.60,0.179,0.321,0.270,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Martinez,Tino,33,6,9,7,2,0,2,4,5,1,0,0,0,D,D,10,D,L,0,0,2,0,0,0,0,0,0,41.00,36.30,44.25,0.273,0.515,0.368,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Jeter,Derek,45,9,18,6,2,0,1,7,10,1,0,7,0,A,A,15,C,R,0,0,0,0,2,0,0,0,0,41.50,42.90,44.40,0.400,0.511,0.550,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Sojo,Luis,44,8,17,9,0,1,1,3,3,2,0,0,0,A,C,11,B,R,0,0,5,3,3,3,0,0,0,39.75,33.00,45.00,0.386,0.500,0.449,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Stanley,Mike,65,13,21,16,5,0,4,8,11,4,0,0,0,D,E,9,D,R,0,4,4,0,0,0,0,0,0,46.20,53.75,45.10,0.323,0.585,0.429,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Williams,Bernie,71,16,27,10,7,1,3,8,8,3,0,0,0,D,B,15,C,R,0,0,0,0,0,0,0,1,0,50.75,57.35,46.00,0.380,0.634,0.463,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
