Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Yorkcity,Hayes,Charlie,4,2,3,2,1,0,1,0,0,0,0,0,0,D,D,10,D,R,0,0,0,4,0,3,0,0,0,34.25,47.50,28.70,0.750,1.750,0.750,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Offerman,Jose,4,0,1,1,0,0,0,0,2,0,0,0,0,B,D,15,C,R,0,0,0,3,0,0,0,0,0,39.20,49.65,33.30,0.250,0.250,0.250,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,King,Jeff,8,2,4,5,1,0,2,1,1,0,0,0,0,C,B,14,C,R,0,0,2,0,0,0,0,0,0,36.60,46.80,34.65,0.500,1.375,0.556,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Damon,Johnny,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,16,C,L,0,0,0,0,0,0,2,2,2,34.65,28.75,36.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Vitiello,Joe,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,9,D,R,0,0,4,0,0,0,5,0,5,28.90,29.00,36.45,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Sanchez,Ray,7,2,2,0,2,0,0,1,1,0,0,0,0,A,E,13,B,R,0,0,0,2,2,0,0,0,0,36.50,43.90,37.10,0.286,0.571,0.375,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Sutton,Larry,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,C,L,0,0,2,0,0,0,4,0,4,35.55,15.00,37.65,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Whiten,Mark,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,13,D,R,0,0,0,0,0,0,5,0,5,36.50,36.40,38.00,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Kelly,Pat,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,14,D,R,0,0,0,2,0,0,0,0,0,31.25,19.00,39.95,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Yorkcity,Davis,Chili,5,0,0,0,0,0,0,0,1,0,0,0,0,D,C,8,C,R,0,0,0,0,0,0,0,0,0,42.90,48.25,39.75,0.000,0.000,0.000,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
