Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Baltland,Orosco,Jesse,0.00,0,0,0,0,0,-2,0,0,0,0,1,L,26.50,19.00,40.10,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Wengert,Don,2.00,1,3,0,4,1,-4,0,0,0,5,3,R,35.60,36.30,34.50,4.50,13.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Johnson,Dane,6.00,3,5,1,6,0,5,1,0,0,0,2,R,30.00,39.20,33.00,4.50,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Oquist,Mike,3.00,8,8,2,2,0,-5,0,0,0,5,4,R,30.75,29.25,30.50,24.00,30.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Small,Aaron,0.00,0,0,0,0,0,2,0,0,0,0,2,R,33.50,36.40,30.40,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Benitez,Armando,2.00,1,0,3,2,0,9,0,1,0,0,1,R,20.25,26.25,22.35,4.50,13.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Myers,Randy,1.00,0,0,1,1,0,-6,0,0,0,0,1,L,21.30,28.40,18.90,0.00,5.63,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Rhodes,Arthur,2.00,0,0,0,2,0,2,0,0,1,0,3,L,16.75,14.95,18.25,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Taylor,Billy,0.00,0,0,0,0,0,5,0,0,0,0,1,R,26.50,35.60,17.55,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Karsay,Steve,14.00,6,12,3,9,0,3,1,0,0,6,0,R,33.80,32.60,33.80,3.78,9.44,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Erickson,Scott,18.00,6,18,7,15,2,1,1,1,0,7,0,R,25.30,23.20,28.20,3.00,12.50,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Rigby,Brad,14.00,5,17,3,5,2,-6,1,0,0,5,0,R,31.75,36.00,27.75,3.21,12.86,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Baltland,Kamieniecki,Scott,18.00,1,13,2,13,1,2,2,0,0,6,0,R,27.80,28.50,27.25,0.50,7.50,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Baltland,Key,Jimmy,12.00,11,15,8,7,1,-5,1,1,0,6,0,L,27.00,32.60,26.70,8.25,17.25,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Baltland,Mussina,Mike,15.00,7,13,6,13,2,-4,2,0,0,7,0,R,20.40,17.50,19.50,4.12,11.18,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
