Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Bostago,Wakefield,Tim,0.00,0,0,2,0,0,2,0,0,0,7,3,R,29.25,29.90,27.80,0.00,30.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Hernandez,Roberto,2.00,3,1,3,4,1,2,0,1,0,0,1,R,19.80,15.10,27.80,13.50,18.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,McElroy,Chuck,2.00,0,0,0,2,0,-1,1,0,0,0,2,L,23.00,17.50,26.10,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Corsi,Jim,2.00,1,5,1,0,0,-6,0,0,1,0,2,R,23.00,18.80,25.20,4.50,27.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Brandenburg,Mark,1.00,2,2,0,1,1,-3,0,0,0,0,2,R,33.40,45.25,24.10,18.00,18.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Henry,Butch,0.00,1,2,0,0,0,-5,0,1,0,5,3,L,25.60,32.80,23.85,30.00,60.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Bostago,Hudson,Joe,2.00,0,2,0,2,0,2,1,0,0,0,2,R,32.50,45.00,23.80,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Wasdin,John,5.00,2,6,1,6,1,5,0,0,0,5,3,R,22.85,29.00,15.10,3.40,11.89,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Foulke,Ken,7.00,1,4,2,6,0,-3,0,0,1,0,3,R,19.75,35.25,7.30,1.18,7.11,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Bostago,Sirotka,Mike,11.00,10,14,3,3,3,-6,1,1,0,5,3,L,25.20,21.00,26.45,8.18,13.91,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Gordon,Tom,16.00,9,16,7,5,2,2,1,1,0,7,3,R,27.10,27.75,24.50,5.06,12.94,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Alvarez,Wilson,12.00,7,13,4,5,2,-4,1,0,0,7,0,L,22.50,23.60,22.00,5.12,12.44,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Bostago,Sele,Aaron,15.00,16,23,12,10,2,1,0,0,0,6,0,R,33.40,42.30,21.85,9.60,21.00,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Lowe,Derek,14.00,7,13,4,9,4,-3,1,1,0,5,3,R,34.00,48.55,17.65,4.50,10.93,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Bostago,Darwin,Danny,14.00,15,19,12,9,5,-2,1,0,0,6,3,R,25.25,33.05,17.60,9.64,19.93,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
