Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Florago,Nen,Robb,0.00,0,0,0,0,0,6,0,0,0,0,1,R,30.30,20.60,41.70,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Telemaco,Amaury,1.00,0,1,0,0,0,1,1,0,0,5,3,R,35.75,36.00,37.15,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Heredia,Felix,3.00,1,3,1,5,0,1,0,0,1,0,2,L,30.50,23.80,34.80,2.73,10.91,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Florago,Cook,Dennis,0.00,0,0,0,0,0,3,0,0,0,0,2,L,32.50,31.00,33.75,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Bottenfield,Kent,4.00,1,4,1,3,1,2,0,0,0,0,2,R,29.25,28.40,31.00,1.96,9.78,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
Florago,Pisciotta,Marc,2.00,1,1,0,1,1,-4,1,0,0,0,2,R,27.95,29.85,27.10,4.50,4.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Stanifer,Robby,0.00,0,0,0,0,0,3,0,0,0,0,2,R,30.10,42.45,26.50,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Patterson,Bob,2.00,1,3,1,2,1,1,0,1,0,0,1,L,15.80,4.75,25.75,4.50,18.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Powell,Jay,0.00,0,0,0,0,0,4,0,0,0,0,2,R,25.75,32.00,24.40,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Saunders,Tony,15.00,14,19,10,8,4,0,0,2,0,6,0,L,34.25,13.55,40.35,8.08,16.73,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Florago,Tapani,Kevin,18.00,5,19,7,7,3,-4,2,0,0,6,0,R,22.90,16.85,32.20,2.50,13.00,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Florago,Brown,Kevin,13.00,9,24,4,12,1,3,0,0,0,7,0,R,21.75,25.70,23.00,5.96,18.53,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Clark,Mark,19.00,9,29,9,11,3,-1,1,0,0,6,0,R,26.60,33.75,20.75,4.26,18.00,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Florago,Hernandez,Livan,14.00,9,19,8,10,1,0,2,0,0,5,0,R,25.75,32.50,20.75,5.55,16.64,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Florago,Fernandez,Alex,18.00,9,28,4,13,3,-1,1,1,0,7,0,R,23.80,34.25,15.25,4.50,16.00,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
