Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
NewDiego,Hitchcock,Sterling,5.00,8,11,4,3,2,3,0,1,0,6,3,L,32.25,34.80,31.40,14.40,27.00,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
NewDiego,Bruske,Jim,2.00,2,4,0,1,1,0,0,0,0,0,2,R,31.25,30.65,30.80,9.00,18.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Hamilton,Joey,9.00,4,17,5,5,1,-2,0,0,0,7,3,R,31.80,36.75,26.25,4.00,22.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
NewDiego,Rojas,Mel,2.00,7,6,2,4,0,1,0,0,0,0,2,R,28.20,31.40,25.90,24.23,27.69,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Hoffman,Trevor,3.00,1,2,2,6,0,-4,1,0,0,0,2,R,14.70,6.30,23.80,2.50,10.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Lidle,Cory,7.00,4,6,3,5,2,-3,0,0,1,5,3,R,27.60,35.55,22.20,5.14,11.57,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Franco,John,6.00,1,6,0,3,1,-4,1,0,0,0,1,L,23.25,31.25,20.90,1.36,8.18,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
NewDiego,Crawford,Joe,6.00,8,12,1,3,4,-4,0,0,0,6,4,L,18.75,32.15,15.75,12.00,19.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,McMichael,Greg,10.00,3,8,1,7,1,3,1,0,0,0,2,R,22.40,28.00,15.10,2.70,8.10,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Bohanon,Brian,22.00,6,20,13,13,0,3,2,0,0,6,3,L,29.50,28.10,30.35,2.39,13.14,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
NewDiego,Reynoso,Armando,20.00,13,31,8,13,2,-6,0,2,0,6,0,R,31.70,33.20,29.95,5.76,17.29,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
NewDiego,Menhart,Paul,18.00,17,26,16,4,6,-1,1,2,0,6,3,R,27.50,28.20,26.05,8.50,21.00,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
NewDiego,Jones,Bobby,17.00,18,33,9,17,3,-1,0,2,0,7,0,R,25.80,25.30,26.60,9.36,21.85,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
NewDiego,Ashby,Andy,13.00,14,18,6,8,3,4,0,2,0,7,0,R,30.25,33.00,25.50,9.47,16.24,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
NewDiego,Reed,Rick,25.00,12,22,7,18,4,-4,1,2,0,6,4,R,18.60,15.75,20.55,4.27,10.32,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
