Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Philanta,Clontz,Brad,2.00,2,3,1,1,1,2,0,0,0,0,2,R,33.25,30.90,35.50,6.92,13.85,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Spradlin,Jerry,0.00,0,0,0,0,0,0,0,0,0,0,2,R,28.50,24.05,31.65,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Bottalico,Ricky,0.00,1,2,1,1,0,2,0,0,0,0,1,R,30.75,31.00,31.10,15.00,45.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Wohlers,Mark,3.00,1,2,1,6,0,8,0,0,0,0,1,R,30.10,31.60,27.35,3.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Millwood,Kevin,0.00,0,0,0,1,0,9,0,0,0,6,3,R,35.50,42.00,26.25,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Philanta,Bielecki,Mike,2.00,6,6,2,3,2,0,0,1,0,0,2,R,26.25,29.25,24.15,27.00,36.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Byrd,Paul,8.00,5,7,9,6,1,1,0,1,0,5,3,R,28.60,36.90,20.90,5.23,16.74,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Philanta,Embree,Alan,4.00,3,2,2,3,1,4,0,0,1,0,1,L,15.50,30.60,19.00,6.75,9.00,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Cather,Mike,5.00,0,6,4,6,0,-3,0,0,0,0,2,R,16.05,34.55,6.10,0.00,16.98,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Stephenson,Garrett,24.00,17,23,12,19,2,-6,2,1,0,6,3,R,20.30,19.90,21.75,6.30,12.96,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
Philanta,Maddux,Greg,23.00,5,26,6,16,1,1,1,1,0,7,0,R,14.70,9.00,19.00,1.96,12.52,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Smoltz,John,21.00,11,23,6,23,2,-2,1,1,0,7,0,R,21.10,22.15,18.85,4.65,12.25,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Philanta,Neagle,Denny,18.00,20,42,7,20,5,-2,2,2,0,7,0,L,18.40,17.40,18.55,9.84,24.10,4,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Schilling,Curt,26.00,16,37,16,35,3,-3,2,2,0,7,0,R,16.30,18.75,14.40,5.48,18.14,4,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Philanta,Grace,Mike,23.00,27,48,6,32,10,-3,1,3,0,7,0,R,18.10,28.70,4.80,10.43,20.86,4,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
