Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
SanLouis,Petkovsek,Mark,2.60,3,5,0,1,1,0,0,0,0,5,3,R,33.30,23.25,40.95,10.38,17.31,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Tavarez,Julian,4.00,2,5,1,2,0,-2,1,0,0,0,2,R,32.50,28.40,36.40,4.50,13.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Frascatore,John,4.00,4,7,3,4,1,8,0,0,0,0,2,R,27.00,22.25,29.40,9.00,22.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Mulholland,Terry,1.00,0,1,0,0,0,-6,0,0,1,6,3,L,28.20,28.80,27.70,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Eckersley,Dennis,10.60,6,10,2,10,4,3,0,1,0,0,1,R,17.90,12.60,22.80,5.09,10.19,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Beck,Rod,3.60,3,6,0,7,0,-3,0,0,0,0,1,R,17.60,13.90,21.10,7.50,15.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Rodriguez,Rich,7.30,5,12,0,2,1,-6,1,0,1,0,1,L,28.00,37.80,20.10,6.16,14.79,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Beltran,Rigo,1.00,1,2,2,1,0,-6,0,0,0,5,3,L,23.70,41.00,19.00,9.00,36.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Mathews,T.J.,3.00,3,4,0,2,2,6,0,0,0,0,2,R,23.80,39.70,12.60,9.00,12.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Osborne,Donovan,19.60,11,18,11,12,2,-3,1,1,0,6,0,L,31.25,24.60,32.10,5.05,13.32,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
SanLouis,Morris,Matt,26.00,18,36,13,13,2,-2,0,3,0,7,0,R,27.60,29.15,24.20,6.23,16.96,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Gardner,Mark,21.60,11,19,9,18,5,-1,1,2,0,6,0,R,30.20,37.40,22.65,4.58,11.67,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Benes,Andy,19.00,13,23,10,15,3,3,1,0,0,7,0,R,22.40,22.60,21.25,6.16,15.63,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
SanLouis,Benes,Alan,24.00,12,27,14,19,1,0,2,1,0,7,0,R,24.15,26.65,20.15,4.50,15.38,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Stottlemyre,Todd,22.30,12,21,12,17,6,2,2,1,0,7,0,R,25.20,34.00,13.60,4.84,13.32,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
