Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
SanLouis,Petkovsek,Mark,2.00,3,5,0,1,1,0,0,0,0,5,3,R,33.30,23.25,40.95,10.38,17.31,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Tavarez,Julian,2.00,0,1,1,0,0,-2,1,0,0,0,2,R,32.50,28.40,36.40,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Frascatore,John,1.00,2,2,2,2,0,8,0,0,0,0,2,R,27.00,22.25,29.40,11.25,22.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Mulholland,Terry,1.00,0,1,0,0,0,-6,0,0,1,6,3,L,28.20,28.80,27.70,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Eckersley,Dennis,3.00,4,6,1,4,3,3,0,0,0,0,1,R,17.90,12.60,22.80,12.00,21.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Beck,Rod,3.00,3,6,0,7,0,-3,0,0,0,0,1,R,17.60,13.90,21.10,7.50,15.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Rodriguez,Rich,5.00,3,8,0,1,0,-6,1,0,0,0,1,L,28.00,37.80,20.10,5.09,13.58,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Beltran,Rigo,0.00,0,0,0,0,0,-6,0,0,0,5,3,L,23.70,41.00,19.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Mathews,T.J.,3.00,3,4,0,2,2,6,0,0,0,0,2,R,23.80,39.70,12.60,9.00,12.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Osborne,Donovan,3.00,7,7,4,2,1,-3,0,1,0,6,0,L,31.25,24.60,32.10,19.09,30.00,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
SanLouis,Morris,Matt,11.00,6,15,2,3,1,-2,0,1,0,7,0,R,27.60,29.15,24.20,4.91,13.91,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Gardner,Mark,6.00,4,6,2,6,2,-1,0,1,0,6,0,R,30.20,37.40,22.65,6.00,12.00,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
SanLouis,Benes,Andy,10.00,13,17,4,7,3,3,0,0,0,7,0,R,22.40,22.60,21.25,11.70,18.90,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
SanLouis,Benes,Alan,17.00,9,21,6,15,1,0,1,1,0,7,0,R,24.15,26.65,20.15,4.76,14.29,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
SanLouis,Stottlemyre,Todd,13.00,10,13,8,11,5,2,1,1,0,7,0,R,25.20,34.00,13.60,6.77,14.21,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
