Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Texaheim,Hernandez,Xavier,0.00,0,0,0,0,0,2,0,0,0,0,1,R,28.70,26.70,30.20,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Springer,Dennis,0.00,0,0,0,0,0,1,0,0,0,6,4,R,30.10,28.50,31.25,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Patterson,Danny,1.00,1,3,0,0,0,-1,0,0,0,0,2,R,25.70,21.25,29.10,9.00,27.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,James,Mike,0.00,0,0,0,0,0,0,0,0,0,0,2,R,33.25,46.50,24.30,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Holtz,Mike,6.00,3,9,4,5,1,5,0,0,0,0,1,L,17.85,13.85,23.70,4.50,19.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,DeLucia,Rich,0.00,0,0,0,0,0,-4,0,0,0,0,2,R,28.20,45.65,21.20,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Gunderson,Eric,4.00,2,5,2,1,0,-4,0,0,0,0,1,L,19.80,25.45,15.70,4.19,14.65,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Percival,Troy,2.00,3,3,5,0,0,1,0,1,0,0,1,R,18.75,23.35,13.15,11.74,31.30,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Wetteland,John,1.00,1,1,0,2,1,-2,0,0,0,0,1,R,10.50,10.20,10.80,6.92,6.92,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Watson,Allen,7.00,6,11,4,5,1,-2,0,1,0,6,0,L,31.40,26.60,33.30,7.71,19.29,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Burkett,John,8.00,4,7,2,5,1,0,0,1,0,6,0,R,30.00,27.95,32.65,4.50,10.13,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Hasegawa,Shigetoshi,3.00,4,5,3,2,0,-4,0,1,0,5,3,R,30.00,28.30,31.10,10.00,20.00,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Oliver,Darren,8.00,16,16,6,8,3,1,0,1,0,6,0,L,28.90,29.00,29.30,16.74,23.02,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Texaheim,Finley,Chuck,15.00,10,21,9,16,2,-2,1,1,0,7,0,L,27.00,30.00,28.50,5.77,17.31,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Texaheim,Dickson,Jason,18.00,11,29,7,8,2,-4,1,1,0,6,0,R,28.00,31.30,23.70,5.50,18.00,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
