Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Yorkcity,Boehringer,Brian,0.00,0,0,0,0,0,-6,0,0,0,0,3,R,30.50,17.90,39.05,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Stanton,Mike,4.00,0,3,1,7,0,-6,0,0,0,0,1,L,23.90,8.20,32.70,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Mecir,Jim,7.00,2,5,3,8,1,2,0,0,0,0,2,R,30.70,15.05,32.20,2.57,10.29,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Carrasco,Hector,4.00,1,1,3,3,0,-1,0,0,0,0,2,R,23.20,17.40,26.90,2.25,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Veres,Randy,4.00,0,3,0,4,0,2,1,0,0,0,2,R,24.00,23.15,24.70,0.00,6.75,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Rivera,Mariano,1.00,0,2,0,0,0,-2,1,0,0,0,1,R,19.40,19.25,22.45,0.00,18.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Casian,Larry,3.00,0,4,2,2,0,-2,0,0,0,0,1,L,29.75,41.35,18.75,0.00,18.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Montgomery,Jeff,1.00,0,0,0,1,0,-1,0,0,1,0,1,R,19.95,23.80,16.45,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Nelson,Jeff,2.00,0,0,0,1,0,9,0,0,0,0,2,R,15.95,22.00,12.90,0.00,0.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Mendoza,Ramiro,9.00,6,15,2,10,1,-2,0,1,0,5,2,R,30.20,32.00,29.05,6.00,17.00,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Rosado,Jose,18.00,9,14,5,12,3,-2,2,0,0,6,0,L,28.10,29.45,28.20,4.50,9.50,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Wells,David,9.00,11,15,5,6,3,0,0,2,0,7,0,L,27.75,36.90,26.10,11.00,20.00,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Pettitte,Andy,12.00,9,16,9,8,0,-5,1,0,0,7,0,L,25.80,35.90,23.80,6.75,18.75,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Cone,David,18.00,4,9,4,20,0,3,2,0,0,7,0,R,25.10,25.45,23.80,2.00,6.50,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Yorkcity,Appier,Kevin,13.00,16,25,8,15,3,0,0,2,0,7,0,R,23.25,27.55,17.80,11.08,22.85,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
